0	 -4.5, 0, 0	 4.5, 0, 0
0.0001	 -4.58089, 0, 0	 4.57127, 0, 0
0.0002	 -4.63711, 0, 0	 4.63442, 0, 0
0.0003	 -4.68228, 0, 0	 4.68471, 0, 0
0.0004	 -4.71915, 0, 0	 4.72545, 0, 0
0.0005	 -4.74965, 0, 0	 4.75893, 0, 0
0.0006	 -4.77518, 0, 0	 4.78679, 0, 0
0.0007	 -4.79677, 0, 0	 4.81024, 0, 0
0.0008	 -4.8152, 0, 0	 4.83017, 0, 0
0.0009	 -4.83107, 0, 0	 4.84725, 0, 0
0.001	 -4.84482, 0, 0	 4.86201, 0, 0
0.0011	 -4.85683, 0, 0	 4.87485, 0, 0
0.0012	 -4.86737, 0, 0	 4.88609, 0, 0
0.0013	 -4.87668, 0, 0	 4.89599, 0, 0
0.0014	 -4.88494, 0, 0	 4.90476, 0, 0
0.0015	 -4.89232, 0, 0	 4.91256, 0, 0
0.0016	 -4.89892, 0, 0	 4.91953, 0, 0
0.0017	 -4.90485, 0, 0	 4.92579, 0, 0
0.0018	 -4.91021, 0, 0	 4.93143, 0, 0
0.0019	 -4.91506, 0, 0	 4.93652, 0, 0
0.002	 -4.91947, 0, 0	 4.94115, 0, 0
0.0021	 -4.92349, 0, 0	 4.94536, 0, 0
0.0022	 -4.92717, 0, 0	 4.9492, 0, 0
0.0023	 -4.93054, 0, 0	 4.95271, 0, 0
0.0024	 -4.93363, 0, 0	 4.95594, 0, 0
0.0025	 -4.93648, 0, 0	 4.95891, 0, 0
0.0026	 -4.93911, 0, 0	 4.96165, 0, 0
0.0027	 -4.94154, 0, 0	 4.96418, 0, 0
0.0028	 -4.9438, 0, 0	 4.96652, 0, 0
0.0029	 -4.94589, 0, 0	 4.96869, 0, 0
0.003	 -4.94784, 0, 0	 4.97071, 0, 0
0.0031	 -4.94965, 0, 0	 4.97259, 0, 0
0.0032	 -4.95135, 0, 0	 4.97434, 0, 0
0.0033	 -4.95293, 0, 0	 4.97598, 0, 0
0.0034	 -4.95442, 0, 0	 4.97751, 0, 0
0.0035	 -4.95581, 0, 0	 4.97895, 0, 0
0.0036	 -4.95712, 0, 0	 4.9803, 0, 0
0.0037	 -4.95834, 0, 0	 4.98157, 0, 0
0.0038	 -4.9595, 0, 0	 4.98276, 0, 0
0.0039	 -4.96059, 0, 0	 4.98388, 0, 0
0.004	 -4.96162, 0, 0	 4.98494, 0, 0
0.0041	 -4.96259, 0, 0	 4.98594, 0, 0
0.0042	 -4.96351, 0, 0	 4.98688, 0, 0
0.0043	 -4.96438, 0, 0	 4.98778, 0, 0
0.0044	 -4.9652, 0, 0	 4.98862, 0, 0
0.0045	 -4.96598, 0, 0	 4.98942, 0, 0
0.0046	 -4.96673, 0, 0	 4.99019, 0, 0
0.0047	 -4.96743, 0, 0	 4.99091, 0, 0
0.0048	 -4.9681, 0, 0	 4.9916, 0, 0
0.0049	 -4.96874, 0, 0	 4.99225, 0, 0
0.005	 -4.96935, 0, 0	 4.99287, 0, 0
0.0051	 -4.96993, 0, 0	 4.99347, 0, 0
0.0052	 -4.97048, 0, 0	 4.99404, 0, 0
0.0053	 -4.97101, 0, 0	 4.99458, 0, 0
0.0054	 -4.97152, 0, 0	 4.99509, 0, 0
0.0055	 -4.972, 0, 0	 4.99559, 0, 0
0.0056	 -4.97246, 0, 0	 4.99606, 0, 0
0.0057	 -4.9729, 0, 0	 4.99651, 0, 0
0.0058	 -4.97333, 0, 0	 4.99694, 0, 0
0.0059	 -4.97373, 0, 0	 4.99736, 0, 0
0.006	 -4.97412, 0, 0	 4.99775, 0, 0
0.0061	 -4.97449, 0, 0	 4.99814, 0, 0
0.0062	 -4.97485, 0, 0	 4.9985, 0, 0
0.0063	 -4.9752, 0, 0	 4.99885, 0, 0
0.0064	 -4.97553, 0, 0	 4.99919, 0, 0
0.0065	 -4.97585, 0, 0	 4.99952, 0, 0
0.0066	 -4.97616, 0, 0	 4.99983, 0, 0
0.0067	 -4.97645, 0, 0	 5.00013, 0, 0
0.0068	 -4.97674, 0, 0	 5.00042, 0, 0
0.0069	 -4.97701, 0, 0	 5.0007, 0, 0
0.007	 -4.97727, 0, 0	 5.00097, 0, 0
0.0071	 -4.97753, 0, 0	 5.00123, 0, 0
0.0072	 -4.97778, 0, 0	 5.00148, 0, 0
