0	0 0 
0.2	0 0 
0.4	0 0 
0.6	0 0 
0.8	0 0 
1	0 0 
1.2	0 0 
1.4	0 0 
1.6	0 0 
1.8	0 0 
2	0 0 
2.2	0 0 
2.4	0 0 
2.6	0 0 
2.8	0 0 
3	0 0 
3.2	0.555556 0 
3.4	1.11111 0 
3.6	1.66667 0 
3.8	2.22222 0 
4	2.77778 0 
4.2	3.33333 0 
4.4	3.88889 0 
4.6	4.44444 0 
4.8	5 0 
5	5.55556 0 
5.2	6.11111 0 
5.4	6.66667 0 
5.6	7.22222 0 
5.8	7.77778 0 
6	8.33333 0 
6.2	8.33333 0 
6.4	8.33333 0 
6.6	8.33333 0 
6.8	8.33333 0 
7	8.33333 0 
7.2	8.33333 0 
7.4	8.33333 0 
7.6	8.33333 0 
7.8	8.33333 0 
8	8.33333 0 
8.2	8.33333 0 
8.4	8.33333 0 
8.6	8.33333 0 
8.8	8.33333 0 
9	8.33333 0 
9.2	8.33333 0 
9.4	8.33333 0 
9.6	8.33333 0 
9.8	8.33333 0 
10	8.33333 0 
10.2	8.33333 0 
10.4	8.33333 0 
10.6	8.33333 0 
10.8	8.33333 0 
11	8.33333 0 
11.2	8.33333 0 
11.4	8.33333 0 
11.6	8.33333 0 
11.8	8.33333 0 
12	8.33333 0 
