time(minutes) centre_concentration(uM) average_concentration(uM) average_concentration_only_cells(uM) minimum_concentration(uM)
  0.00000000e+00   1.00000000e+01   1.00000000e+01   1.00000000e+01   1.00000000e+01 
  1.00000000e-02   9.90000331e+00   9.92284333e+00   9.90091452e+00   9.89969926e+00 
  2.00000000e-02   9.80100515e+00   9.85015581e+00   9.80756838e+00   9.80100253e+00 
  3.00000000e-02   9.70299634e+00   9.78111988e+00   9.71891165e+00   9.70299628e+00 
  4.00000000e-02   9.60596726e+00   9.71520429e+00   9.63426210e+00   9.60596726e+00 
  5.00000000e-02   9.50990827e+00   9.65203567e+00   9.55314024e+00   9.50990827e+00 
  6.00000000e-02   9.41481305e+00   9.59133454e+00   9.47518716e+00   9.41481305e+00 
  7.00000000e-02   9.32066803e+00   9.53288328e+00   9.40012339e+00   9.32066803e+00 
  8.00000000e-02   9.22746402e+00   9.47650461e+00   9.32772126e+00   9.22746402e+00 
  9.00000000e-02   9.13519181e+00   9.42205073e+00   9.25779097e+00   9.13519181e+00 
  1.00000000e-01   9.04384236e+00   9.36939574e+00   9.19017082e+00   9.04384236e+00 
  1.10000000e-01   8.95340690e+00   9.31843049e+00   9.12472067e+00   8.95340690e+00 
  1.20000000e-01   8.86387649e+00   9.26905915e+00   9.06131743e+00   8.86387649e+00 
  1.30000000e-01   8.77524160e+00   9.22119669e+00   8.99985192e+00   8.77524160e+00 
  1.40000000e-01   8.68749299e+00   9.17476676e+00   8.94022607e+00   8.68749299e+00 
  1.50000000e-01   8.60062194e+00   9.12970024e+00   8.88235113e+00   8.60062194e+00 
  1.60000000e-01   8.51462001e+00   9.08593416e+00   8.82614623e+00   8.51462001e+00 
  1.70000000e-01   8.42947903e+00   9.04341085e+00   8.77153731e+00   8.42947903e+00 
  1.80000000e-01   8.34519118e+00   9.00207719e+00   8.71845616e+00   8.34519118e+00 
  1.90000000e-01   8.26174892e+00   8.96188404e+00   8.66683966e+00   8.26174892e+00 
  2.00000000e-01   8.17914536e+00   8.92278576e+00   8.61662921e+00   8.17914536e+00 
  2.10000000e-01   8.09737378e+00   8.88473980e+00   8.56777015e+00   8.09737378e+00 
