0: 217,80,311,120
189: 159,62,45,386,325
190: 170,265,310,16
191: 373,92,325,359
192: 315,24,371
193: 307,382,88
194: 368,67,370
195: 46,221,341,391,396
196: 177,375,333,380
197: 9,376,395,187
198: 59,84,242,384,367
199: 399,255,394,76
200: 275,378,400,102
201: 38,146,224,339,101,48,333,380
202: 48,272,38,224,386,126
203: 22,111,364,208
204: 59,242,297,117
205: 381,235,330,102,27
206: 140,92,373,256
207: 153,229,44,103
208: 22,111,364,81,203,264
209: 70,346,351,29
210: 102,27,317,372,162
211: 35,129
212: 108,124,140,241
213: 134,292,57
214: 259,75,109
215: 150,58,136
216: 25,285,353,138,94,246
217: 0
218: 98,121,297
219: 152,392,334,155
220: 323,226,77,122
221: 195,181,98,302
222: 34,119,254
223: 233,258,280,40,48,124
224: 38,146,201,241,126,202,48,124
225: 87,104
226: 3,220,77
227: 362,147,186,20,295
228: 123,240,248,115,282
229: 238,207,87,103
230: 18,44,41,103
231: 30,143,275,362,114,15
232: 97,161,68,181
233: 223,280,48,126,124
234: 33,18,112
235: 205,83,243,183,89,305
236: 119,127,43
237: 139,29,128,89
238: 273,229,109,80
239: 131,125,3
240: 53,163,228,36,319
241: 146,224,382,212,124,12
242: 59,198,204,326,384,117,147
243: 42,235,269,330,347,128,89
244: 8,119,320,105
245: 96,112,149,164,318,327,290,309
246: 129,138,94,25,216
247: 106,64
248: 72,228,135,168,283,115
249: 156,24
250: 55,168,263,356
251: 116,259,368
252: 115,292,69,355,343
253: 294,88,110,86
254: 105,222,34,119
255: 7,399,199
256: 206,60
257: 62,126,60
258: 150,223,280,385,40
259: 116,251,281,75,214
260: 166,49
261: 171
262: 95,166,352,32,81,372
263: 50,55,250,374
264: 111,364,184,208,153,277,388
265: 170,186,190,16
266: 159,73,76
267: 97,137
268: 141,8,105
269: 42,243,347,128,31
270: 159,62,136,58,272
271: 5,113
272: 202,58,73,159,270
273: 14,104,238,87
274: 183,304,37
275: 30,231,143,200,378,114
276: 52
277: 264,83,106,151,340
278: 56,288,101,177,174,339
279: 30,154,378,286
280: 150,233,223,258,58,40,48
281: 85,259,293,368,358
282: 115,123,228
283: 133,168,72,248,135,4
284: 145,338,327,26
285: 113,116,216,300,94
286: 19,334,160,154,279
287: 37,185,365
288: 56,278,174
289: 69
290: 112,245,127,309
291: 36
292: 252,213,355,57
293: 85,142,281
294: 79,253,110,349
295: 147,227,86
296: 4
297: 59,204,218,117,121
298: 70,17,107,179,169,328
299: 18,118,346
300: 25,116,285,94,357
301: 137,152,357
302: 13,46,181,221,176
303: 129,161,374
304: 180,183,336,274,61
305: 183,83,235,151
306: 155,49,362,6
307: 326,193,384,88
308: 329,17,169
309: 39,127,145,43,245,290
310: 2,331,170,190
311: 164,0
312: 114,15
313: 139,23
314: 125,349,28
315: 192,74,371
316: 10,118,164,327,167
317: 372,342,162,210,81
318: 96,245,327,338
319: 53,240,36,332
320: 346,244,11
321: 96,149
322: 122,66,169,323
323: 169,220,366,322
324: 3,108,12,131
325: 386,60,189,191
326: 172,242,307,384,1
327: 164,245,318,338,10,316,284
328: 31,366,179,70,298
329: 141,99,17,308
330: 205,93,381,173,243,347
331: 117,170,392,310
332: 175,319
333: 196,177,380,84,201
334: 19,286,152,219,155
335: 26,90,369
336: 64,180,304,61
337: 10,65,390,361
338: 132,318,327,284
339: 146,201,278,380
340: 151,277,83
341: 195,391,376
342: 120,317,158,372,81
343: 135,82,252
344: 130
345: 157
346: 209,320,167,299,11
347: 93,125,42,243,269,330
348: 188,41
349: 110,21,294,314
350: 187,387
351: 118,139,390,29,209
352: 75,95,160,262,22
353: 142,216,138
354: 391,396,144
355: 69,156,252,292
356: 55,176,250
357: 301,94,300,19,148
358: 14,165,85,281
359: 191
360: 16,147
361: 178,369,65,337
362: 231,306,6,227,186
363: 54,180
