346: 209,167,11
347: 93,125,42,243,330
348: 188,41
349: 110,21,294,314
350: 187,387
351: 118,139,390,29,209
352: 95,160,22
353: 216,138
354: 144,391
355: 69,156,252,292
356: 55,176,250
357: 301,300,19,148
358: 14,165,85,281
359: 191
360: 16
361: 178,369,65,337
362: 306,6,186,227
363: 54,180
364: 111,184,208,264,91
365: 42,185,287
366: 179,169,323,328
367: 198,49
368: 194,281,67
369: 90,178,335,361
370: 67,194
371: 192,315
372: 342,317,262,32,210,81
373: 191,206,92
374: 303,50,263
375: 196,71,380
376: 197,341,63
377: 123,47
378: 30,154,200,279
379: 182,56,177
380: 196,375,333,146,201,339
381: 205,173,330,27,162
382: 193,241
383: 188,41
384: 9,198,242,307,326
385: 172,1,258
386: 38,325,202,45,189
387: 63,187,350
388: 264,91,153
389: 82,78
390: 10,139,158,337,351
391: 46,195,341,354
392: 331,155,6
393: 20
394: 199,134
