219: 358,61,285,516,160,956
220: 991,958,473,957,360,236
221: 571,492,960,446,364,976
222: 720,760,73,701,982,367
223: 370,846,964,656,331,91
224: 992,206,966,737
225: 870,506,60,377,46,968
226: 970,866,368,297,520,99,711
227: 384,972,770,837,421,29
228: 32,974,388,603,247,452
229: 977,889,393,11,851,1019
230: 551,883,979,166,189,834
231: 118,296,981,724,945,557
232: 148,676,983,82,415,404
233: 985,191,119,921,796,622,511
234: 824,593,987,335,825,905
235: 16,416,714,799,989,183
236: 969,613,716,991,220,360
237: 253,80,320,618,993,826
238: 616,722,995,892,891,277
239: 558,171,888,719,427,997
240: 390,999,304,513,129,260
241: 488,123,667,191,436,449,704
242: 351,432,7,278,951,1002
243: 441,196,1003,556,568,460
244: 801,1005,444,156,356,350
245: 755,1007,696,936,805,1020
246: 1008,639,26,381,612,710
247: 1010,452,126,228,32,524
248: 274,454,453,1011,723,54
249: 1013,763,727
250: 369,988,846,922,893,1015
251: 1016,217,998,746,791
252: 929,848,1018,994
253: 80,816,237,755,1020,826
254: 853,1022,665,550,685,43,545
255: 382,677,470,1023,435,663
256: 857,777,474,736,177,1024
257: 543,0,132,627,130,515
258: 856,6,517,90,963,978
259: 519,521,130,538,262,535
260: 527,975,240,747,304,513
261: 903,540,531
262: 767,535,279,627,259,130
263: 589,867,540
264: 543,515
265: 479,548,322,703,141,433
266: 202,85,590,553,872,681
267: 954,559,328,979,434,614
268: 950,374,996,562,131,564
269: 282,898,201,100,566,568
270: 75,45,575,691,980,615
271: 939,126,524,4,860,544
272: 723,585,198,54,373,748
273: 596,592,110
274: 720,844,248,454,599,723
275: 503,79,802,604,861
276: 856,983,19,82,324,608
277: 974,636,371,891,616,238
278: 944,242,7,951,620,657
279: 529,298,627,767,262,66
280: 403,482,407,895,632,661
281: 529,640,637,693,783,132
282: 598,641,201,100,269,22
283: 787,327,116,915,862,644
284: 570,577,800,743,325,76
285: 219,516,588,42,654,956
286: 363,668,547,786,490,658
287: 664,662,38,134
288: 666,964,310,772,546,487
289: 1013,203,670,776,311,56
290: 84,339,106,572,600,675
291: 10,679,981,1012,1006,557
292: 688,165,648,683,44,105
293: 414,597,135,671,692,778
294: 689,697,189,192,851,554
295: 962,52,926,486,701,507
296: 502,118,231,631,484,945
297: 984,775,368,386,520,226
298: 40,715,279,529,640,66
299: 888,719,587,21,897,12
300: 333,695,728,194,75,45
301: 680,441,733,898,518,2
302: 30,737,361,461,739,806
303: 394,743,98,113,76,752
304: 747,138,494,181,240,999,260
305: 731,173,750
306: 319,112,58,475,207,904
307: 745,758,463,14,804,88,839
308: 457,727,24,208,877,763
309: 768,871,806,77,830,51
310: 772,9,288,546,930,209
311: 289,776,56,458,869
312: 15,364,780,571
313: 422,785,158,37,660,78
314: 793,989,480,217,791,952
315: 721,210,405,797,558,171
316: 408,953,802,584,69,353
317: 814,185,445,861,168,503
318: 71,817,391
319: 876,112,821,306,754,58
320: 80,237,827,618,384,972
321: 840,832,397,973,450,362
322: 548,265,624,837,574,141
323: 958,957,843,612,935,26
324: 856,19,517,587,276,594
325: 743,860,580,142,284,577
326: 20,142,85,590,865,990,4
327: 787,478,283,94,875,644,59
328: 883,74,510,979,879,559,267
329: 841,651,882,497,610,788,428
330: 197,21,585,885,888,997
331: 893,146,601,223,846,91
332: 823,610,897,12,928,25
333: 300,900,144,167,695,728
334: 903,733,22,201
335: 852,905,753,593,234
336: 87,27,896,948,908,949
337: 911,508,170,489,64,761
338: 394,23,914,98,862,133
339: 84,290,917,600,419,828
340: 561,919,91,530,159,656
341: 24,986,103,922,732
342: 425,199,970,925,633,866
343: 841,934,882,928,797,210
344: 787,467,757,116,932,605
345: 172,28,935,26,381,635
346: 152,625,527,86,938
347: 362,401,89,942,973,842
348: 176,163,944,657,536,355
349: 818,946,491,120,952,793
350: 244,156,356,948,619,838
351: 242,759,432,951,836,653
352: 38,134,149,614,81,954
353: 5,955,34,316,953,584
354: 28,935,511,886,957,360
355: 917,600,348,163,676,536
356: 961,244,1005,88,350,619
357: 186,982,367,90,963,863
358: 219,643,385,61,965,516
359: 214,947,621,967,175,738
360: 220,957,886,969,236,354
361: 30,302,77,806,971
362: 401,190,347,973,840,321
363: 513,286,39,668,975,547
364: 312,780,571,221,976,62
365: 599,885,594,198,978,517
366: 798,933,153,2,137,980
367: 982,90,357,720,844,222
368: 984,775,297,1009,226,970
369: 988,941,250,986,607,922
370: 988,487,63,223,846,964
371: 636,277,990,891,199,831
372: 992,122,929
373: 848,994,54,748,718,272
374: 673,996,268,562,40,33
375: 818,563,154,104,946,998
376: 44,785,1001,887,611,105
377: 46,813,489,506,1004,225
378: 447,682,1006,646,762,679
379: 68,775,1009,420,615,713
380: 94,1012,875,533,853,10
381: 172,26,345,246,639,1014
382: 255,1017,470,606,855,435
383: 393,1019,182,794,35,542
384: 972,686,227,770,320,827
385: 643,358,516,541,444,156
386: 1024,520,552,984,96,297
387: 655,900,144,523
388: 616,924,526,228,974,603
389: 37,678,530,41,422,623
390: 645,534,240,999,859,129
391: 318,817,537,664
392: 769,960,539,157,471,647
393: 11,1019,229,383,542,534
394: 23,743,303,338,98,580
395: 152,625,547,658
396: 443,184,549,501,687,854
397: 551,832,321,18,583,450
398: 438,672,42,555,681,654
399: 682,423,1006,557,628,724
400: 579,406,647,539,561,678
401: 950,362,190,562,347,942
402: 565,100,566,937,211,869
403: 410,280,632,661,800,570
404: 823,25,890,232,82,415,572
405: 768,721,315,210,871,576
406: 400,579,1007,696,539,446
407: 482,280,895,581,119,796,811
408: 316,778,584,69,161,469
409: 478,932,586,102,59,744
410: 403,956,661,649,570,902
411: 162,597,591,996,33,637
412: 824,593
413: 595,732,729,103,779,740
414: 597,293,135,591,525,545
415: 572,600,232,676,404,890
416: 714,793,989,603,235,924
417: 884,13,104,173,1017,606
418: 850,80,816,1021,827,93,611
419: 150,959,536,613,828,339,917
420: 691,615,379,472,169,713
421: 186,863,29,868,972,227
422: 313,623,785,1001,37,389
423: 628,399,456,724,878,829
424: 573,694,918,799,631,803
425: 342,713,970,633,1009,107
426: 47,200,725,985,622,635
427: 171,239,997,638,920,881
428: 72,642,788,106,675,497,329
429: 542,645,560,143,35,582
430: 114,468,648,789,49,759,836
431: 958,48,473,650,843,940
432: 242,351,1002,1000,653,667
433: 176,141,703,265,620,657
434: 166,522,979,267,614,659
435: 455,855,448,663,255,382
436: 704,241,667,1002,53,617
437: 50,669,453,706,1011
438: 398,672,555,711,136,894
439: 674,709,833,782
440: 655,900,167,36,766,677
441: 680,301,243,556,898,568
442: 684,712,52,486
443: 909,549,396,204,687,109,910
444: 244,801,156,8,385,541
445: 814,810,317,70,168,708
446: 960,221,539,976,406,696
447: 682,164,378,646,34,699
448: 455,472,169,435,663,702
449: 191,119,704,811,488,241
450: 451,18,973,707,321,397
451: 18,901,450,212,710,707
452: 1010,247,228,714,603,183
453: 669,437,718,1011,248,54
454: 720,274,178,760,248,1011
455: 855,448,995,435,702,726
456: 118,724,717,918,878,423
457: 927,727,208,308
458: 730,937,740,869,311,56
459: 621,967,595,151,732
460: 876,736,821,196,243,1003
461: 737,302,638,206,920,739
462: 943,870,1016,746,741
463: 307,745,904,57,734,839
464: 1018,994,748,197,835
465: 47,200,698,76,752,632,800
466: 579,755,41,1007,850,816
467: 757,605,344,784,155,1014
468: 114,430,87,896,109,759,836
469: 408,584,161,646,762,665
470: 255,766,731,382,677,1017
471: 157,9,546,912,769,392
472: 448,169,663,771,420,691
473: 174,991,958,431,220,650
474: 734,777,256,112,736,821
475: 595,151,779,58,306,207
476: 652,781,184,549,567,738
477: 47,784,907,698,725,757
478: 787,327,409,932,94,59
479: 67,548,265,703,165,789
480: 16,989,314,60,791,968
481: 790,117,794,977,700,1019
482: 160,280,407,895,581,661
483: 801,1005,839,57,690,749
484: 502,296,631,803,858,849,499
485: 852,62,936,905,805,500
486: 962,807,52,295,684,442
487: 809,63,370,964,772,288
488: 123,241,751,931,449,811
489: 377,813,1004,64,337,170
490: 71,786,140,286,815,668
491: 95,55,120,818,884,349
492: 774,822,571,769,960,221
493: 993,83,121,505,826,125
494: 830,782,138,304,181,51
495: 835,992,122,206,920,881
496: 215,908,931,838,643,965
497: 610,890,106,788,428,841,329
498: 680,847,137,556,630,124
499: 858,849,1010,939,126,484
500: 825,936,485,905,125,83
501: 184,396,758,804,961,854
502: 296,484,945,705,205,858
503: 275,185,317,861
504: 864,927,127
505: 493,993,121,792,868,819
506: 128,943,870,1004,225,377
507: 52,926,295,874,987,187
508: 911,878,188,337,829,170
509: 889,512,192,880,583,834
510: 840,328,883,795,832,74
511: 622,28,354,886,233,921
512: 977,889,700,509,111,880
513: 363,39,129,240,260,975
514: 543,17,0,578
515: 519,130,264,543,257
516: 219,385,358,285,541,654
517: 856,324,258,365,594,978
518: 531,153,2,903,733,301
519: 764,521,259,130,515
520: 136,386,552,297,226,711
521: 764,65,519,259,538,662
522: 689,166,3,434,179,659
523: 655,387
524: 32,865,4,271,247,126
525: 685,131,873,545,414,591
526: 616,55,924,120,722,388
527: 346,625,938,260,975,747
528: 5,955,592
529: 279,281,640,298,627,132
530: 37,561,919,340,678,389
531: 629,518,153,903,261,540
532: 6,608,624,193,609,574
533: 1012,380,875,213,913,133,644
534: 542,645,390,859,393,11
535: 81,767,262,820,259,538
536: 959,419,944,348,355,917
537: 38,149,569,817,391,664
538: 521,259,81,535,134,662
539: 960,392,446,647,400,406
540: 263,867,261,629,531
541: 385,516,444,8,672,654
542: 645,429,534,35,393,383
543: 514,264,0,257,515
544: 23,860,580,602,271,939
545: 685,525,1022,254,414,135
546: 666,310,157,9,288,471
547: 625,395,975,286,363,658
548: 67,479,265,770,322,837
549: 652,443,909,476,184,396
550: 853,10,762,679,254,665
551: 883,832,230,397,583,834
552: 177,1024,136,108,386,520
553: 588,42,681,202,266,902
554: 11,851,859,294,697,97
555: 195,398,99,438,42,681,711
556: 680,441,847,498,243,1003
