0: 783,257,132,514,543,17
2: 366,680,153,137,301,518
3: 815,140,179,569,522,659
4: 326,865,142,860,271,524
5: 218,353,953,528,955
6: 856,532,608,193,963,258
7: 944,242,1002,278,959,617
8: 672,690,894,801,444,541
9: 209,310,546,912,115,471
10: 853,380,550,1012,291,679
11: 534,393,229,851,859,554
12: 558,928,299,719,897,332,797
13: 750,563,104,417,173
14: 307,745,758,804,923,175,567
15: 180,774,571,312
16: 968,480,989,235,573,799
17: 514,70,783,0,578,810
18: 451,880,901,583,397,450
19: 82,276,324,587,823,897
20: 649,202,142,577,590,326
21: 885,587,594,330,299,888
22: 598,282,334,201
23: 394,580,602,544,914,338
24: 103,986,308,208,729,877
25: 823,332,404,610,890
26: 381,246,935,345,323,612
27: 687,336,896,948,619,854
28: 622,935,635,345,354,511
29: 624,863,421,193,227,837
30: 626,966,737,302,361
31: 984,775,124,630,68
32: 636,865,228,974,247,524
33: 40,374,640,411,996,637
34: 646,584,447,699,353,955
35: 542,429,383,143,182,651
36: 655,440,766
37: 660,422,919,313,530,389
38: 287,134,352,149,537,664
39: 129,765,97,513,363,668
40: 715,374,33,673,640,298
41: 850,579,678,466,623,389
42: 681,588,398,654,553,285
43: 853,94,254,685,59,744
44: 376,105,292,688,611,1021
45: 695,300,771,75,691,270
46: 377,968,225,573,694,813
47: 477,725,200,465,698,426
48: 700,111,431,117,650,940
49: 789,759,430,703,951,620
50: 706,437
51: 309,709,782,77,830,494
52: 712,187,442,507,295,486
53: 969,150,436,617,716,845,704
54: 453,248,723,718,272,373
55: 491,95,120,726,722,526
56: 729,458,740,877,670,311
57: 734,777,463,839,749,483
58: 730,779,754,319,306,475
59: 744,409,478,43,94
60: 870,968,225,480,791,746
61: 219,358,965,751,160,581
62: 976,364,780,852,805,485
63: 809,941,756,487,988,370
64: 761,489,1004,337
65: 521,662,764
66: 74,879,715,298,767,279
67: 479,770,548,165,688,686
68: 615,575,379,124,775,31
69: 316,802,604,692,408,778
70: 693,708,445,783,810,17
71: 140,490,786,318,817
72: 790,794,642,428,182,788
73: 792,701,819,222,982
74: 510,328,879,66,795,715
75: 798,194,980,300,45,270
76: 743,303,284,570,752,800
77: 309,709,51,806,361,971
78: 781,808,660,313,652,158
79: 275,802,218,953,812
80: 827,418,816,253,237,320
81: 134,352,820,954,535,538
82: 983,19,276,232,823,404
83: 825,874,500,125,493,121
84: 290,339,828,675,735,773
85: 326,990,872,831,266,590
86: 833,346,938
87: 336,896,109,836,468,949,653
88: 307,758,839,961,1005,356
89: 347,942,842,1008,707,973
90: 844,367,978,357,258,963
91: 656,340,223,331,146,919
92: 669,718,848
93: 850,816,623,1001,611,418
94: 853,380,43,327,875,59,478
95: 884,491,55,726,855,606
96: 630,847,1024,857,386,984
97: 859,129,765,554,697,39
98: 394,303,113,862,915,338
99: 195,866,226,711,555
100: 565,641,402,282,566,269
101: 560,830,138,582,871,576
102: 564,873,744,586,409,216
103: 341,24,732,413,986,729
104: 563,13,375,417,818,884
105: 376,887,44,204,292,683
106: 290,890,572,675,428,497
107: 425,633,702,169,892,713
108: 136,690,552,749,894,177
109: 687,87,896,910,114,468
110: 273,596,592,899,164,699
111: 512,700,48,880,940,901
112: 734,821,474,904,319,306
113: 752,698,303,98,915,907
