0: 514,543,783,17,257,132
2: 366,518,153,301,137,680
3: 659,569,522,179,815,140
4: 524,865,326,142,271,860
5: 528,353,955,218,953
6: 856,258,608,532,193,963
7: 944,242,1002,278,959,617
8: 801,444,690,894,672,541
9: 209,115,310,912,546,471
10: 853,679,550,1012,380,291
11: 229,851,534,859,393,554
12: 332,897,928,558,299,719,797
13: 750,563,173,104,417
14: 307,745,758,175,923,804,567
15: 312,571,180,774
16: 799,989,235,480,573,968
17: 514,783,0,578,810,70
18: 451,880,583,901,450,397
19: 82,324,587,276,823,897
20: 649,202,142,577,590,326
21: 330,885,594,587,299,888
22: 334,598,282,201
23: 394,338,544,580,602,914
24: 341,103,208,308,986,877
25: 823,332,404,610,890
26: 935,345,323,246,381,612
27: 687,336,896,948,619,854
28: 622,935,345,354,511,635
29: 421,193,863,227,624,837
30: 626,966,737,302,361
31: 68,984,630,775,124
32: 228,974,636,524,865,247
33: 40,640,637,374,411,996
34: 353,955,699,646,447,584
35: 143,651,182,542,429,383
36: 655,440,766
37: 660,919,530,389,422,313
38: 149,537,352,287,664,134
39: 513,765,97,363,668,129
40: 715,33,640,298,673,374
41: 579,466,678,389,623,850
42: 588,398,553,555,681,654,285
43: 853,254,94,685,744,59
44: 376,105,611,1021,292,688
45: 75,771,691,270,695,300
46: 573,813,968,694,225,377
47: 477,725,200,465,698,426
48: 431,650,117,111,940,700
49: 703,430,789,759,951,620
50: 437,706
51: 830,782,494,309,709,77
52: 486,295,507,187,712,442
53: 969,150,617,716,845,436,704
54: 453,718,248,272,723,373
55: 722,726,120,526,491,95
56: 729,670,289,311,458,740
57: 463,839,734,777,749,483
58: 730,779,754,475,306,319
59: 744,409,327,478,43,94
60: 870,225,746,791,480,968
61: 219,358,965,751,160,581
62: 364,780,976,852,485,805
63: 988,487,941,370,809,756
64: 761,1004,337,489
65: 662,764,521
66: 767,74,879,715,279,298
67: 479,688,686,548,770,165
68: 775,31,124,575,615,379
69: 316,408,778,692,802,604
70: 810,445,708,693,783,17
71: 318,786,140,817,490
72: 790,642,428,794,788,182
73: 701,819,792,982,222
74: 879,559,66,328,795,510,715
75: 45,980,270,194,798,300
76: 743,303,570,284,800,465,752
77: 971,709,309,361,806,51
78: 652,781,808,660,313,158
79: 275,802,218,812,953
80: 253,816,237,418,320,827
81: 954,535,820,352,538,134
82: 983,19,276,232,823,404
83: 825,500,125,493,121,874
84: 290,339,773,828,675,735
85: 990,326,831,872,266,590
86: 833,346,938
87: 336,896,836,468,949,653
88: 961,1005,356,307,758,839
89: 707,1008,973,842,942,347
90: 963,357,844,367,258,978
91: 919,340,223,656,331,146
92: 669,718,848
93: 850,816,418,623,1001,611
94: 853,43,380,875,327,478,59
95: 884,491,606,855,726,55
96: 984,630,386,847,857,1024
97: 765,39,129,859,697,554
98: 394,303,338,113,862,915
99: 195,555,226,711,866
100: 282,402,269,566,641,565
101: 871,576,582,560,830,138
102: 564,873,744,409,586,216
103: 341,24,877,729,413,732
104: 818,884,375,417,563,13
105: 376,44,204,887,292,683
106: 290,572,890,675,428,497
107: 713,169,702,892,425,633
108: 177,136,690,552,749,894
109: 687,896,114,910,468
110: 592,699,899,164,273,596
111: 880,940,901,48,512,700
112: 734,306,319,474,821,904
113: 907,698,752,303,98,915
114: 910,468,430,648,683,109
115: 209,9,912
116: 787,757,915,344,283,907
117: 790,481,916,48,650,700
118: 296,231,631,456,918,724
119: 191,233,449,921,796,811,407
120: 55,924,526,491,349,793
121: 493,505,792,83,926,874
122: 835,992,495,1018,929,372
123: 215,488,1000,241,667,931
124: 68,630,31,933,137,498,575
125: 1020,83,936,500,493,826
126: 271,1010,939,499,247,524
127: 864,756,504,927,607,941
128: 943,506,1004
129: 513,97,39,390,240,859
130: 262,519,259,515,627,257
131: 564,873,525,268,591,996
132: 627,783,0,257,529,281
133: 862,914,913,533,644,338
134: 287,662,81,38,352,538
135: 778,161,1022,545,414,293
136: 108,552,894,520,711,438
137: 366,933,2,680,498,124
138: 830,304,494,101,560,999
139: 906,776,641,565
140: 71,817,490,815,3,569
141: 742,176,574,433,265,322
142: 20,577,4,326,860,325
143: 35,582,651,934,882,429
144: 900,333,589,728,387
145: 596,911,188
146: 331,601,808,660,919,91
147: 155,842,586,605,942,216
148: 232,609,742,163,676,983
149: 38,614,537,352,659,569
150: 53,959,419,613,617,716
151: 621,459,475,595,207,923
152: 346,625,395
153: 366,798,629,531,2,518
154: 634,563,375,998
155: 147,639,1014,842,467,605
156: 244,444,350,838,643,385
157: 666,647,159,546,471,392
158: 313,785,887,652,909,78
159: 666,647,656,157,561,340
160: 482,956,581,661,219,61
161: 408,778,135,469,1022,665
162: 597,411,693,671,637,708
163: 742,176,148,348,676,355
164: 682,628,899,110,699,447
165: 292,648,789,67,479,688
166: 689,230,189,522,979,434
167: 695,1023,900,440,333,677
168: 317,445,708,671,692,861
169: 713,448,472,702,107,420
170: 878,508,337,489,717,813
171: 558,239,427,638,721,315
172: 345,635,784,725,1014,381
173: 731,1017,305,750,13,417
174: 991,473,650,773,916,735
175: 14,923,621,359,567,738
176: 742,348,163,141,433,657
177: 1024,108,552,749,777,256
178: 760,454,962,807,706,1011
179: 689,697,522,765,815,3
180: 774,15
181: 747,782,304,494,833,938
182: 35,651,788,72,794,383
183: 714,799,235,849,1010,803
184: 476,549,567,501,396,804
185: 814,317,503
186: 982,421,357,863,819,868
187: 824,987,712,52,507
188: 911,899,508,829,596,145
189: 689,294,166,230,834,192
190: 673,362,401,562,840,795
191: 845,119,233,449,921,704,241
192: 889,851,509,294,189,834
193: 29,963,863,624,6,532
194: 867,728,798,629,300,75
195: 99,555,872,681,866,925
196: 568,566,211,876,243,460
197: 330,585,464,748,997,881,835
198: 599,365,272,723,585,885
199: 342,891,831,925,633,371
200: 47,465,426,895,632,985
201: 282,898,269,334,733,22
202: 20,649,590,902,553,266
203: 1013,289,906,776
204: 105,887,443,909,910,683
205: 502,705,858,602,914,913
206: 224,992,495,920,737,461
207: 745,904,923,475,151,306
208: 24,308,986,607,457,927
209: 930,115,310,9
210: 315,405,576,797,343,934
211: 937,754,876,196,402,566
212: 451,940,901,710,612,843
213: 1012,913,533,705,981,945
214: 893,1015,359,601,947,967
215: 908,496,949,123,1000,931
216: 950,942,586,147,102,564
217: 314,998,251,791,952,946
218: 812,953,5,79
219: 358,61,285,516,160,956
220: 991,958,473,957,360,236
221: 446,492,960,364,571,976
222: 720,760,367,73,701,982
223: 846,370,964,656,331,91
224: 992,206,966,737
225: 870,506,377,60,46,968
226: 368,297,520,711,866,970,99
227: 384,770,837,972,29,421
228: 32,974,388,603,247,452
229: 977,889,11,851,1019,393
230: 166,189,834,551,883,979
231: 118,296,981,945,724,557
232: 148,676,983,82,415,404
233: 985,191,119,921,796,622,511
234: 824,593,987,335,825,905
235: 16,416,714,799,989,183
236: 969,613,716,991,220,360
237: 253,80,320,618,993,826
238: 722,616,995,892,891,277
239: 558,171,888,719,427,997
240: 390,999,304,513,129,260
241: 488,123,667,191,436,449,704
242: 351,1002,432,7,278,951
243: 441,1003,556,568,196,460
244: 801,1005,444,156,356,350
245: 696,755,1007,1020,936,805
246: 1008,639,381,26,710,612
247: 1010,452,126,228,32,524
248: 274,454,453,1011,54,723
249: 727,1013,763
250: 369,846,988,922,893,1015
251: 1016,217,998,746,791
252: 848,1018,994,929
253: 80,816,237,755,1020,826
254: 853,1022,550,665,43,685,545
255: 382,677,470,1023,435,663
256: 857,777,474,736,177,1024
257: 627,543,0,132,130,515
258: 856,6,517,90,963,978
259: 262,519,521,130,538,535
260: 975,527,240,747,304,513
261: 903,540,531
262: 259,130,279,767,535,627
263: 589,867,540
264: 543,515
265: 479,548,322,703,141,433
266: 553,872,681,85,202,590
267: 954,559,328,979,614,434
268: 950,374,562,131,564,996
269: 282,568,898,201,100,566
270: 75,45,575,691,980,615
271: 939,126,524,4,860,544
272: 723,585,198,54,748,373
273: 596,592,110
274: 720,844,248,454,599,723
275: 861,503,79,802,604
276: 856,983,19,82,324,608
277: 974,636,371,891,616,238
278: 944,242,7,951,657,620
279: 529,298,767,66,627,262
280: 403,482,407,895,632,661
281: 529,640,637,693,783,132
282: 201,100,269,598,641,22
283: 787,915,116,862,644,327
284: 577,570,800,743,76,325
285: 219,516,588,42,654,956
286: 363,668,547,786,490,658
287: 664,662,134,38
288: 666,964,546,310,772,487
289: 1013,203,670,56,311,776
290: 84,339,106,572,600,675
291: 1006,557,981,1012,10,679
292: 165,648,683,105,44,688
293: 414,597,671,692,778,135
294: 689,697,554,189,192,851
295: 962,52,926,486,701,507
296: 502,118,231,631,484,945
297: 984,226,775,368,386,520
298: 40,715,279,529,640,66
299: 888,719,587,21,897,12
300: 695,333,728,194,75,45
301: 2,518,733,898,680,441
302: 30,737,361,461,739,806
303: 394,743,76,98,113,752
304: 747,138,494,181,240,999,260
305: 731,173,750
306: 319,112,58,475,207,904
307: 745,758,463,14,804,839,88
308: 24,208,877,727,457,763
309: 768,871,806,51,830,77
310: 930,209,772,9,288,546
311: 289,56,776,458,869
312: 15,364,780,571
313: 422,785,158,37,660,78
314: 217,791,952,480,793,989
315: 721,210,405,558,171,797
316: 408,584,69,353,953,802
317: 814,185,445,168,861,503
318: 71,817,391
319: 306,112,821,754,58,876
320: 80,237,827,618,972,384
321: 840,832,397,973,450,362
322: 548,265,624,837,574,141
323: 958,957,843,935,26,612
324: 856,19,517,587,276,594
325: 743,860,580,142,577,284
326: 865,990,4,85,20,142,590
327: 875,644,787,478,283,94,59
328: 883,510,979,74,879,559,267
329: 841,651,882,497,788,610
330: 197,21,585,885,888,997
331: 893,146,601,223,846,91
332: 823,610,897,12,928,25
333: 695,300,900,144,167,728
334: 903,733,22,201
335: 593,234,753,852,905
336: 87,27,896,948,908,949
337: 911,508,170,489,64,761
338: 394,23,98,862,914,133
339: 84,290,917,600,828
340: 561,919,91,530,656,159
341: 103,922,24,986,732
342: 425,199,866,970,925,633
343: 841,934,882,928,797,210
344: 787,467,757,116,932,605
345: 172,28,935,26,635,381
346: 152,625,527,938,86
347: 362,942,401,89,973,842
348: 176,163,944,657,536,355
349: 818,491,120,952,946,793
350: 244,156,356,948,619,838
351: 242,432,951,836,759,653
352: 38,149,614,81,954,134
353: 5,955,34,316,584,953
354: 28,935,511,886,957,360
355: 917,600,348,163,676,536
356: 961,244,1005,88,350,619
357: 186,982,90,963,863,367
358: 219,643,385,61,965,516
359: 214,947,621,967,175,738
360: 220,957,886,969,236,354
361: 30,302,806,971,77
362: 401,190,347,973,840,321
363: 513,286,39,668,975,547
364: 312,780,571,62,976,221
365: 599,885,594,198,978,517
366: 798,933,2,153,137,980
367: 720,844,222,982,90,357
368: 984,226,775,297,1009,970
369: 250,988,941,922,986,607
370: 223,846,988,487,63,964
371: 636,277,990,891,199,831
372: 929,992,122
373: 848,994,748,718,54,272
374: 673,268,562,996,40,33
375: 818,104,563,154,998,946
376: 105,44,785,1001,887,611
377: 506,1004,225,46,813,489
378: 682,1006,762,679,646,447
379: 420,615,68,775,1009,713
380: 1012,875,533,853,10,94
381: 246,639,1014,172,26,345
382: 255,1017,470,606,855,435
383: 542,393,794,35,182,1019
384: 686,227,770,320,827,972
385: 643,358,516,541,444,156
386: 984,96,297,1024,552,520
387: 523,655,900,144
388: 616,924,526,228,974,603
389: 37,678,530,623,41,422
390: 645,534,240,999,859,129
391: 537,318,817,664
392: 539,769,960,647,157,471
393: 542,534,383,229,11,1019
394: 23,743,303,338,98,580
395: 658,152,625,547
396: 443,184,549,501,687,854
397: 551,832,321,18,583,450
398: 438,672,42,555,681,654
399: 724,682,423,1006,557,628
400: 579,406,647,539,561,678
401: 950,362,942,190,562,347
402: 100,566,565,937,211,869
403: 410,280,632,661,800,570
404: 823,890,25,232,82,415,572
405: 768,721,315,210,871,576
406: 400,579,696,1007,539,446
407: 482,280,895,581,119,796,811
408: 316,778,161,584,69,469
409: 102,744,59,478,932,586
410: 403,956,661,649,570,902
411: 162,597,591,996,33,637
412: 824,593
413: 595,732,729,103,779,740
414: 597,293,591,525,545,135
415: 572,600,232,676,404
416: 714,793,989,235,603,924
417: 884,104,173,1017,606,13
418: 850,80,816,1021,827,93,611
419: 150,959,536,613,716,828,917
420: 691,615,379,713,472,169
421: 186,29,863,868,972,227
422: 313,785,1001,37,389,623
423: 724,628,399,456,878,829
424: 573,694,918,803,799,631
425: 342,970,633,1009,713,107
426: 47,725,200,985,622,635
427: 171,239,997,638,881,920
428: 72,642,675,106,497,788
429: 542,645,560,143,35,582
430: 114,836,468,648,789,49,759
431: 958,48,473,650,843,940
432: 242,351,1002,1000,653,667
433: 176,141,703,265,657,620
434: 614,659,979,166,522,267
435: 455,448,663,255,382,855
436: 704,241,667,1002,53,617
437: 50,669,453,706,1011
438: 398,672,555,136,894,711
439: 674,709,833,782
440: 900,167,655,36,766,677
441: 680,556,243,568,898,301
442: 684,712,52,486
443: 909,549,396,204,687,910
444: 244,801,156,8,385,541
445: 814,810,317,70,168,708
446: 221,539,960,976,696,406
447: 34,699,646,682,164,378
448: 455,472,169,435,663,702
449: 191,119,704,811,488,241
450: 451,18,707,973,397,321
451: 18,901,450,212,710,707
452: 1010,247,228,714,603
453: 669,437,718,1011,54,248
454: 720,274,178,760,248,1011
455: 448,995,435,702,855,726
456: 717,918,118,878,724,423
457: 727,927,208,308
458: 730,937,740,869,56,311
459: 621,967,595,151,732
460: 736,821,196,876,1003,243
461: 737,302,739,638,206,920
462: 943,870,1016,746,741
463: 307,745,904,57,839,734
464: 1018,994,748,197,835
465: 47,200,698,752,632,800,76
466: 579,755,41,1007,850,816
467: 757,344,605,784,155,1014
468: 114,836,430,759,87,896,109
469: 408,161,584,762,665,646
470: 255,766,731,382,677,1017
471: 157,546,9,912,769,392
472: 448,169,663,771,420,691
473: 174,991,958,431,220,650
474: 734,777,256,112,736,821
475: 595,151,779,58,306,207
476: 652,781,184,549,567,738
477: 47,784,725,907,698,757
478: 787,932,327,94,59,409
479: 67,548,265,703,165,789
480: 314,791,16,989,60,968
481: 790,117,794,977,700,1019
482: 160,280,407,895,581,661
483: 801,1005,57,839,690,749
484: 502,296,631,858,849,803
485: 852,936,905,805,500,62
486: 962,52,295,684,442,807
487: 63,370,809,772,964,288
488: 123,241,751,931,449,811
489: 337,170,1004,377,813,64
490: 71,786,140,286,815,668
491: 818,884,95,349,55,120
492: 221,774,769,960,822,571
493: 993,826,121,505,83,125
494: 51,830,782,138,304,181
495: 881,835,992,122,206,920
496: 215,908,931,838,643,965
497: 841,329,788,106,610,890,428
498: 680,847,556,137,630,124
499: 858,849,1010,939,126
500: 825,83,936,485,905,125
501: 184,396,758,804,961,854
502: 705,296,484,205,945,858
503: 861,275,185,317
504: 927,864,127
505: 819,493,993,121,792,868
506: 128,943,870,1004,225,377
507: 52,926,295,874,987,187
508: 911,878,188,337,829,170
509: 889,512,192,880,583,834
510: 840,328,883,795,832,74
511: 622,28,354,886,233,921
512: 977,889,700,509,111,880
513: 363,39,129,240,975,260
514: 543,17,0,578
515: 519,130,543,257,264
516: 219,385,358,285,541,654
517: 856,324,258,365,594,978
518: 531,2,153,301,903,733
519: 764,521,259,130,515
520: 136,552,711,226,297,386
521: 764,519,259,538,662,65
522: 689,166,179,3,659,434
523: 655,387
524: 32,865,4,271,247,126
525: 685,131,873,545,414,591
526: 722,388,616,55,924,120
527: 346,625,975,938,260,747
528: 5,955,592
529: 279,281,640,298,627,132
530: 37,561,919,340,678,389
531: 629,518,153,903,261,540
532: 6,608,624,193,609,574
533: 1012,380,875,213,913,133,644
534: 542,645,390,859,393,11
535: 81,767,820,262,259,538
536: 959,419,944,348,355,917
537: 38,149,569,817,664,391
538: 521,259,81,535,662,134
539: 446,960,392,647,400,406
540: 263,867,261,629,531
541: 385,516,444,8,672,654
542: 645,429,534,383,393,35
543: 514,0,257,515,264
544: 23,860,580,271,939,602
545: 685,525,1022,254,135,414
546: 666,157,288,471,310,9
547: 625,975,286,363,658,395
548: 67,479,265,770,322,837
549: 652,443,909,476,184,396
550: 853,10,762,679,254,665
551: 883,832,397,583,230,834
552: 177,1024,136,108,520,386
553: 588,42,681,266,202,902
554: 294,697,11,851,859,97
555: 195,398,99,438,42,681,711
556: 680,441,1003,847,498,243
557: 724,1006,399,291,231,981
558: 171,239,719,797,12,315
559: 954,74,879,267,820,328
560: 645,429,999,582,101,138
561: 340,678,530,647,159,400
562: 673,950,374,401,190,268
563: 634,13,375,104,154
564: 131,102,873,950,268,216
565: 139,776,641,402,100,869
566: 568,196,402,100,269,211
567: 476,184,738,175,14,804
568: 196,898,269,566,441,243
569: 3,149,537,659,140,817
570: 649,577,284,403,410,800,76
571: 312,15,364,221,774,492
572: 415,290,106,600,404,890
573: 424,46,968,694,16,799
574: 609,742,141,624,322,532
575: 980,270,615,933,68,124
576: 210,405,871,101,582,934
577: 20,649,142,570,284,325
578: 810,514,17
579: 400,406,466,41,1007,678
580: 394,23,743,860,544,325
581: 482,160,407,61,751,811
582: 143,934,101,576,429,560
583: 18,880,509,551,397,834
584: 316,408,469,353,34,646
585: 330,197,272,885,198,748
586: 932,605,147,102,409,216
587: 19,324,21,594,897,299
588: 553,42,285,902,956
589: 263,867,728,144
590: 20,202,266,990,85,326
591: 414,597,411,996,131,525
592: 528,955,110,699,273
593: 412,824,234,335
594: 365,21,885,324,517,587
595: 459,413,475,151,732,779
596: 273,145,899,188,110
597: 162,414,293,411,591,671
598: 641,22,282
599: 365,723,198,978,274,844
600: 355,415,290,339,917,572,676
601: 331,893,146,214,808,947
602: 858,939,23,544,205,914
603: 416,714,388,924,228,452
604: 861,275,802,69,692
605: 467,344,932,586,147,155
606: 382,1017,855,884,95,417
607: 208,986,927,127,369,941
608: 856,983,6,532,276,609
609: 742,574,148,983,608,532
610: 332,928,890,25,841,329,497
611: 376,44,1001,418,1021,93
612: 212,710,26,323,843,246
613: 150,236,419,716,773,828,991
614: 149,352,659,434,954,267
615: 575,420,691,270,379,68
616: 722,388,238,526,974,277
617: 150,53,959,1002,7,436
618: 993,868,972,237,320
619: 27,948,854,961,356,350
620: 278,951,657,703,49,433
621: 459,967,151,359,175,923
622: 28,511,635,985,233,426
623: 389,41,422,1001,850,93
624: 322,837,29,193,574,532
625: 152,346,975,527,547,395
626: 966,30
627: 257,132,279,529,262,130
628: 682,423,164,399,899,829
629: 798,531,153,867,540,194
630: 984,31,124,96,847,498
631: 118,296,484,424,918,803
632: 403,280,895,800,200,465
633: 425,342,891,199,892,107
634: 563,154
635: 172,622,28,345,725,426
636: 32,974,277,371,865,990
637: 33,281,640,162,411,693
638: 171,427,920,721,461,739
639: 246,155,1008,1014,842,381
640: 40,33,529,281,298,637
641: 139,598,565,282,100
642: 790,72,916,675,735,428
643: 838,385,358,965,156,496
644: 862,875,533,133,327,283
645: 542,429,560,534,390,999
646: 34,447,378,762,584,469
647: 157,159,539,392,561,400
648: 114,165,430,292,683,789
649: 20,202,577,570,902,410
650: 174,48,473,431,916,117
651: 143,35,882,329,788,182
652: 781,909,476,78,549,158
653: 949,1000,87,836,351,432
654: 398,672,42,285,516,541
655: 523,36,387,900,440
656: 666,964,159,223,340,91
657: 944,278,620,176,348,433
658: 395,286,547,786
659: 3,149,614,569,434,522
660: 37,919,146,808,78,313
661: 403,410,482,160,280,956
662: 287,134,65,521,538
663: 448,472,435,1023,771,255
664: 287,38,537,391
665: 1022,762,254,550,161,469
666: 964,656,157,159,288,546
667: 123,1000,241,1002,432,436
668: 286,765,815,363,39,490
669: 437,453,92,718
670: 729,1013,763,289,56,877
671: 162,597,293,692,168,708
672: 398,438,654,894,8,541
673: 374,190,562,795,40,715
674: 439
675: 642,735,428,84,290,106
676: 232,148,163,355,415,600
677: 255,766,470,1023,440,167
678: 561,530,389,400,579,41
679: 10,762,550,1006,378,291
680: 441,498,556,2,301,137
681: 195,398,553,42,555,872,266
682: 1006,628,164,378,399,447
683: 114,910,292,648,105,204
684: 442,807,486
685: 873,744,525,545,1022,254,43
686: 67,384,688,770,1021,827
687: 27,896,109,854,443,396,910
688: 67,686,44,1021,165,292
689: 294,166,697,189,522,179
690: 108,749,894,801,483,8
691: 771,45,420,270,615,472
692: 293,671,778,69,861,604,168
693: 162,281,637,70,708,783
694: 573,424,46,717,813,918
695: 300,1023,167,333,771,45
696: 245,406,1007,446,976,805
697: 689,294,554,179,765,97
698: 47,477,113,907,465,752
699: 955,592,110,34,447,164
700: 977,512,48,481,117,111
701: 962,73,926,295,792,760,222
702: 455,448,169,995,892,107
703: 789,49,479,265,620,433
704: 191,845,436,449,241,53
705: 502,205,945,914,213,913
706: 50,437,1011,807,178
707: 89,1008,973,451,450,710
708: 445,70,168,162,693,671
709: 971,439,77,51,782
710: 451,212,612,246,707,1008
711: 136,520,226,99,438,555
712: 187,52,442
713: 169,107,420,379,1009,425
714: 416,235,183,603,1010,452
715: 40,298,673,795,74,66
716: 969,150,53,236,419,613
717: 813,456,694,918,878,170
718: 669,453,92,54,848,373
719: 558,299,239,888,897,12
720: 274,844,760,222,454,367
721: 768,315,405,171,638,739
722: 726,616,55,238,526,995
723: 599,272,198,274,248,54
724: 423,557,399,456,118,231
725: 47,784,477,426,172,635
726: 722,55,855,455,995,95
727: 457,249,763,308
728: 589,867,194,300,144,333
729: 670,56,103,877,740,413
730: 937,779,754,458,740,58
731: 766,173,1017,470,305
732: 459,413,595,341,103
733: 334,903,898,201,518,301
734: 777,474,112,463,904,57
735: 642,916,675,773,84,174
736: 857,256,474,460,821,1003
737: 966,30,302,461,224,206
738: 781,476,567,359,947,175
739: 302,461,806,638,768,721
740: 730,779,458,729,56,413
741: 1016,462
742: 609,176,574,148,163,141
743: 394,303,76,580,325,284
744: 685,102,873,59,409,43
745: 307,463,207,904,14,923
746: 1016,251,791,870,462,60
747: 304,181,527,938,260
748: 464,994,373,197,272,585
749: 177,690,108,777,57,483
750: 13,305,173
751: 488,931,61,965,581,811
752: 113,465,698,800,303,76
753: 780,852,335
754: 730,937,211,58,876,319
755: 245,466,1007,1020,253,816
756: 864,809,127,63,941
757: 467,344,116,784,477,907
758: 307,14,804,501,961,88
759: 836,468,430,49,351,951
760: 720,178,222,454,962,701
761: 64,911,337
762: 679,550,665,378,646,469
763: 1013,670,249,727,308,877
764: 519,521,65
765: 815,97,39,668,697,179
766: 731,677,470,36,440
767: 879,66,535,820,279,262
768: 309,721,405,871,739,806
769: 492,960,392,912,822,471
770: 67,384,686,548,227,837
771: 45,691,695,1023,472,663
772: 930,310,809,487,288
773: 613,828,84,174,991,735
774: 492,822,180,15,571
775: 68,984,31,368,297,1009,379
776: 906,139,565,203,289,311,869
777: 734,256,474,57,177,749
778: 408,161,135,69,293,692
779: 730,740,58,413,475,595
780: 312,364,753,62,852
781: 652,476,78,738,808,947
782: 51,494,181,439,709,833
783: 17,0,132,693,281,70
784: 477,725,172,467,757,1014
785: 422,376,313,1001,158,887
786: 71,490,286,658
787: 478,344,116,932,283,327
788: 651,329,497,182,72,428
789: 703,165,430,648,49,479
790: 481,72,642,916,117,794
791: 314,217,251,746,480,60
792: 819,121,505,73,926,701
793: 416,989,349,924,120,314,952
794: 790,481,72,182,1019,383
795: 840,510,673,190,715,74
796: 985,119,233,407,895
797: 558,12,928,343,315,210
798: 366,629,153,194,75,980
799: 16,235,183,573,424,803
800: 403,632,570,284,76,465,752
801: 244,1005,444,483,8,690
802: 275,79,604,316,69,953
803: 424,799,183,849,631,484
804: 307,758,14,184,567,501
805: 936,485,62,976,245,696
806: 302,361,739,309,768,77
807: 684,962,486,178,706
808: 146,601,947,660,781,78
809: 756,772,487,63
810: 578,814,445,70,17
811: 119,449,488,751,407,581
812: 218,79
813: 46,717,694,377,170,489
814: 185,810,317,445
815: 765,668,179,3,140,490
816: 253,850,80,418,93,466,755
817: 318,71,140,537,569,391
818: 884,491,349,375,104,946
819: 505,792,868,73,186,982
820: 81,767,954,879,559,535
821: 319,474,112,460,736,876
822: 912,774,492,769
823: 332,404,897,25,19,82
824: 412,593,987,234,187
825: 83,905,500,987,234,874
826: 493,993,1020,125,253,237
827: 80,418,320,1021,384,686
828: 419,613,773,84,339,917
829: 899,878,188,508,423,628
830: 51,138,494,309,871,101
831: 199,925,872,371,990,85
832: 551,840,883,397,510,321
833: 439,782,181,938,86
834: 230,189,583,192,509,551
835: 881,122,495,197,464,1018
836: 468,430,759,87,653,351
837: 548,227,624,770,322,29
838: 643,156,350,948,908,496
