0.0,1
0.5,1
1.0,2
1.5,2
2.0,4
2.5,8
3.0,8
3.5,16
4.0,32
4.5,32
5.0,64
5.5,128
6.0,128
6.5,256
7.0,512
7.5,512
8.0,1021
8.5,1871
9.0,1961
9.5,3058
10.0,4193
10.5,4533
11.0,6145
11.5,7839
12.0,8278
12.5,10415
13.0,12663
13.5,13298
14.0,15923
14.5,18668
14.999999999305555,19522
15.499999999305555,22682
15.999999999305555,25862
16.499999999305555,26974
16.999999999305555,30620
17.499999999305555,34542
17.999999999305555,35764
18.499999999305555,39842
18.999999999305555,44117
19.49999999861111,45780
19.99999999861111,50261
20.49999999861111,51488
20.99999999861111,56932
21.49999999861111,61969
21.99999999861111,63463
22.49999999861111,69288
22.99999999861111,74919
23.49999999861111,76639
23.99999999861111,83056
24.49999999861111,89239
24.99999999861111,90927
25.49999999861111,97945
25.999999999305555,104464
26.499999999305555,106570
26.999999999305555,114115
27.499999999305555,121268
27.999999999305555,123451
