0: 264,257,70,17
2: 334,261,301,366,153,137
3: 140,490,149,179,166,434
4: 32,142,326,247,271,126
5: 273,447,353,218
6: 193,148,276,141,324,258
7: 348,242,278,150,355,419
8: 444,385,108,285,398,438
9: 157,310,471,288,209,115
10: 380,378,291,94,469,254
11: 294,390,97,393,229,192
12: 171,332,315,239,299
13: 154,104,417,173,305
14: 151,207,175,463,307,184
15: 312,221,492,364,180
16: 235,424,183,225,480,46
17: 317,445,0,70
18: 509,397,321,111,451,450
19: 324,21,276,82,332,299
20: 142,266,326,284,202
21: 198,330,324,365,19,299
22: 334,301,201,282
23: 394,502,271,205,338,126
24: 208,308,103,341,127,369
25: 82,343,404,497,106,332
26: 246,345,381,212,451,323
27: 501,356,443,109,336,350
28: 172,354,345,426,511,233
29: 421,322,186,357,227,193
30: 361,302,224
31: 498,386,96,368,68,124
32: 4,371,326,228,277,247
33: 40,281,374,132,298,411
34: 469,353,408,164,378,447
35: 393,429,329,383,182,143
36: 440,387,333
37: 422,313,389,340,78,146
38: 287,134,352,391
39: 179,129,97,363,490,286
40: 74,374,298,33,401,190
41: 422,389,93,406,400,466
42: 195,398,285,266,410,202
43: 94,59,102,254,131,135
44: 418,384,105,165,292,376
45: 270,75,300,167,420,472
46: 489,170,225,424,16,377
47: 477,113,465,200,172,426
48: 481,117,111,512,431,212
49: 351,433,278,468,430,479
50: 437,442,178,486
51: 361,439,77,309,494,181
52: 187,507,486,295,442
53: 150,236,419,191,436,360
54: 198,274,248,373,453,272
55: 120,238,388,455,95,491
56: 289,103,311,458,58,413
57: 112,463,177,88,483,474
58: 475,413,306,56,458,211
59: 43,478,94,327,409,102
60: 462,251,217,506,225,480
61: 160,219,358,123,407,488
62: 312,364,485,500,335
63: 487,127,370,504
64: 377,337,489
65: 287,259
66: 81,328,74,298,279,262
67: 384,165,479,322,227,265
68: 270,124,31,368,420,379
69: 316,408,161,293,275
70: 0,257,281,132,17,445
71: 318,140,490,286
72: 383,182,174,428,481,117
73: 367,222,295,121,505,186
74: 40,298,190,510,328,66
75: 366,270,45,153,194,300
76: 280,403,325,284,303,465
77: 361,302,51,461,309
78: 214,476,146,313,37,158
79: 275,218,316
80: 253,237,466,93,418,320
81: 328,66,267,352,134,262
82: 25,404,232,276,19,332
83: 234,507,121,493,500
84: 339,236,419,174,290,473
85: 371,266,326,199,195,342
86: 439,346,181
87: 215,336,432,109,351,468
88: 244,463,307,57,483,356
89: 147,347,362,450,155,246
90: 274,258,365,357,454,367
91: 223,370,340,146,331
92: 252,373,453
93: 422,376,41,80,466,418
94: 43,59,327,380,10,254
95: 417,491,382,435,455,55
96: 31,498,243,256,386,460
97: 179,39,129,294,390,11
98: 113,303,283,116,394,338
99: 195,226,398,438,297,342
100: 458,282,402,139,311
101: 143,138,309,405,210,494
102: 43,59,409,216,268,131
103: 56,308,24,289,341,413
104: 154,13,375,417,349,491
105: 44,292,376,313,204,158
106: 25,290,404,428,497
107: 455,199,169,448,425,238
108: 444,8,136,177,483,438
109: 27,114,443,336,87,468
110: 273,145,447,188,423,164
111: 48,512,212,451,18,509
112: 463,57,319,207,306,474
113: 47,98,477,303,116,465
114: 204,443,109,430,292,468
115: 209,9,471,492
116: 98,477,113,283,344,478
117: 481,48,473,431,174,72
118: 456,170,424,484,296,231
119: 407,191,511,488,233,449
120: 55,388,416,349,491,314
121: 507,83,493,505,73,295
122: 372,495,252,464
123: 215,496,241,358,61,488
124: 68,366,270,137,31,498
125: 253,485,493,245,500
126: 23,502,271,4,499,247
127: 63,369,504,208,24
128: 462,506
129: 39,390,97,363,260,240
130: 264,257,279,259,262
131: 414,411,43,102,268,374
132: 281,298,279,33,257,70
133: 380,213,205,338,283,327
134: 287,259,38,262,81,352
135: 254,414,293,43,161
136: 256,386,177,438,297,108
137: 366,124,301,2,441,498
138: 143,101,494,429,304,240
139: 203,311,100,282
140: 318,71,391,3,490,149
141: 193,6,176,265,148,322
142: 20,325,4,326,284,271
143: 138,101,210,429,329,35
144: 387,333,194,300
145: 273,110,188
146: 214,340,78,331,91,37
147: 89,347,216,155,344,467,409
148: 232,6,176,276,163,141
149: 140,391,3,434,267,352
150: 53,419,242,7,436
151: 459,475,207,14,359,175
152: 346,363,260,395
153: 366,75,263,261,2,194
154: 13,375,104
155: 147,89,467,246,381
156: 444,385,358,244,496,350
157: 159,400,9,471,288,392
158: 204,396,476,78,313,105
159: 400,157,288,223,340,389
160: 61,410,482,280,403,219,407
161: 469,69,408,254,135,293
162: 168,414,293,411,281,445
163: 232,176,148,348,355,415
164: 34,423,399,378,110,447
165: 44,384,67,430,292,479
166: 179,294,230,189,434,3
167: 440,255,333,300,45,472
168: 293,162,317,503,445
169: 420,472,107,448,379,425
170: 456,118,46,489,508,424
171: 461,315,239,12,427,405
172: 467,345,381,426,28,47,477
173: 470,382,305,13,417
174: 84,290,428,117,473,72
175: 359,214,476,151,14,184
176: 265,148,163,141,348,433
177: 57,483,136,256,474,108
178: 454,486,222,248,437,50
179: 39,294,97,166,3,490
180: 15,492
181: 346,304,494,439,51,86
182: 72,329,35,383,428,497
183: 235,424,484,16,499,452
184: 501,396,14,175,476,307
185: 317,503
186: 421,505,29,357,367,73
187: 412,234,507,52
188: 145,110,337,508,423
189: 230,509,397,192,294,166
190: 362,401,510,321,40,74
191: 511,119,436,449,360,53
192: 509,189,512,229,294,11
193: 6,141,29,322,357,258
194: 144,300,263,75,153
195: 398,99,42,342,85,266
196: 211,402,319,269,243,460
197: 495,427,330,464,272,239
198: 274,330,54,365,21,272
199: 107,425,342,238,85,371
200: 482,280,233,47,465,426
201: 301,22,441,282,269
202: 410,403,42,20,266,284
203: 139,311,249,289
204: 396,158,114,443,105,292
205: 23,502,338,296,133,213
206: 224,372,495,427,461,302
207: 151,475,306,14,112,463
208: 308,24,457,504,127
209: 115,9,310
210: 143,405,101,343,315,329
211: 458,402,319,196,58,306
212: 111,48,431,451,323,26
213: 133,231,380,291,205,296
214: 359,175,476,78,146,331
215: 336,496,432,241,123,87
216: 147,347,268,409,102
217: 251,60,480,375,349,314
218: 79,5,316,353
219: 385,358,285,61,410,160
220: 473,431,323,360,236,354
221: 446,15,492,364,471,392
222: 454,178,367,486,73,295
223: 487,370,91,159,288,340
224: 372,206,30,302
225: 506,60,480,16,377,46
226: 99,297,342,368,379,425
227: 421,29,320,322,384,67
228: 388,277,416,32,452,247
229: 393,383,481,512,192,11
230: 510,397,189,166,434,328
231: 399,213,291,296,456,118
232: 148,276,163,82,404,415
233: 407,511,119,482,200,426,28
234: 412,187,507,83,335
235: 314,183,16,452,416,480
236: 84,53,419,360,473,220
237: 253,80,493,421,505,320
238: 55,388,277,455,199,107
239: 171,12,299,330,197,427
240: 260,304,429,138,129,390
241: 215,432,123,436,488,449
242: 351,7,278,432,436,150
243: 498,460,96,441,269,196
244: 88,483,356,156,444,350
245: 253,125,485,466,446,406
246: 26,381,451,89,450,155
247: 499,452,228,32,4,126
248: 454,178,437,274,54,453
249: 308,289,457,203
250: 359,331,341,369,459
251: 462,217,60,375
252: 92,464,373,122
253: 125,80,237,493,245,466
254: 135,10,43,94,469,161
255: 440,382,167,435,472
256: 136,386,460,96,474,177
257: 264,0,130,70,132,279
258: 90,324,365,357,193,6
259: 65,287,134,262,130
260: 346,152,363,304,240,129
261: 334,2,263,153
262: 259,134,279,81,66,130
263: 261,194,153
264: 0,130,257
265: 176,141,67,479,322,433
266: 20,85,326,195,42,202
267: 434,81,328,352,149
268: 347,216,401,102,131,374
269: 402,196,201,441,243
270: 68,366,45,75,124,420
271: 394,23,126,325,142,4
272: 464,373,198,330,54,197
273: 145,110,5,447
274: 198,54,90,365,454,248
275: 79,316,69,503
276: 232,6,148,324,19,82
277: 228,238,388,32,371
278: 348,242,351,49,433,7
279: 132,298,66,130,257,262
280: 482,160,76,403,200,465
281: 132,33,411,162,445,70
282: 100,139,22,201
283: 98,116,338,133,478,327
284: 20,325,142,202,76,403
285: 219,385,8,398,42,410
286: 395,39,363,71,490
287: 65,259,38,134
288: 159,157,9,310,487,223
289: 56,249,308,103,203,311
290: 428,106,415,84,339,174
291: 399,231,380,10,213,378
292: 44,105,165,430,204,114
293: 135,168,414,162,69,161
294: 179,97,11,166,189,192
295: 486,73,222,507,52,121
296: 502,205,484,118,231,213
297: 226,99,438,136,386,368
298: 40,74,132,279,33,66
299: 332,239,12,330,21,19
300: 144,333,194,45,75,167
301: 334,22,2,201,441,137
302: 30,361,77,461,224,206
303: 98,113,465,325,76,394
304: 346,181,260,240,138,494
305: 173,13
306: 58,475,207,211,319,112
307: 463,88,14,501,184,356
308: 249,208,24,289,103,457
309: 405,101,494,77,51
310: 9,288,209,487
311: 203,139,56,289,458,100
312: 15,364,62
313: 422,376,37,78,158,105
314: 235,349,120,416,217,480
315: 171,12,343,405,210
316: 69,353,408,79,275,218
317: 185,17,503,445,168
318: 140,71,391
319: 211,196,306,460,474,112
320: 421,227,80,237,418,384
321: 510,18,397,362,190,450
322: 29,227,67,193,265,141
323: 431,212,220,354,26,345
324: 258,365,21,19,6,276
325: 142,284,76,394,271,303
326: 20,32,142,85,4,371,266
327: 478,94,59,283,133,380
328: 81,66,267,230,510,74
329: 35,182,343,497,143,210
330: 198,21,272,239,299,197
331: 359,214,250,146,91
332: 12,299,19,25,82
333: 387,144,300,36,440,167
334: 261,301,22,2
335: 234,62,500
336: 215,496,350,87,27,109
337: 489,508,64,188
338: 394,23,205,98,283,133
339: 84,355,419,290,415
340: 146,223,91,159,37,389
341: 24,103,369,459,413,250
342: 195,226,99,199,425,85
343: 25,497,315,329,210
344: 477,116,467,478,409,147
345: 172,354,26,381,28,323
346: 181,152,260,304,86
347: 147,89,216,362,401,268
348: 433,7,278,176,163,355
349: 375,104,491,120,217,314
350: 336,496,244,356,27,156
351: 242,49,278,468,432,87
352: 81,267,391,149,38,134
353: 316,34,408,5,447,218
354: 345,28,511,360,220,323
355: 339,419,348,7,163,415
356: 501,27,244,307,88,350
357: 29,186,367,193,90,258
358: 156,219,385,496,123,61
359: 214,175,250,331,459,151
360: 191,511,236,53,354,220
361: 30,439,302,77,51
362: 89,347,401,190,450,321
363: 152,260,39,129,395,286
364: 446,15,312,221,62,485
365: 198,274,90,324,258,21
366: 270,75,153,124,137,2
367: 454,73,222,186,357,90
368: 31,386,68,379,226,297
369: 127,370,24,341,250
370: 487,63,223,369,91
371: 32,85,326,199,277
372: 224,122,495,206
373: 92,252,464,453,272,54
374: 40,33,401,268,131,411
375: 154,104,349,251,217
376: 422,313,93,418,44,105
377: 64,506,225,46,489
378: 399,10,291,469,34,164
379: 420,169,425,68,368,226
380: 133,10,213,291,94,327
381: 172,467,246,26,345,155
382: 173,470,255,435,95,417
383: 393,72,35,229,182,481
384: 418,44,67,165,320,227
385: 156,219,444,358,8,285
386: 31,136,256,96,368,297
387: 144,333,36
388: 228,120,55,238,277,416
389: 422,37,41,159,400,340
390: 129,97,11,393,429,240
391: 318,140,149,352,38
392: 400,157,471,446,221,406
393: 429,35,229,383,390,11
394: 23,271,338,325,98,303
395: 286,152,363
396: 501,184,204,158,443,476
397: 230,510,18,509,321,189
398: 195,99,438,42,8,285
399: 231,378,291,456,423,164
400: 159,157,392,389,41,406
401: 347,362,190,268,40,374
402: 458,211,100,269,196
403: 410,160,280,202,76,284
404: 25,82,106,415,232
405: 309,101,210,171,461,315
406: 41,400,392,446,245,466
407: 119,488,233,61,482,160
408: 469,316,34,69,353,161
409: 478,59,102,344,147,216
410: 160,202,403,42,219,285
411: 131,414,162,281,374,33
412: 187,234
413: 58,459,475,56,103,341
414: 131,135,293,411,162
415: 290,404,232,163,339,355
416: 228,120,388,235,314,452
417: 95,13,104,491,173,382
418: 44,384,376,93,80,320
419: 84,150,339,236,355,53,7
420: 472,169,379,68,270,45
421: 505,29,320,186,227,237
422: 376,313,37,389,41,93
423: 456,508,399,110,188,164
424: 484,183,16,118,46,170
425: 199,107,169,379,226,342
426: 172,28,200,233,47
427: 495,206,197,171,461,239
428: 290,497,106,174,72,182
429: 393,35,143,138,390,240
430: 165,292,479,114,49,468
431: 117,48,473,212,220,323
432: 215,241,87,242,351,436
433: 348,49,278,479,176,265
434: 267,230,166,3,149
435: 382,255,455,448,95
436: 191,449,432,241,242,150,53
437: 50,178,248,453
438: 398,99,297,136,108,8
439: 361,51,181,86
440: 36,470,255,167,333
441: 301,201,269,137,498,243
442: 50,52,486
443: 501,27,204,396,114,109
444: 156,385,108,8,244,483
445: 17,317,168,162,281,70
446: 221,364,392,406,485,245
447: 273,110,5,34,353,164
448: 455,472,107,169,435
449: 191,119,436,488,241
450: 89,362,246,451,18,321
451: 111,212,246,26,450,18
452: 235,183,499,247,228,416
453: 92,373,248,437,54
454: 178,367,222,248,274,90
455: 107,448,435,95,55,238
456: 118,508,170,423,399,231
457: 249,208,308
458: 211,100,402,311,56,58
459: 151,475,413,341,359,250
460: 243,256,96,474,319,196
461: 171,206,427,405,302,77
462: 251,506,60,128
463: 112,307,88,57,207,14
464: 252,373,272,122,495,197
465: 47,113,303,280,76,200
466: 253,80,245,41,93,406
467: 172,381,477,344,147,155
468: 351,49,114,109,430,87
469: 34,408,161,10,378,254
470: 173,440,382
471: 157,9,392,115,221,492
472: 420,169,448,45,255,167
473: 117,431,220,84,236,174
474: 256,460,319,112,177,57
475: 58,459,151,207,413,306
476: 214,175,78,184,396,158
477: 47,113,116,344,172,467
478: 59,327,409,283,116,344
479: 67,165,430,49,433,265
480: 217,60,225,235,314,16
481: 117,48,512,72,229,383
482: 160,280,200,407,233
483: 244,177,88,57,444,108
484: 424,183,499,502,296,118
485: 125,245,500,446,364,62
486: 178,222,295,52,50,442
487: 63,223,370,310,288
488: 407,119,449,241,123,61
489: 337,46,508,170,64,377
490: 140,71,3,179,39,286
491: 95,104,417,349,120,55
492: 15,221,115,180,471
493: 253,125,237,83,121,505
494: 138,309,101,51,181,304
495: 122,372,206,197,427,464
496: 215,336,123,350,156,358
497: 25,343,428,106,329,182
498: 31,243,96,441,124,137
499: 484,183,452,247,502,126
500: 125,485,62,83,335
501: 184,356,27,396,443,307
502: 23,205,126,296,484,499
503: 185,317,168,275
504: 208,127,63
505: 421,186,237,493,121,73
506: 462,60,225,377,128
507: 187,234,83,52,121,295
508: 337,456,489,170,423,188
509: 18,397,189,192,111,512
510: 230,397,321,190,74,328
511: 191,119,233,360,354,28
512: 481,111,48,229,509,192
