0: 264,17,70,257
2: 366,153,137,334,261,301
3: 179,490,434,166,149,140
4: 32,247,142,326,271,126
5: 218,353,447,273
6: 193,324,148,276,258,141
7: 242,163,278,348,150,355
8: 108,285,398,438,444,385
9: 209,115,310,471,288,157
10: 380,469,291,378,94,254
11: 393,390,229,192,97,294
12: 171,239,299,315,343,332
13: 305,154,104,417,173
14: 463,207,307,151,184,175
15: 180,312,221,492,364
16: 424,225,480,183,46,235
17: 317,445,70,0
18: 509,397,321,451,111,450
19: 324,276,21,82,332,299
20: 142,266,326,284,202
21: 198,330,365,19,324,299
22: 282,201,334
23: 502,271,126,205,394,338
24: 208,308,127,369,103,341
25: 82,343,332,404,428,497,106
26: 246,451,381,323,345,212
27: 109,336,350,501,356,443
28: 511,354,233,172,345,426
29: 186,357,227,421,322,193
30: 361,224,302
31: 498,68,124,96,386,368
32: 247,4,371,277,326,228
33: 411,132,298,281,40,374
34: 164,469,378,353,408,447
35: 393,143,329,383,182,429
36: 440,387,333
37: 78,146,340,422,389,313
38: 134,352,391,287
39: 179,129,286,363,490,97
40: 374,74,401,190,298,33
41: 422,466,400,389,93,406
42: 285,398,195,266,202,410
43: 131,94,135,254,102,59,414
44: 384,105,165,376,292,418
45: 420,472,167,270,75,300
46: 424,225,16,377,489,170
47: 477,113,465,200,172,426
48: 481,117,111,512,212,431
49: 351,433,479,278,430,468
50: 178,442,486,437
51: 181,309,439,77,494,361
52: 442,486,295,187,507
53: 150,236,419,191,360,436
54: 198,274,248,272,373,453
55: 120,238,388,95,491,455
56: 58,103,458,413,289,311
57: 112,463,474,88,483,177
58: 211,475,56,306,458,413
59: 43,94,327,409,102,478
60: 462,251,506,217,225,480
61: 482,160,219,358,123,488,407
62: 485,335,364,500,312
63: 487,127,369,370
64: 337,489,377
65: 287,259
66: 262,81,328,74,298,279
67: 384,165,227,322,479,265
68: 31,124,270,420,379,368
69: 161,503,168,275,293,316
70: 257,132,281,445,17,0
71: 318,140,286,490
72: 481,117,174,290,428,383,182
73: 121,505,186,367,222,295
74: 40,190,510,298,66,328
75: 194,366,270,153,300,45
76: 465,284,325,403,280,303
77: 51,309,206,461,302,361
78: 214,37,146,158,476,313
79: 316,218,275
80: 384,418,466,93,253,320
81: 134,66,267,262,352,328
82: 25,332,404,232,19,276
83: 335,500,493,234,507,121
84: 473,236,419,290,339,174
85: 371,266,326,195,199,342
86: 346,181
87: 215,109,432,241,468,336,351
88: 463,57,483,307,356,244
89: 362,450,347,246,155,147
90: 274,365,357,367,454,258
91: 223,250,146,331,340,370
92: 252,373,453
93: 422,466,41,80,376,418
94: 43,327,254,59,380,10
95: 55,491,455,435,382,417
96: 31,498,243,386,256,460
97: 179,39,129,294,390,11
98: 113,303,394,116,283,338
99: 195,226,297,342,398,438
100: 139,282,402,311,458
101: 309,494,405,143,138,210
102: 43,131,409,59,268,216
103: 56,341,413,308,24,289
104: 154,13,375,417,349,491
