0: 70,257,264,17
2: 137,301,334,366,261,263,153
3: 140,149,179,166,267,434,490
4: 32,247,326,142,271,126
5: 218,273
6: 193,19,258,276,324,82,148,141
7: 242,278,348,436,150,163,355
8: 108,285,398,438,444,385,156,42
9: 115,471,159,157,310,288
10: 94,254,469,213,380,291,378
11: 229,192,294,393,390
12: 239,171,299,315,332,343
13: 154,104,417,173,305
14: 207,306,307,151,463,184,175,359
15: 312,364,492,221
16: 225,314,480,46,235,183,424
17: 0,70,317
18: 450,451,111,509,362,321,397
19: 6,198,324,365,21,82,299,332
20: 195,202,142,266,284,326
21: 19,198,330,239,299,332
22: 201,282,301,334
23: 502,126,296,205,271,133,338
24: 63,127,250,369,208,341
25: 232,332,343,497,404,82,106
26: 172,246,212,323,345,381,28,354
27: 109,443,336,350,501,356,244
28: 511,233,360,426,354,26,345
29: 186,227,421,505,322,367,357
30: 224,302,361
31: 169,68,368,386,498,124
32: 199,247,4,228,326,371
33: 40,132,281,298,374,411
34: 164,353,378,447,469
35: 143,429,182,329,383,393
36: 333,440,387
37: 41,422,340,389,313
38: 391,287
39: 286,395,363,97,179,490
40: 74,33,190,268,298,374,401
41: 37,466,93,422,406,389,400
42: 8,285,398,195,202,266,410
43: 94,135,254,102,131,414
44: 80,292,376,418,105,165
45: 472,167,300,75,420,448
46: 225,64,16,377,170,424,489
47: 172,345,467,465,200,426,477,113
48: 117,111,512,192,431,481,473
49: 242,479,278,430,433,468,351
50: 437,453,178
51: 181,309,439,361,77,494
52: 442,486,187,295,507
53: 191,119,449,436,150,236,419
54: 248,272,437,453,198,274
55: 277,388,238,107,95,455,491
56: 103,289,311,413,458,58
57: 112,474,207,463,88,177,483
58: 475,56,413,458,211,306
59: 478,327,380,409,94,102
60: 506,462,480,217,251
61: 407,358,482,488,123,160,219
62: 485,312,335,364,500,83
63: 127,24,369,487
64: 377,46,489
65: 287,259
66: 74,298,81,262,279
67: 265,322,384,418,227
68: 420,169,31,124,270
69: 503,168,275,408,161,293
70: 0,257,17,132,281,317,445
71: 286,140,490
72: 174,290,428,182,117,383,481
73: 121,222,186,295,505,486,367
74: 40,510,66,190,298
75: 194,153,270,45,300,420
76: 465,160,280,284,303,325,403
77: 206,302,461,51,309,361
78: 214,175,158,313,476,146
79: 316,275
80: 44,253,93,320,376,384,418
81: 267,328,262,352,66,134
82: 6,19,276,324,25,232,332,404
83: 121,493,500,507,234,62,335
84: 236,174,290,339,355,419
85: 199,342,195,266
86: 181,346
87: 215,109,241,468,336,351,432
88: 244,483,57,307,463,356
89: 246,155,347,450,362,401
90: 454,367,258,274,357,365
91: 250,146,331,369,370,214
92: 373,453
93: 80,253,41,466,422,376
94: 43,10,254,102,59,380
95: 417,455,491,382,435,55
96: 498,243,460,386,256
97: 129,390,179,39,363
98: 477,113,116,283,338,394,303
99: 398,438,226,297,342,195
100: 311,458,139,282,402
101: 494,143,138,304,210,405,309
102: 43,94,131,59,409,216
103: 208,56,289,308,341,413
104: 13,154,349,375,417
105: 44,422,292,376,204,158,313
106: 290,339,415,428,25,497,404
107: 448,425,435,455,55,238
108: 177,8,398,438,444,483
109: 114,443,27,468,87,336,204
110: 508,164,188,273,423,447
111: 48,512,192,509,431,18,212,451
112: 474,207,196,57,319,460,463
113: 98,477,465,303,47,467
114: 109,443,468,204,292,430
115: 471,492,9,310,209
116: 478,98,477,133,283,327,344,467
117: 48,512,431,481,174,72,473
118: 502,231,170,296,424,456,484
119: 191,511,53,233,407,449,488
120: 349,491,388,416
121: 73,186,295,493,505,507,83
122: 224,495,372,252,464
123: 215,241,496,61,358,488
124: 498,137,270,366,31,68
125: 237,493,500,485,253,320,245
126: 23,502,499,247,4,271
127: 63,24,504,208
128: 506,462
129: 97,240,260,429,390,363
130: 257,259,264,279,262,134
131: 43,102,414,411,216,268,374
132: 33,281,298,70,257,279
133: 213,116,283,327,338,23,205
134: 287,81,262,352,130,259
135: 43,161,254,293,414,469
136: 256,177,438,297,368,386
137: 2,498,201,441,124,301,366,153
138: 494,143,240,101,304,429,210
139: 100,203,311
140: 149,3,318,490,71
141: 176,148,265,322,193,6
142: 20,394,284,325,271,4,326
143: 138,240,101,35,429,210,329
144: 194,263,300,333
145: 337,273
146: 91,331,340,370,214,78
147: 155,347,381,467,344,409,216
148: 176,141,348,6,276,163,232
149: 140,3,267,318,352,391
150: 355,419,242,7,53,436
151: 14,207,306,475,359,459
152: 395,363,260
153: 194,263,75,2,137,270,366
154: 13,104,375,305
155: 172,89,246,147,347,381,467
156: 244,8,444,385,350,496
157: 471,159,9,406,392,400
158: 204,78,313,396,476,105
159: 9,157,389,400,223,288,340
160: 219,76,280,403,410,61,358,482
161: 135,254,293,469,408,69
162: 293,414,411,281,168,445
163: 339,355,415,148,7,348,232
164: 110,34,291,378,399,423,447
165: 479,265,430,44,292,418
166: 3,179,434,189,294
167: 472,255,45,300,333,440
168: 69,503,317,445,162,293
169: 420,31,68,448,425,368,379
170: 118,424,456,489,46,508,423
171: 239,12,299,315,405,206,461
172: 155,26,345,47,381,467,477
173: 13,470,382
174: 84,72,290,473,117
175: 184,214,78,359,476,14
176: 148,479,141,265,278,348,433
177: 256,108,438,483,136,474,57
178: 486,222,454,50,248,437
179: 3,166,490,294,97,39
180: 492,15
181: 51,86,494,304,346
182: 329,497,72,428,383,35
183: 424,484,499,235,452,16,314
184: 501,175,356,396,476,14,307
185: 503,317
186: 121,222,73,421,29,505,367,357
187: 295,507,234,52
188: 508,110,489,337
189: 192,294,509,230,166,397
190: 40,510,74,362,401,321
191: 511,119,53,360,449,236
192: 189,111,48,512,11,229,294,509
193: 6,258,324,357,141,322
194: 144,263,75,153,300
195: 20,266,342,99,398,42,85
196: 112,211,319,460,402,243,269
197: 495,427,330,464,272,239
198: 19,274,330,365,21,54
199: 32,277,371,85,238,342
200: 233,407,426,482,465,280,47
201: 137,441,269,282,301,22
202: 20,266,284,403,410,42
203: 289,308,311,249
204: 158,396,292,105,109,114,443
205: 23,502,231,296,213,133,338
206: 77,495,302,461,372,427,239,171
207: 112,14,57,306,319,151,463
208: 103,308,341,127,24
209: 115,310
210: 315,329,405,143,138,101
211: 196,306,319,402,458,58
212: 246,26,323,451,354,111,431
213: 133,327,380,231,296,205,291,399,10
214: 175,78,359,476,91,146,331
215: 241,87,336,350,496,123
216: 268,401,409,147,347,102,131
217: 251,349,375,60,314,480
218: 353,408,447,316,5
219: 160,403,410,285,385,61,358
220: 236,473,360,354,323,431
221: 471,492,446,392,15,364
222: 73,186,295,178,486,454,367
223: 288,340,370,487,159
224: 30,122,302,372
225: 506,16,377,480,46
226: 425,297,342,368,379,99
227: 421,29,384,322,67
228: 32,247,452,277,371,388,416
229: 512,11,192,393,481,390
230: 328,397,434,189,510,321
231: 118,296,456,205,213,291,399
232: 25,404,148,276,82,163,415
233: 28,511,119,200,407,426,482
234: 335,187,83
235: 452,416,16,314,183,499
236: 84,220,419,473,191,53,360
237: 125,421,493,505,253,320
238: 199,55,277,107,425,455
239: 12,171,299,21,206,427,197
240: 143,129,138,260,304,429
241: 215,87,432,123,449,488
242: 49,7,278,351,432,436,150
243: 498,441,96,269,196,460
244: 88,444,483,156,356,27,350
245: 253,466,406,446,485,125,500
246: 89,155,26,212,381,450,451
247: 32,4,228,452,371,126,499
248: 54,437,178,454,274
249: 203,289,308,457
250: 24,91,331,369,475,341,413,459
251: 217,375,60,462
252: 464,272,373,122
253: 80,466,93,320,245,237,125
254: 43,10,94,135,161,414,469,378
255: 470,472,167,382,435
256: 177,136,96,474,460,386
257: 130,0,70,264,279,132
258: 193,6,90,324,357,365
259: 130,264,65,134,287
260: 129,240,304,346,152,363
261: 263,2,334
262: 81,352,66,130,279,134
263: 194,144,261,153,2
264: 130,0,257,259
265: 176,165,479,141,322,433,67,418
266: 195,20,202,410,42,85
267: 149,3,81,328,434,352
268: 40,216,374,401,347,131,411
269: 243,201,441,282,196,460,402
270: 124,366,75,153,420,68
271: 142,394,4,326,23,126,338
272: 252,54,464,373,330,197
273: 110,447,145,5
274: 454,90,198,365,54,248
275: 69,503,79
276: 6,82,148,232
277: 199,55,228,371,388,238
278: 176,242,49,7,348,433,351
279: 130,257,66,132,298,262
280: 465,160,76,303,403,200,482
281: 33,132,374,162,411,445,70
282: 201,269,22,100,402
283: 478,98,477,116,133,327,338,394
284: 20,202,76,142,325,403
285: 8,398,385,42,219,410
286: 71,39,395,363,490
287: 65,38,134,259
288: 223,487,159,9,310
289: 203,103,56,308,311,413,249
290: 84,174,72,106,339,428
291: 164,378,399,231,213,380,10
292: 44,105,204,114,165,430
293: 135,161,162,414,69,168
294: 189,11,192,179,166
295: 121,187,222,73,507,52,486
296: 118,23,502,231,456,484,205,213
297: 226,368,386,99,398,438,136
298: 40,66,74,33,132,279
299: 239,12,171,332,343,19,330,21
300: 167,45,333,440,194,144,75
301: 2,137,201,441,334
302: 224,30,206,77,372,361
303: 465,76,394,280,325,98,113
304: 494,138,240,101,260,346,181
305: 13,154,173
306: 14,211,207,319,151,475,58
307: 14,463,501,184,356,88
308: 208,203,103,289,249
309: 51,405,77,461,494,101
310: 115,9,209,288
311: 100,203,56,289,458,139
312: 15,62,335,364
313: 78,158,37,422,105
314: 16,480,217,235,416,183
315: 12,210,171,329,343,405,497
316: 79,218,353,408
317: 185,503,168,445,70,17
318: 140,149,391
319: 112,211,207,196,306,460
320: 80,253,384,237,125,421
321: 510,190,362,18,450,509,230,397
322: 141,265,67,227,29,193
323: 26,212,360,354,220,431
324: 193,6,19,258,365,82
325: 76,142,394,284,303
326: 32,4,20,142,271
327: 478,59,213,116,133,283,380
328: 230,81,267,434,510
329: 210,182,315,497,143,35
330: 198,21,272,299,197
331: 91,250,146,214,359,459
332: 25,12,299,343,19,21,82
333: 36,167,300,440,144,387
334: 2,301,22,261
335: 234,62,312,83
336: 215,109,443,27,468,87,350
337: 145,188
338: 98,133,283,394,271,23,205
339: 84,163,106,290,355,415,404
340: 223,146,370,159,389,37
341: 208,103,413,24,250,369
342: 226,425,379,99,199,85,195
343: 25,12,299,315,332,497
344: 478,477,116,409,147,467
345: 172,26,47,381,28,426,354
346: 260,304,181,86
347: 89,155,147,409,216,268,401
348: 176,148,7,278,433,163
349: 120,104,217,375,417,491
350: 215,27,336,496,244,156
351: 468,87,432,242,49,278,436
352: 149,81,267,262,134,391
353: 218,34,408,447,469,316
354: 28,511,360,220,26,212,323,345
355: 84,150,163,339,415,419,7
356: 501,184,307,88,244,27
357: 193,90,367,258,186,29
358: 61,488,385,496,123,160,219
359: 214,175,459,331,14,151
360: 28,191,511,354,236,220,323
361: 51,439,30,77,302
362: 510,190,401,321,89,18,450
363: 39,152,286,395,97,129,260
364: 15,62,485,312,221,446
365: 19,90,198,258,274,324
366: 2,498,137,124,270,153
367: 454,90,357,222,73,186,29
368: 226,169,31,297,379,386,136
369: 63,24,91,250,370,487,341
370: 223,91,146,340,369,487
371: 199,32,247,228,277,388
372: 224,122,206,495,302,427
373: 92,252,464,272,453
374: 40,33,268,281,131,411
375: 154,104,217,251,349
376: 80,44,93,422,418,105
377: 225,64,506,46
378: 164,34,291,10,254,469
379: 226,169,425,342,368
380: 59,213,327,291,10,94
381: 172,246,155,26,147,345,467
382: 470,255,435,95,417,173
383: 393,481,72,182,35,429
384: 80,320,418,227,421,67
385: 8,285,444,156,496,219,358
386: 31,297,368,96,256,136
387: 36,333
388: 55,228,277,371,416,120,491
389: 159,400,340,41,37
390: 97,129,429,11,229,393
391: 38,149,318,352
392: 471,221,157,406,446,400
393: 11,229,383,481,35,429,390
394: 142,303,325,271,98,283,338
395: 39,152,286,363
396: 501,184,204,158,476,443
397: 230,18,189,509,510,321
398: 99,108,8,285,438,42,297,195
399: 164,291,423,231,456,213
400: 159,157,406,389,392,41
401: 40,190,216,268,362,89,347
402: 211,196,100,458,269,282
403: 160,219,202,76,280,284,410
404: 25,232,497,82,106,339,415
405: 210,171,315,461,101,309
406: 157,446,392,400,41,466,245
407: 511,119,61,233,200,482,488
408: 218,353,161,469,316,69
409: 478,59,344,147,347,102,216
410: 160,219,202,266,403,285,42
