run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,mean_origin_relative_error_percent,final_origin_center_uM
dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,1.4591887906199184,8.374666692666686
dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,1.4671054721257621,8.343442846064676
dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,1.4681448016362204,8.342276674015961
dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,1.4688632370106989,8.36185414156548
dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,20.0,12044,0.1,1.0,1.6256991855169958,8.188046441731133
dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,10.0,12044,0.1,523.0,2.228830382852893,7.5600469266132055
dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,10.0,12044,0.1,1000.0,2.2302522316426647,7.558502113445716
dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,5.0,12044,0.005,523.0,2.2491085438397858,7.476872031024012
dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,5.0,12044,0.005,1000.0,2.25154598466525,7.474162449990088
dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,10.0,12044,0.01,523.0,5.14815100041327,4.336649710773877
