time_min,average_uM,center_corner_mean_uM
0.0,10.0,10.0
0.1,9.99047153831793,9.398652059592775
0.2,9.981484563907735,9.08662021180568
0.3,9.972868895321493,8.90881257197013
0.4,9.964654622058223,8.79534338000165
0.5,9.956908134986953,8.716367483639658
0.6,9.94968472338392,8.65785253636308
0.7,9.943015932071003,8.612491486632607
0.8,9.93690984889832,8.576137873073957
0.9,9.931355865030048,8.54627009630256
1.0,9.926330243554267,8.521266217406627
1.1,9.921801027387787,8.500033277255804
1.2,9.917731856203895,8.481804946447689
1.3,9.914084714591047,8.466024943561411
1.4,9.910821795088667,8.452276834220198
1.5,9.9079066881892,8.440240190544685
1.6,9.905305087232515,8.429662364310524
1.7,9.902985157138355,8.420339829971883
1.8,9.900917678011357,8.412105561700127
1.9,9.899076043228037,8.404820306199944
2.0,9.897436167513556,8.39836642213923
2.1,9.895976342847286,8.392643440906609
2.2,9.894677067454973,8.387564800858398
2.3,9.893520864369558,8.383055394291244
2.4,9.89249210001874,8.379049686273131
2.5,9.891576809219137,8.375490242509251
2.6,9.890762530233655,8.372326554877464
2.7,9.8900381517574,8.369514087568417
2.8,9.889393772541421,8.36701348984727
2.9,9.88882057363622,8.364789937123257
3.0,9.888310702796673,8.362812572740829
3.1,9.887857170339423,8.361054030315142
3.2,9.887453755617518,8.359490021599786
3.3,9.887094923230231,8.35809897851361
3.4,9.886775748089235,8.356861740547455
3.5,9.886491848495385,8.35576128064606
3.6,9.886239326430513,8.354782464034844
3.7,9.886014714327324,8.35391183548644
3.8,9.88581492764202,8.353137431299842
3.9,9.885637222615562,8.352448612866555
4.0,9.885479158668383,8.351835919171817
4.1,9.885338564928515,8.351290935958865
4.2,9.88521351044447,8.350806179593949
4.3,9.885102277680852,8.350374993926314
4.4,9.885003338937468,8.349991458652617
4.5,9.884915335371039,8.34965030787798
4.6,9.884837058333368,8.349346857722578
4.7,9.884767432770877,8.349076941958012
4.8,9.884705502458262,8.34883685477541
4.9,9.884650416863911,8.348623299890143
5.0,9.884601419466952,8.348433345278334
5.1,9.884557837365612,8.348264382919815
5.2,9.884519072034202,8.348114092992384
5.3,9.884484591101835,8.34798041202433
5.4,9.884453921039947,8.347861504566982
5.5,9.88442664065814,8.347755737997918
5.6,9.88440237531902,8.347661660108617
5.7,9.884380791792543,8.347577979168692
5.8,9.884361593679179,8.347503546192986
5.9,9.884344517338986,8.34743733916809
6.0,9.884329328270693,8.347378449021733
6.1,9.884315817891029,8.34732606714248
6.2,9.88430380067005,8.347279474278462
6.3,9.884293111583121,8.347238030662705
6.4,9.884283603844521,8.347201167229631
6.5,9.884275146891598,8.34716837780208
6.6,9.88426762459169,8.347139212141672
6.7,9.884260933647276,8.34711326976711
6.8,9.88425498217737,8.347090194455578
6.9,9.884249688455748,8.347069669351729
7.0,9.884244979788587,8.347051412617173
7.1,9.884240791516216,8.347035173560714
7.2,9.884237066125142,8.34702072919621
7.3,9.88423375245825,8.347007881180827
7.4,9.884230805012296,8.346996453091645
7.5,9.88422818331302,8.346986288003198
7.6,9.884225851359357,8.346977246332752
7.7,9.884223777129042,8.346969203923688
7.8,9.884221932138889,8.346962050340691
7.9,9.884220291053634,8.34695568735334
8.0,9.88421883133804,8.34695002758729
8.1,9.884217532947442,8.346944993324506
8.2,9.884216378052479,8.346940515436085
8.3,9.884215350794259,8.346936532433038
8.4,9.884214437066609,8.34693298962194
8.5,9.884213624322332,8.346929838353919
8.6,9.884212901400932,8.346927035356634
8.7,9.884212258375358,8.346924542140078
8.8,9.884211686415673,8.346922324468055
8.9,9.884211177667813,8.346920351888054
9.0,9.88421072514573,8.346918597313097
9.1,9.884210322635463,8.34691703664979
9.2,9.8842099646098,8.346915648467476
9.3,9.8842096461524,8.346914413703956
9.4,9.884209362890248,8.346913315403746
9.5,9.884209110933643,8.346912338485232
9.6,9.884208886822755,8.34691146953359
9.7,9.88420868748014,8.346910696616565
9.8,9.88420851016845,8.346910009120629
9.9,9.88420835245288,8.346909397605238
10.0,9.884208212167701,8.346908853673186
