tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,time_min,average_uM,origin_center_uM,center_uM,cell_voxel_average_uM
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.0,10.0,10.0,10.0,10.0
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.1,9.994251148624704,8.758248102936324,10.0,10.0
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.2,9.98962344830759,8.508500649831534,9.963220855215217,9.963220855215217
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.3,9.985174397285524,8.38761089106522,9.899444104677238,9.899444104677238
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.4,9.980890295121874,8.316247241465751,9.842911766643395,9.842911766643395
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.5,9.976795848628852,8.268736327776919,9.798562279146308,9.798562279146308
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.6,9.972918652891929,8.234510611998237,9.764057926381966,9.764057926381966
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.7,9.969279602309808,8.208471320679164,9.73670426623816,9.73670426623816
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.8,9.965890641475807,8.187864807917283,9.71451484846944,9.71451484846944
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,0.9,9.962755310303617,8.171074104692707,9.696133374559265,9.696133374559265
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.0,9.959870315495085,8.157086386379087,9.680636461593375,9.680636461593375
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.1,9.95722731169741,8.145233743390415,9.667383632157318,9.667383632157318
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.2,9.95481452519695,8.13505670028338,9.655919501860861,9.655919501860861
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.3,9.952618085774036,8.126227677341559,9.645911875929755,9.645911875929755
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.4,9.950623048624708,8.118505795549886,9.637112343123372,9.637112343123372
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.5,9.948814139814198,8.111709029590653,9.62933074878817,9.62933074878817
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.6,9.947176275928387,8.10569643251608,9.62241831677609,9.62241831677609
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.7,9.945694909074104,8.100356448173805,9.616256263197458,9.616256263197458
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.8,9.944356241868306,8.095599030596336,9.610747970797426,9.610747970797426
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,1.9,9.943147348534847,8.091350213257435,9.605813518491786,9.605813518491786
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.0,9.94205623001015,8.087548293404327,9.601385797027728,9.601385797027728
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.1,9.94107182394242,8.084141103123418,9.597407709813261,9.597407709813261
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.2,9.940183984855823,8.081084024552103,9.593830126408731,9.593830126408731
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.3,9.939383445436112,8.078338522503712,9.590610364372763,9.590610364372763
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.4,9.93866176666506,8.075871041838397,9.587711046059376,9.587711046059376
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.5,9.938011282160568,8.073652165274469,9.585099224248436,9.585099224248436
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,2.6,9.93742504036469,8.071655959483097,9.58274570249624,9.58274570249624
