tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,time_min,average_uM,center_uM
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.0,10.0,10.0
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.1,9.999314390500135,9.951495053041699
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.2,9.998631903119627,9.92591281902257
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.3,9.99795237161063,9.911753830043617
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.4,9.99728018782149,9.902528147523492
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.5,9.996621957855558,9.895925480024992
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.6,9.995984569903559,9.890905459717926
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.7,9.995373858432067,9.886924816266248
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.8,9.994794061516536,9.88366958445971
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,0.9,9.99424780219095,9.880944552601743
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.0,9.993736316406077,9.8786214991766
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.1,9.99325975476991,9.876612528256663
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.2,9.992817472842553,9.874855267159969
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.3,9.992408276751691,9.873304145797379
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.4,9.99203061702836,9.871925009551223
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.5,9.99168273489343,9.870691663222795
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.6,9.99136276904986,9.869583585770595
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.7,9.99106883142148,9.868584381831468
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.8,9.990799059297307,9.867680711146017
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,1.9,9.990551649970444,9.866861535665224
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.0,9.990324882626801,9.866117582084147
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.1,9.990117131095676,9.865440952872987
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.2,9.989926870155111,9.864824841079384
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.3,9.98975267737213,9.864263318502259
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.4,9.989593231918056,9.863751176284882
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.5,9.989447311396358,9.863283803319217
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.6,9.989313787423338,9.862857092177592
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.7,9.989191620484416,9.862467365271648
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.8,9.989079854431168,9.86211131601817
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,2.9,9.988977610869982,9.861785961253505
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.0,9.988884083611369,9.861488602172932
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.1,9.988798533290584,9.86121679180843
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.2,9.988720282228797,9.860968307585821
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.3,9.98864870957502,9.86074112788176
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.4,9.988583246748536,9.860533411775354
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.5,9.988523373188192,9.86034348138829
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.6,9.988468612404985,9.860169806352582
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.7,9.988418528328785,9.860010990051498
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.8,9.988372721936095,9.85986575735785
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,3.9,9.988330828143308,9.85973294365205
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.0,9.988292512949242,9.859611484945919
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.1,9.98825747080995,9.859500408971233
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.2,9.988225422229455,9.85939882711682
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.3,9.988196111550165,9.859305927117598
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.4,9.988169304927611,9.85922096641362
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.5,9.988144788475106,9.859143266109383
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.6,9.988122366564527,9.859072205472923
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.7,9.988101860270694,9.859007216921988
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.8,9.988083105947396,9.858947781450949
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,4.9,9.988065953924247,9.858893424457321
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,5.0,9.988050267314241,9.858843711931327
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,5.1,9.988035920922721,9.858798246975645
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,5.2,9.988022800249242,9.858756666625863
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,5.3,9.98801080057455,9.858718638945007
PhysiCell,PhysiCell_dx_2um_uptake,2.0,,mean over all voxels,mean over center voxels,voxel size=2 um,5.4,9.98799982612526,9.858683860368076
