0	 -4.5, 0, 0	 4.5, 0, 0
1	 -4.54235, 0, 0	 4.53969, 0, 0
2	 -4.95389, 0, 0	 4.96999, 0, 0
3	 -4.97869, 0, 0	 4.99515, 0, 0
4	 -4.98519, 0, 0	 5.0017, 0, 0
5	 -4.98781, 0, 0	 5.00434, 0, 0
6	 -4.98912, 0, 0	 5.00566, 0, 0
7	 -4.98987, 0, 0	 5.00641, 0, 0
8	 -4.99033, 0, 0	 5.00688, 0, 0
9	 -4.99064, 0, 0	 5.00719, 0, 0
10	 -4.99086, 0, 0	 5.00741, 0, 0
11	 -4.99102, 0, 0	 5.00756, 0, 0
12	 -4.99114, 0, 0	 5.00768, 0, 0
13	 -4.99123, 0, 0	 5.00777, 0, 0
14	 -4.9913, 0, 0	 5.00785, 0, 0
15	 -4.99136, 0, 0	 5.0079, 0, 0
16	 -4.9914, 0, 0	 5.00795, 0, 0
17	 -4.99144, 0, 0	 5.00799, 0, 0
18	 -4.99147, 0, 0	 5.00802, 0, 0
19	 -4.9915, 0, 0	 5.00805, 0, 0
20	 -4.99152, 0, 0	 5.00807, 0, 0
21	 -4.99154, 0, 0	 5.00809, 0, 0
22	 -4.99156, 0, 0	 5.00811, 0, 0
23	 -4.99157, 0, 0	 5.00812, 0, 0
24	 -4.99159, 0, 0	 5.00813, 0, 0
25	 -4.9916, 0, 0	 5.00814, 0, 0
26	 -4.99161, 0, 0	 5.00815, 0, 0
27	 -4.99162, 0, 0	 5.00816, 0, 0
28	 -4.99162, 0, 0	 5.00817, 0, 0
29	 -4.99163, 0, 0	 5.00818, 0, 0
30	 -4.99164, 0, 0	 5.00818, 0, 0
31	 -4.99164, 0, 0	 5.00819, 0, 0
32	 -4.99165, 0, 0	 5.0082, 0, 0
33	 -4.99165, 0, 0	 5.0082, 0, 0
34	 -4.99166, 0, 0	 5.0082, 0, 0
35	 -4.99166, 0, 0	 5.00821, 0, 0
36	 -4.99167, 0, 0	 5.00821, 0, 0
37	 -4.99167, 0, 0	 5.00822, 0, 0
38	 -4.99167, 0, 0	 5.00822, 0, 0
39	 -4.99167, 0, 0	 5.00822, 0, 0
40	 -4.99168, 0, 0	 5.00822, 0, 0
41	 -4.99168, 0, 0	 5.00823, 0, 0
42	 -4.99168, 0, 0	 5.00823, 0, 0
43	 -4.99168, 0, 0	 5.00823, 0, 0
44	 -4.99169, 0, 0	 5.00823, 0, 0
45	 -4.99169, 0, 0	 5.00823, 0, 0
46	 -4.99169, 0, 0	 5.00824, 0, 0
47	 -4.99169, 0, 0	 5.00824, 0, 0
48	 -4.99169, 0, 0	 5.00824, 0, 0
49	 -4.99169, 0, 0	 5.00824, 0, 0
50	 -4.99169, 0, 0	 5.00824, 0, 0
51	 -4.9917, 0, 0	 5.00824, 0, 0
52	 -4.9917, 0, 0	 5.00824, 0, 0
53	 -4.9917, 0, 0	 5.00825, 0, 0
54	 -4.9917, 0, 0	 5.00825, 0, 0
55	 -4.9917, 0, 0	 5.00825, 0, 0
56	 -4.9917, 0, 0	 5.00825, 0, 0
57	 -4.9917, 0, 0	 5.00825, 0, 0
58	 -4.9917, 0, 0	 5.00825, 0, 0
59	 -4.9917, 0, 0	 5.00825, 0, 0
60	 -4.9917, 0, 0	 5.00825, 0, 0
61	 -4.99171, 0, 0	 5.00825, 0, 0
62	 -4.99171, 0, 0	 5.00825, 0, 0
63	 -4.99171, 0, 0	 5.00825, 0, 0
64	 -4.99171, 0, 0	 5.00825, 0, 0
