time_min,average_uM,center_corner_mean_uM
0.0,10.0,10.0
0.1,9.998915145838156,5.000992022236532
0.2,9.997866153539132,4.87139121662844
0.3,9.996826152133572,4.839565642527383
0.4,9.995794652793085,4.824997651373711
0.5,9.994774785546017,4.816341399976658
0.6,9.99377099194469,4.810465452898434
0.7,9.992788032205578,4.8061469488587285
0.8,9.991830383408303,4.802801328757441
0.9,9.990901892677865,4.800110238217493
1.0,9.99000561944402,4.797883831305931
1.1,9.989143807303543,4.796001101360524
1.2,9.988317934716065,4.794380905256529
1.3,9.987528806495279,4.792966622773246
1.4,9.986776660591497,4.7917174626041765
1.5,9.986054134093644,4.7906032559052365
1.6,9.985366067327647,4.810501535372998
1.7,9.984713058571215,4.812118156493661
1.8,9.984094421718728,4.811843910744489
1.9,9.98350911130023,4.811266183847311
2.0,9.982955921185237,4.810641881857883
2.1,9.982433546223396,4.810030949633044
2.2,9.981940622546905,4.809449956512042
2.3,9.981475759973092,4.8089030415710825
2.4,9.981037567731473,4.808390195950873
2.5,9.980624673899891,4.8079099478853715
2.6,9.980235739377932,4.807460347530447
2.7,9.979869467460421,4.807039354237596
2.8,9.979524610041684,4.806644991374962
2.9,9.979199971320226,4.806275404483649
3.0,9.978894409685207,4.805928877791894
3.1,9.978606838297564,4.805603832795992
3.2,9.978336224743897,4.8052988195415685
3.3,9.978081590039782,4.805012505463103
3.4,9.97784200718433,4.804743663981883
3.5,9.977616599413562,4.804491163808023
3.6,9.977404538260785,4.804253959294342
3.7,9.977205041503362,4.804031081908507
3.8,9.977017371054092,4.803821632763731
3.9,9.976840830840002,4.803624776098509
4.0,9.976674764699515,4.803439733583201
4.1,9.976518554320373,4.8032657793359
4.2,9.976371617234088,4.803102235541781
4.3,9.976233404877753,4.802948468584202
4.4,9.976103400730281,4.802803885609647
4.5,9.975981118527347,4.802667931461163
4.6,9.975866100557177,4.802540085925939
4.7,9.975757916037747,4.802419861251909
4.8,9.975656159574674,4.802306799896064
4.9,9.975560449698492,4.8022004724735226
5.0,9.975470427479033,4.802100475881701
5.1,9.975385755214495,4.802006431578196
5.2,9.97530611519234,4.801917983994495
5.3,9.975231208519077,4.8018347990704875
5.4,9.975160754015757,4.801756562897076
5.5,9.9750944871762,4.801682980456073
5.6,9.975032159184732,4.801613774448135
5.7,9.974973535990461,4.8015486842007284
5.8,9.974918397435124,4.801487464649228
5.9,9.974866536431588,4.8014298853850255
6.0,9.9748177581903,4.801375729765358
6.1,9.974771879490945,4.801324794080072
6.2,9.974728727996881,4.801276886771099
6.3,9.974688141609846,4.8012318277008355
6.4,9.97464996786265,4.801189447465996
6.5,9.974614063347735,4.801149586753812
6.6,9.974580293179436,4.801112095737714
6.7,9.97454853048805,4.801076833509923
6.8,9.97451865594385,4.801043667548524
6.9,9.974490557309261,4.801012473216806
7.0,9.974464129017603,4.800983133292853
7.1,9.974439271776768,4.800955537527448
7.2,9.97441589219644,4.800929582228563
7.3,9.97439390243741,4.80090516987077
7.4,9.974373219881707,4.800882208728039
7.5,9.974353766822318,4.800860612528522
7.6,9.974335470171335,4.800840300129956
7.7,9.97431826118542,4.800821195214445
7.8,9.974302075207577,4.800803226001457
7.9,9.974286851424308,4.800786324977931
8.0,9.974272532637118,4.8007704286444755
8.1,9.974259065047667,4.800755477276667
8.2,9.974246398055657,4.800741414700582
8.3,9.97423448406874,4.800728188081681
8.4,9.974223278323704,4.800715747726256
8.5,9.974212738718318,4.800704046894701
8.6,9.974202825653139,4.80069304162587
8.7,9.974193501882747,4.80068269057191
8.8,9.974184732375805,4.800672954842898
8.9,9.974176484183449,4.8006637978607225
9.0,9.974168726315492,4.800655185221652
9.1,9.97416142962399,4.8006470845670774
9.2,9.974154566693736,4.80063946546194
9.3,9.974148111739238,4.800632299280386
9.4,9.974142040507864,4.800625559098217
9.5,9.974136330188701,4.800619219591731
9.6,9.97413095932686,4.800613256942595
9.7,9.974125907742868,4.8006076487483496
9.8,9.974121156456848,4.800602373938242
9.9,9.97411668761719,4.800597412694073
10.0,9.97411248443351,4.8005927463757345
