203: 306,392,879,527,771,681
204: 69,487,271,689,776,224,564
205: 31,356,386,783,23,879
206: 312,0,518,713,787,951,267
207: 341,587,812,789,323,741,431
208: 814,544,329,792
209: 411,182,469,701,800,867,906,301
210: 90,981,523,802,803,810,895
211: 342,504,127,804,823,989,749
212: 345,829,492,986,635,806
213: 348,507,62,540,1014,856,813
214: 389,118,528,571,815,889,228
215: 806,819,56,491,363,488,829
216: 930,475,683,824,866,352,365
217: 28,828,632,914,967,288
218: 432,436,372,770,830,926,956,336
219: 86,675,832,38,377
220: 360,528,834,559,940,405,119
221: 306,963,392,539,545,719,838
222: 331,35,840,316,842,568
223: 252,593,843,954,998,1010,498,58
224: 293,564,602,847,487,271,204
225: 138,403,609,33,362,849
226: 420,851,465,417,673
227: 467,136,113,853,639,641
228: 180,118,214,815,413,860
229: 574,862,907,354,896
230: 503,864,888,673,767,918
231: 393,434,106,552,625,702,868
232: 39,433,989,117,870,81,797
233: 9,439,809,873,498,452,839
234: 629,878,132,430,493,272
235: 445,474,816,240,885
236: 447,576,599,894,423,275,702
237: 130,826,919,589,898,195,516
238: 400,535,902,852,374,291,931,596
239: 297,656,837,910,509,773
240: 235,474,872,913,1001,186,939
241: 460,376,128,739,916,801,511,1018
242: 854,904,918,120,888
243: 404,473,546,924,623,696
244: 476,415,563,662,932,927
245: 643,929,941,784,957,479
246: 317,313,787,462,414,933,882
247: 357,881,935,178,606,437
248: 827,152,937,156,344,278,591
249: 466,650,940,990,360
250: 95,609,943,1002,396,619,849
251: 409,502,952,699,109,973
252: 61,223,774,954,998,330,765
253: 963,83,642,290,817,506,1013
254: 1015,96,130,366,965,305
255: 32,650,1017,968,582,394
256: 8,512,550,29,970,397,381
257: 334,17,513,620,727,972
258: 445,474,49,129,517,703,925
259: 456,472,183,519,837,910
260: 417,111,503,864,527,729
261: 898,262,195,0,841,530,533
262: 312,261,0,533,560,707,798
263: 536,566,272,375,698,936
264: 280,149,532,827,521,541,791
265: 74,544,740,508,980,422
266: 165,18,807,516,547,638
267: 482,67,795,951,206,518,549
268: 299,199,554,664,34,131,193,592
269: 159,553,615,637,68,543,557,302
270: 561,735,857,944
271: 69,204,798,200,143,224,564
272: 263,2,566,234,132,375,493
273: 569,982,136,3
274: 865,365,573,763,198,824
275: 702,966,447,236,576,923
276: 289,370,627,920,137,579,570
277: 968,534,582,652,297,78,656
278: 152,248,937,630,345,586,805,492
279: 307,537,782,846,890,590
280: 134,264,532,584,521,513,592,554
281: 72,598,600,671,996,976,110
282: 601,777,59,116,987,332,781
283: 197,603,746,6
284: 390,531,811,357,606,960,73
285: 608,762,891,39,610,678
286: 616,672,717,538,136,853,426
287: 605,618
288: 382,967,855,7,924,828,217
289: 153,276,577,627,351,137,856
290: 31,520,633,506,253,963,642
291: 374,615,637,931,596,238,400
292: 169,640,412,651
293: 224,564,602,643,883,929
294: 450,50,485,645,922,77,831
295: 550,647,29,986,937,156,492
296: 139,652,78,65,514
297: 239,656,773,1017,277,968
298: 146,613,661,201,766,700
299: 19,355,268,140,551,664,34
300: 387,162,79,526,622,666
301: 209,332,800,906,202,781,668
302: 671,976,418,557,269,553
303: 350,854,844,674
304: 368,373,555,677
305: 980,679,10,1015,254,366
306: 221,392,1008,539,545,203,761,681
307: 475,279,440,537,683,782,846
308: 385,315,11,103,558,565,685,728
309: 689,731,836,589,18,807
310: 82,201,766,112,679,691,57
311: 23,122,704,726,453,852,636,783
312: 262,206,0,518,560,713,707
313: 317,246,713,732,859,787
314: 719,561,197,746
315: 308,558,728,36,663,715
316: 79,666,730,842,568,144,222,35
317: 246,313,732,736,462,882
318: 960,775,567,734,380,670
319: 490,882,983,1005,189,718
320: 190,70,145,945,690,721,739,916
321: 745,494
322: 20,572,747
323: 789,435,573,741,751,207
324: 14,455,478,574,753,708
325: 1000,192,756,832,899,86
326: 992,349,147,758,848,190,145
327: 85,353,597,871,760,718
328: 92,904,918,148,767,60,578
329: 208,544,700,772,792,661
330: 342,252,774,16,191,505,765
331: 87,24,222,35,659,778,840
332: 800,867,301,987,282,59,781
333: 28,632,957,88,784
334: 17,91,257,620,788,395,901
335: 149,67,37,134,532,795
336: 432,218,89,743,830,157,797
337: 500,150,950,522,536,566,799
338: 90,54,514,803,445,129,816
339: 165,807,693,836,42
340: 104,660,802,810,44,457,869
341: 207,812
342: 211,774,823,16,330,825,749
343: 19,355,608,877,581,191,678
344: 827,248,604,156,541,591,791
345: 979,188,212,586,829,492,986,278
346: 835,594
347: 841,530,549,449,67,794,901,91
348: 213,507,540,1014,845,21,575
349: 326,147,575,848,540,579,845,570
350: 92,303,854,904
351: 124,137,856,459,595,153,289
352: 607,626,909,216,930,866
353: 85,369,327,597,863,871
354: 875,896,229,93,468,907
355: 299,343,19,551,664,877,497,723
356: 205,23,194,771,879
357: 247,881,934,606,390,284
358: 542,955,105,427,667,66,604
359: 403,95,609,796,887,915,943
360: 528,834,889,220,249,940,990
361: 383,682,891,40,743
362: 24,893,849,225,33,438,653
363: 488,750,215,491,55,887,915
364: 896
365: 865,899,274,216,824,866,607
366: 96,254,562,631,903,305,10
367: 103,905,685,158,850,926
368: 304,677,820,908
369: 353,484,914,871,967
370: 276,577,627,801,876,920,938
371: 177,686,733,625,868,922,50,645
372: 436,218,57,770,850,926
373: 304,769,555,677,928,167
374: 291,615,780,931,999,238
375: 160,132,698,936,263,566,272
376: 241,945,948,128,739,1011,100
377: 947,219,499,832
378: 950,536,44,698,104,959,949
379: 632,957,484,914,941,958
380: 73,416,524,617,670,960,318
381: 29,970,635,684,738,962,256
382: 154,597,871,967,288,7,924
383: 361,682,727,972,199,762,891
384: 174,75,616,672,817,975,1006
385: 11,308,103,515,565,685,590,956
386: 31,409,205,520,783,952
387: 300,162,526,622,959,523,895
388: 101,79,526,959,949,950
389: 118,214,528,834,442,614
390: 94,163,531,284,357,934
391: 8,542,550,647,955,1019
392: 306,221,545,642,879,203,771,681
393: 106,231,552,625,880,665
394: 119,4,582,255,559
395: 562,901,903,334,91,788
396: 101,842,568,1002,799,250,619
397: 970,738,585,969,512,256,100
398: 166,547,588,638,402,196
399: 58,114,984,593,843,692,978
400: 135,438,238,535,653,291,596
401: 53,602,883
402: 398,588,196,605
403: 138,359,225,543,609,796,943
404: 243,473,644,696,942,612
405: 614,808,971,834,220,119,993
406: 48,446,626,851,909
407: 168,628,715
408: 71,805,630,140,551,155,600
409: 251,386,636,783,952,973,852
410: 467,781,768,759,641,668
411: 209,648,701,800,867,563,659
412: 51,651,944,292,169
413: 860,463,654,697,180,228
414: 462,427,170,657,658,933,246
415: 476,662,244,862,927,907
416: 160,380,457,617,869,936,171,670
417: 111,260,864,673,692,420,226
418: 110,716,680,68,557,302,976
419: 884,463,172,665,694,654,669
420: 226,48,722,851,911,417,692
421: 880,45,461,687,665,694
422: 980,201,112,700,265,544
423: 434,702,236,599,21,755
424: 569,709,621,712
425: 36,407,715
426: 76,286,640,717,538
427: 105,170,414,658,667,961,358,66
428: 4,534,548,676,720,993
429: 114,611,704,726,757,984
430: 176,493,738,962,585,441,234,878
431: 38,207,741
432: 436,218,40,743,830,336,157
433: 232,39,989,870,825,749
434: 423,231,702,868,177,21,755
435: 789,323,573,763,151,587,115
436: 432,218,372,496,40,770
437: 108,960,775,688,247,178,606
438: 135,400,653,777,116,362,893
439: 9,233,780,999,452,122
440: 930,475,184,307,782,705,117
