230: 242,328,60,503,417,465
231: 371,393,106,423,434,26
232: 117,81,336,433,39,157
233: 498,72,61,9,439,452
234: 441,493,430,132,27,272
235: 90,186,162,474,445,240
236: 21,275,423,141,507,447
237: 130,96,18,261,449
238: 400,374,453,135,109
239: 63,297,509,456,78,259
240: 478,123,474,458,186,235
241: 70,376,320,460,128,511
242: 92,350,328,230,120,465
243: 288,454,43,473,7
244: 411,144,476,415,93,182
245: 401,293,333,379,479,88
246: 313,414,317,462,482,206
247: 450,178,485,477,357
248: 152,156,344,278,295,492
249: 220,360,494,466,32
250: 24,225,95,396,403,500
251: 181,109,409,386,502
252: 498,61,330,342,504,223
253: 506,290,221,83,31,392
254: 166,130,508,96,305,366
255: 277,297,394,510,126,32
256: 29,381,397,512,8
257: 161,334,17,193,383
258: 474,129,65,445,49
259: 65,78,239,456,183
260: 203,194,111,420,503,417
261: 262,195,0,347,237,449
262: 143,69,195,261,0,312
263: 44,375,378,2,272,337
264: 66,344,131,280,149,134
265: 208,422,112,196,508
266: 165,130,398,18,339
267: 67,0,206,335,347
268: 299,193,34,131,280
269: 68,418,9,302,159
270: 314,480,51,83
271: 143,204,69,224,293,200
272: 375,2,263,132,234,493
273: 3,424,136,113
274: 216,86,435,323,198,365
275: 236,106,423,97,133,447
276: 70,349,145,137,370,289
277: 255,297,4,78,296,139
278: 152,248,408,71,492,345
279: 385,89,81,307,5
280: 131,264,17,134,193,268
281: 72,497,505,302,155,110
282: 116,438,332,501,135,59
283: 148,328,60,6
284: 73,357,390,437,380
285: 39,19,199,361,157,343
286: 136,227,30,384,426
287: 402,74
288: 102,454,382,243,7
289: 153,137,370,15,351,276
290: 253,75,506,386,31,502
291: 400,159,374,138,33
292: 426,174
293: 224,245,401,479,200,271
294: 77,485,26,50,371
295: 8,391,29,248,156,492
296: 129,54,65,78,139,277
297: 63,255,277,239,510,78
298: 329,422,20,158,146,201
299: 19,268,355,140,34
300: 481,162,79,316,387,388
301: 209,332,469,202,410,59
302: 72,9,281,110,418,269
303: 80,350
304: 141,373,447,368
305: 508,254,10,366,112,310
306: 392,203,221,60,503,6
307: 475,440,279,216,198
308: 142,103,367,385,315,11
309: 204,18,69,195,339,451
310: 201,57,82,305,10,112
311: 122,429,453,409,205,23
312: 0,206,84,313,143,262
313: 246,317,84,206,312
314: 197,270,221,83,6
315: 168,36,11,142,308
316: 481,144,300,79,35,222
317: 125,246,313,319,462
318: 437,444,12,380,416,108
319: 490,125,85,189,317,462
320: 41,190,70,241,376,145
321: 464,13,494
322: 20,146,36
323: 207,86,435,274,38,431
324: 455,14,478,185
325: 499,192,22,219,365,86
326: 190,349,145,147,177
327: 153,154,15,353,85,189
328: 92,148,242,283,60,230
329: 208,346,422,20,298
330: 191,252,16,61,505,342
331: 116,87,35,222,24,362
332: 116,87,209,301,282,59
333: 245,379,28,88
334: 161,164,395,91,257,17
335: 482,149,67,134,206,267
336: 232,89,81,432,157,218
337: 500,150,101,378,2,263
338: 129,54,445,489,210,90
339: 18,309,451,42,165,266
340: 171,457,489,210,104,44
341: 431,151,207
342: 211,504,252,16,330,433
343: 39,19,355,285,191,16
344: 66,152,248,156,131,264
345: 188,212,71,492,488,278
346: 329,20
347: 67,0,267,261,449,91
348: 21,147,213,507,137,349
349: 145,276,326,147,348,137
350: 92,242,80,120,303
351: 153,137,459,289,124,213
352: 22,365,406,475,470,216
353: 327,154,382,369,85
354: 25,468,93,229,364
355: 299,19,343,140,191,497
356: 392,203,194,205,23,31
357: 94,477,284,390,247
358: 391,427,37,66,156
359: 95,68,491,403,55,363
360: 214,249,220,389,13,494
361: 199,157,383,285,40,432
362: 33,24,225,116,438,331
363: 55,488,56,215,359,491
364: 14,229,354
365: 22,325,352,216,86,274
366: 10,164,395,254,96,305
367: 158,142,308,82,103,372
368: 97,304,447
369: 217,353,379,484
370: 15,289,70,276,460,98
371: 231,177,434,294,26,50
372: 57,82,103,367,436,218
373: 99,141,167,304,62
374: 122,238,400,159,439,291,453
375: 44,263,272,132,160,457
376: 41,241,320,128,100
377: 499,219
378: 104,44,101,263,388,337
