snap,conc_single
0,-0.3125
1,-0.36458333333333337
2,-0.4094328703703704
3,-0.4289641203703704
4,-0.4456989722650892
5,-0.4561349513817445
6,-0.46509315010814206
7,-0.4717553524492585
8,-0.4775230614332725
9,-0.4822230793454226
10,-0.486345126346503
11,-0.4898772047041329
12,-0.4930151254691354
13,-0.49577780343635325
14,-0.49824695741148406
15,-0.5004334620093271
16,-0.5023619238860572
17,-0.5040228467573538
18,-0.5054038905507188
19,-0.5064729221538038
20,-0.5071905682978552
21,-0.5075048586413906
22,-0.5073570892161534
23,-0.5066808761533046
24,-0.505405486238749
25,-0.5034564691453027
26,-0.5007578640761321
27,-0.4972332473172879
28,-0.4928072890250336
29,-0.48740674134808515
30,-0.48096152164101647
31,-0.47340546848885173
32,-0.4646770435961691
33,-0.4547198194968053
34,-0.44348287241255774
35,-0.4309210252243975
36,-0.4169949979925516
37,-0.40167145230054974
38,-0.3849229607040713
39,-0.36672790285536966
40,-0.3470703074855207
41,-0.325939646524827
42,-0.3033305941446772
43,-0.27924275753145866
44,-0.2536803882597657
45,-0.22665208010594104
46,-0.1981704594865724
47,-0.16825187300488387
48,-0.13691607633446407
49,-0.10418592761800116
50,-0.0700870881541576
51,-0.03464773245103536
52,0.0021017306628350885
53,0.04012892465388629
54,0.07939975872599653
55,0.11987866751784282
56,0.16152883672093482
57,0.20431241450654758
58,0.2481907088176698
59,0.29312437072865616
60,0.33907356418637047
61,0.38599812253805443
62,0.4338576923186923
63,0.4826118648223787
64,0.5322202960176191
65,0.5826428153901209
66,0.633839524309199
67,0.6857708845181509
68,0.7383977973458613
69,0.7916816742282204
70,0.8455844991146022
71,0.9000688833178241
72,0.9550981133464491
73,1.0106361922367308
74,1.0666478748786081
75,1.1230986978063064
76,1.1799550038998547
77,1.2371839624194143
78,1.2947535847700742
79,1.3526327363708783
80,1.4107911449785526
81,1.4691994057937396
82,1.527828983655731
83,1.586652212610677
84,1.6456422931182253
85,1.7047732871424057
86,1.7640201113544385
87,1.8233585286579688
88,1.8827651382310053
89,1.9422173642635836
90,2.001693443555805
91,2.061172412127469
92,2.120634090977917
93,2.180059071122936
94,2.2394286980246205
95,2.2987250555198697
96,2.3579309493436877
97,2.4170298903346783
98,2.4760060774019004
99,2.5348443803247442
100,2.593530322450425
101,2.652050063347301
102,2.710390381466193
103,2.7685386568564403
104,2.8264828539783498
105,2.8842115046490564
106,2.941713691154547
107,2.9989790295566943
108,3.0559976532205573
109,3.1127601965839395
110,3.1692577791882033
111,3.2254819899865934
112,3.2814248719438686
113,3.33707890693875
114,3.392437000978652
115,3.44749246973431
116,3.5022390244002155
117,3.5566707578852568
118,3.610782131336609
119,3.6645679609986384
120,3.718023405407531
121,3.7711439529213235
122,3.823925409584164
123,3.876363887322796
124,3.928455792472639
125,3.9801978146301353
126,4.031586915827554
127,4.082620320025963
