snap,conc_mean,conc_std
0,2.5936386459345644,4.3828955058402705
1,2.9184438325594786,4.238581412412677
2,3.18863428675409,4.165767524989687
3,3.4208388267450163,4.119240984453213
4,3.6252035967546745,4.083198307362847
5,3.8083232128337237,4.051568398724711
6,3.974685334180275,4.0218404464528
7,4.127464533221398,3.992915375003962
8,4.268982685587619,3.964294082524357
9,4.400987929448483,3.9357479172158256
10,4.52482991336849,3.907175942661567
11,4.64157357196132,3.8785395201400075
12,4.75207520441563,3.8498308569691666
13,4.8570347436317975,3.8210572842688904
14,4.9570325596649685,3.7922331709261505
15,5.05255595944486,3.763375690521094
16,5.144018656681506,3.7345026001461354
17,5.231775340785065,3.7056310948618636
18,5.316132759859764,3.6767772487490444
19,5.397358278692239,3.647955777725375
20,5.475686576896285,3.6191799788270083
21,5.551324956106238,3.5904617640248393
22,5.62445759224566,3.5618117424600575
23,5.695248977429105,3.533239324720178
24,5.7638467320064946,3.50475283438664
25,5.830383921743905,3.4763596186147017
26,5.894980982316878,3.4480661534236354
27,5.95774732932318,3.419878141572857
28,6.018782714296768,3.391800602209904
29,6.078178373948937,3.3638379521826915
30,6.136018009842754,3.335994079308427
31,6.192378628058228,3.3082724080799166
32,6.247331262512608,3.2806759583762948
33,6.300941601020643,3.2532073977614906
34,6.353270529591583,3.2258690879404477
35,6.404374607627212,3.1986631259104277
36,6.454306484433031,3.171591380306945
37,6.5031152656518465,3.1446555234036206
38,6.5508468367766195,3.1178570591870822
39,6.59754414972238,3.091197347891993
40,6.643247477477538,3.064677627348671
41,6.687994641068721,3.038299031465808
42,6.73182121242569,3.012062606143805
43,6.774760696196788,2.9859693228894515
44,6.8168446931197915,2.9600200903801173
45,6.858103047180665,2.9342157642047377
46,6.898563978480598,2.9085571549895985
47,6.938254203468744,2.8830450350989913
48,6.977199043975879,2.8576801440840924
49,7.01542252629567,2.832463193037819
50,7.052947471399615,2.8073948679988234
51,7.089795577234735,2.7824758325342054
52,7.125987493935415,2.7577067296177837
53,7.161542892679809,2.7330881829090163
54,7.196480528834103,2.7086207975266374
55,7.2308182999525075,2.6843051604009833
56,7.2645732991355505,2.6601418402795765
57,7.297761864192396,2.636131387451947
58,7.330399623003345,2.6122743332517766
59,7.362501535435406,2.5885711893872316
60,7.39408193212587,2.565022447143808
61,7.4251545504154794,2.5416285764980486
62,7.455732567683529,2.518390025175138
63,7.485828632311268,2.495307217678529
64,7.515454892477221,2.4723805543154396
65,7.544623022967709,2.4496104102381713
66,7.573344250167921,2.426997134517771
67,7.601629375382924,2.4045410492635058
68,7.629488796623715,2.3822424487989267
69,7.656932528980797,2.3601015989029466
70,7.683970223696312,2.3381187361222846
71,7.710611186035719,2.316294067159849
72,7.736864392050802,2.2946277683420733
73,7.762738504317631,2.2731199851668893
74,7.788241886725786,2.251770831932909
75,7.813382618388477,2.2305803914493914
76,7.838168506737227,2.2095487148258104
77,7.862607099859401,2.1886758213391433
78,7.886705698131978,2.1679616983764762
79,7.910471365200536,2.147406301450083
80,7.9339109383484345,2.127009554281787
81,7.957031038297509,2.106771348953172
82,7.979838078478335,2.0866915461180016
83,8.00233827380509,2.0667699752730964
84,8.024537648987316,2.0470064350838384
85,8.04644204640837,2.027400693760437
86,8.068057133598133,2.007952489481122
87,8.089388410325403,1.9886615308584372
88,8.110441215333566,1.969527497444915
89,8.131220732741332,1.9505500402744693
90,8.151731998128826,1.9317287824359717
91,8.171979904327749,1.9130633196755948
92,8.191969206933134,1.8945532210246319
93,8.211704529552803,1.8761980294496472
94,8.231190368809733,1.8579972625219645
95,8.250431099111282,1.8399504131036366
96,8.269430977198432,1.822056950047209
97,8.288194146487232,1.8043163189067204
98,8.306724641213837,1.7867279426575626
99,8.325026390393854,1.7692912224229411
100,8.343103221605856,1.7520055382048514
101,8.360958864608515,1.73487024961761
102,8.37859695479993,1.7178846966221297
103,8.39602103652751,1.7010482002592568
104,8.413234566255928,1.68436006338062
105,8.430240915600457,1.6678195713755664
106,8.447043374232406,1.6514259928928778
107,8.463645152663027,1.6351785805560703
108,8.480049384911915,1.6190765716711988
109,8.49625913106546,1.6031191889261787
110,8.512277379730756,1.5873056410807436
111,8.52810705038989,1.571635123646244
112,8.543750995659371,1.5561068195545815
113,8.559212003459175,1.5407198998156555
114,8.574492799095555,1.5254735241627717
115,8.589596047261653,1.5103668416855385
116,8.60452435395967,1.49539899144984
117,8.619280268348103,1.480569103104539
118,8.6338662845175,1.465876297474625
119,8.64828484319787,1.4513196871405667
120,8.662538333400787,1.4368983770036907
121,8.676629093999095,1.4226114648374433
122,8.690559415246893,1.4084580418244426
123,8.704331540242414,1.3944371930792683
124,8.717947666336261,1.3805479981569637
125,8.731409946487329,1.366789531547267
126,8.744720490568627,1.3531608631546175
127,8.757881366625137,1.3396610587640048
128,8.770894602085702,1.3262891804927597
129,8.783762184930863,1.3130442872284083
130,8.796486064818485,1.2999254350527247
131,8.809068154168898,1.2869316776521451
132,8.821510329211213,1.2740620667147167
133,8.833814430992385,1.2613156523137687
134,8.845982266350568,1.248691483278514
135,8.858015608854158,1.2361886075517872
136,8.869916199707939,1.2238060725351474
137,8.88168574862759,1.2115429254215817
138,8.893325934683897,1.1993982135160384
139,8.904838407117776,1.1873709845440437
140,8.916224786127302,1.1754602869486521
141,8.927486663627858,1.1636651701759797
142,8.9386256039864,1.1519846849495818
143,8.949643144730882,1.1404178835339347
144,8.960540797235792,1.1289638199872802
145,8.97132004738472,1.1176215504040976
146,8.981982356210834,1.1063901331474617
147,8.992529160516105,1.095268629071552
148,9.002961873470092,1.0842561017345727
149,9.013281885189093,1.073351617602336
150,9.02349056329633,1.0625542462427788
151,9.03358925346396,1.0518630605116528
152,9.043579279937548,1.0412771367296492
153,9.053461946043674,1.0307955548512058
154,9.063238534681277,1.0204173986252365
155,9.072910308797384,1.010141755748032
156,9.082478511847775,0.9999677180085661
157,9.091944368243096,0.9898943814264415
158,9.101309083781072,0.9799208463827083
159,9.110573846065178,0.9700462177437773
160,9.119739824910388,0.9602696049786529
161,9.128808172736413,0.9505901222696996
162,9.137780024948867,0.9410068886171574
163,9.146656500308845,0.9315190279376125
164,9.155438701291299,0.9221256691566263
165,9.164127714432608,0.9128259462957218
166,9.172724610667753,0.9036189985539219
167,9.18123044565746,0.8945039703840274
168,9.189646260105631,0.8854800115638205
169,9.197973080067486,0.8765462772623724
170,9.206211917248648,0.8677019281016318
171,9.21436376929558,0.8589461302134624
172,9.222429620077605,0.8502780552922988
173,9.230410439960837,0.8416968806435793
174,9.238307186074328,0.833201789228113
175,9.246120802568644,0.8247919697025368
176,9.25385222086717,0.8164666164560052
177,9.26150235991041,0.8082249296432628
178,9.26907212639346,0.8000661152142349
179,9.276562414996983,0.7919893849402722
180,9.283974108611787,0.7839939564371848
181,9.291308078557357,0.7760790531851887
182,9.29856518479444,0.7682439045458896
183,9.305746276131927,0.7604877457764265
184,9.312852190428234,0.7528098180408873
185,9.319883754787355,0.7452093684191111
186,9.326841785749735,0.7376856499129856
187,9.33372708947821,0.7302379214503442
188,9.340540461939085,0.722865447886567
189,9.347282689078604,0.7155675000039806
190,9.35395454699487,0.7083433545091548
191,9.360556802105467,0.7011922940281874
192,9.367090211310813,0.6941136071000675
193,9.37355552215348,0.6871065881682005
194,9.379953472973558,0.6801705375701805
195,9.38628479306021,0.6733047615258904
196,9.392550202799512,0.6665085721240045
197,9.398750413818773,0.6597812873069726
198,9.404886129127323,0.6531222308545538
199,9.410958043254013,0.6465307323659728
200,9.416966842381447,0.6400061272407644
201,9.42291320447706,0.6335477566583709
202,9.428797799421186,0.627154967556556
203,9.434621289132144,0.6208271126086945
204,9.440384327688484,0.6145635501999968
205,9.446087561448472,0.6083636444027231
206,9.45173162916687,0.602226764950442
207,9.45731716210915,0.5961522872113859
208,9.462844784163142,0.5901395921609516
209,9.468315111948273,0.5841880663533958
210,9.473728754922417,0.5782971018927721
211,9.47908631548646,0.5724660964031512
212,9.4843883890866,0.5666944529981719
213,9.489635564314538,0.5609815802499604
214,9.4948284230055,0.5553268921574579
215,9.499967540334277,0.5497298081141979
216,9.50505348490926,0.5441897528755657
217,9.510086818864544,0.5387061565255783
218,9.515068097950179,0.5332784544432164
219,9.519997871620614,0.5279060872683441
220,9.524876683121358,0.5225885008672434
221,9.529705069573945,0.5173251462977976
222,9.534483562059227,0.5121154797743492
223,9.53921268569907,0.5069589626322621
224,9.543892959736441,0.5018550612922135
225,9.548524897614008,0.49680324722424013
226,9.553109007051223,0.4918029969115665
227,9.557645790119972,0.48685379181423416
228,9.562135743318825,0.4819551183325574
229,9.56657935764591,0.47710646777042565
230,9.570977118670447,0.47230733629847343
231,9.575329506602994,0.4675572249171371
232,9.579636996364453,0.4628556394196185
233,9.583900057653796,0.4582020903547715
234,9.588119155014644,0.4535960929899299
235,9.592294747900656,0.44903716727369364
236,9.596427290739777,0.4445248377986875
237,9.600517232997408,0.44005863376430904
238,9.604565019238452,0.43563808893947836
239,9.608571089188349,0.4312627416254053
240,9.612535877793075,0.42693213461838503
241,9.616459815278127,0.42264581517263705
242,9.620343327206525,0.4184033349631967
243,9.624186834535928,0.41420425004887257
244,9.627990753674712,0.41004812083527975
245,9.631755496537249,0.4059345120379593
246,9.635481470598222,0.4018629926455941
247,9.639169078946127,0.3978331358833289
248,9.64281872033591,0.3938445191762059
249,9.646430789240766,0.3898967241127218
250,9.650005675903175,0.3859893364085158
251,9.653543766385106,0.38212194587019516
252,9.657045442617479,0.37829414635930597
253,9.660511082448869,0.3745055357564561
254,9.663941059693473,0.3707557159255962
255,9.66733574417837,0.3670442926784642
256,9.670695501790052,0.36337087573920157
257,9.674020694520296,0.35973507870914256
258,9.67731168051136,0.3561365190317863
259,9.6805688141005,0.3525748179579519
260,9.683792445863865,0.3490496005111248
261,9.686982922659748,0.3455604954529959
262,9.69014058767123,0.3421071352491987
263,9.693265780448213,0.33868915603524863
264,9.696358836948866,0.3353061975826858
265,9.69942008958048,0.3319579032654269
266,9.70244986723976,0.3286439200263283
267,9.705448495352588,0.32536389834396146
268,9.708416295913183,0.32211749219960645
269,9.711353587522767,0.3189043590444628
270,9.71426068542771,0.3157241597670821
271,9.717137901557125,0.3125765586610226
272,9.719985544560007,0.30946122339272886
273,9.722803919841821,0.30637782496963784
274,9.725593329600661,0.3033260377085119
275,9.728354072862885,0.30030553920400166
276,9.731086445518308,0.2973160102974386
277,9.733790740354936,0.29435713504585903
278,9.736467247093236,0.29142860069125964
279,9.73911625241997,0.28853009763008686
280,9.7417380400216,0.2856613193829593
281,9.744332890617248,0.2828219625646236
282,9.746901081991261,0.28001172685414605
283,9.749442889025351,0.27723031496533773
284,9.751958583730323,0.27447743261741514
