tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,time_min,average_uM,origin_center_uM,center_uM,cell_voxel_average_uM
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.0,10.0,10.0,10.0,10.0
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.1,9.93165392938492,8.531397938325648,9.992874357523366,9.992874357523366
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.2,9.906336386425632,8.286094735532044,9.95653006744857,9.95653006744857
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.3,9.884744842281481,8.111946978101777,9.897792589356616,9.897792589356616
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.4,9.866325511297013,7.981656096615678,9.830253839036653,9.830253839036653
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.5,9.850640112959468,7.880564533616321,9.76265824635595,9.76265824635595
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.6,9.837308624123658,7.800088471455353,9.699341037196401,9.699341037196401
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.7,9.825995711323642,7.734842739493319,9.642028337610789,9.642028337610789
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.8,9.816406669479147,7.6812468995285395,9.591109716369075,9.591109716369075
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,0.9,9.80828483481891,7.636801679061201,9.54635080402236,9.54635080402236
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,1.0,9.801408616695129,7.59969021688642,9.507257690799847,9.507257690799847
PhysiCell,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,1.1,9.795588045321825,7.568546622590943,9.473253815401497,9.473253815401497
