dt,x,velocity,migration_speed,mvx
0.057,7.000000000001401e-05,0.0,1.0,0.010000000000002
0.058,8.000000000001601e-05,0.0,1.0,0.010000000000002
0.059,9.000000000001802e-05,0.0,1.0,0.010000000000002
0.06,0.00010000000000002002,0.0,1.0,0.010000000000002
0.061,0.00011000000000002203,0.0,1.0,0.010000000000002
0.062,0.00012000000000002402,0.0,1.0,0.010000000000002
0.063,0.00013000000000002604,0.0,1.0,0.010000000000002
0.064,0.00014000000000002804,0.0,1.0,0.010000000000002
0.065,0.00015000000000003005,0.0,1.0,0.010000000000002
0.066,0.00016000000000003205,0.0,1.0,0.010000000000002
0.067,0.00017000000000003406,0.0,1.0,0.010000000000002
0.068,0.00018000000000003606,0.0,1.0,0.010000000000002
0.069,0.00019000000000003807,0.0,1.0,0.010000000000002
0.07,0.00020000000000004007,0.0,1.0,0.010000000000002
0.071,0.00021000000000004208,0.0,1.0,0.010000000000002
0.072,0.00022000000000004408,0.0,1.0,0.010000000000002
0.073,0.00023000000000004609,0.0,1.0,0.010000000000002
0.074,0.00024000000000004812,0.0,1.0,0.010000000000002
0.075,0.00025000000000005015,0.0,1.0,0.010000000000002
0.076,0.0002600000000000522,0.0,1.0,0.010000000000002
0.077,0.0002700000000000542,0.0,1.0,0.010000000000002
0.078,0.00028000000000005625,0.0,1.0,0.010000000000002
0.079,0.0002900000000000583,0.0,1.0,0.010000000000002
0.08,0.0003000000000000603,0.0,1.0,0.010000000000002
0.081,0.00031000000000006234,0.0,1.0,0.010000000000002
0.082,0.0003200000000000644,0.0,1.0,0.010000000000002
0.083,0.0003300000000000664,0.0,1.0,0.010000000000002
0.084,0.00034000000000006844,0.0,1.0,0.010000000000002
0.085,0.00035000000000007047,0.0,1.0,0.010000000000002
0.086,0.0003600000000000725,0.0,1.0,0.010000000000002
0.087,0.00037000000000007453,0.0,1.0,0.010000000000002
0.088,0.00038000000000007657,0.0,1.0,0.010000000000002
0.089,0.0003900000000000786,0.0,1.0,0.010000000000002
0.09,0.00040000000000008063,0.0,1.0,0.010000000000002
0.091,0.00041000000000008266,0.0,1.0,0.010000000000002
0.092,0.0004200000000000847,0.0,1.0,0.010000000000002
0.093,0.0004300000000000867,0.0,1.0,0.010000000000002
0.094,0.00044000000000008876,0.0,1.0,0.010000000000002
0.095,0.0004500000000000908,0.0,1.0,0.010000000000002
0.096,0.0004600000000000928,0.0,1.0,0.010000000000002
0.097,0.00047000000000009485,0.0,1.0,0.010000000000002
0.098,0.0004800000000000969,0.0,1.0,0.010000000000002
0.099,0.0004900000000000989,0.0,1.0,0.010000000000002
0.1,0.0005000000000001008,0.0,1.0,0.010000000000002
0.101,0.0005000000000001008,0.0,0.0,0.0
0.102,0.0005000000000001008,0.0,0.0,0.0
0.103,0.0005000000000001008,0.0,0.0,0.0
0.104,0.0005000000000001008,0.0,0.0,0.0
0.105,0.0005000000000001008,0.0,0.0,0.0
0.106,0.0005000000000001008,0.0,0.0,0.0
0.107,0.0005000000000001008,0.0,0.0,0.0
0.108,0.0005000000000001008,0.0,0.0,0.0
0.109,0.0005000000000001008,0.0,0.0,0.0
0.11,0.0005000000000001008,0.0,0.0,0.0
0.111,0.0005000000000001008,0.0,0.0,0.0
0.112,0.0005000000000001008,0.0,0.0,0.0
0.113,0.0005000000000001008,0.0,0.0,0.0
0.114,0.0005000000000001008,0.0,0.0,0.0
0.115,0.0005000000000001008,0.0,0.0,0.0
0.116,0.0005000000000001008,0.0,0.0,0.0
0.117,0.0005000000000001008,0.0,0.0,0.0
0.118,0.0005000000000001008,0.0,0.0,0.0
0.119,0.0005000000000001008,0.0,0.0,0.0
0.12,0.0005000000000001008,0.0,0.0,0.0
0.121,0.0005000000000001008,0.0,0.0,0.0
0.122,0.0005000000000001008,0.0,0.0,0.0
0.123,0.0005000000000001008,0.0,0.0,0.0
0.124,0.0005000000000001008,0.0,0.0,0.0
0.125,0.0005000000000001008,0.0,0.0,0.0
0.126,0.0005000000000001008,0.0,0.0,0.0
0.127,0.0005000000000001008,0.0,0.0,0.0
0.128,0.0005000000000001008,0.0,0.0,0.0
0.129,0.0005000000000001008,0.0,0.0,0.0
0.13,0.0005000000000001008,0.0,0.0,0.0
0.131,0.0005000000000001008,0.0,0.0,0.0
0.132,0.0005000000000001008,0.0,0.0,0.0
0.133,0.0005000000000001008,0.0,0.0,0.0
0.134,0.0005000000000001008,0.0,0.0,0.0
0.135,0.0005000000000001008,0.0,0.0,0.0
0.136,0.0005000000000001008,0.0,0.0,0.0
0.137,0.0005000000000001008,0.0,0.0,0.0
0.138,0.0005000000000001008,0.0,0.0,0.0
0.139,0.0005000000000001008,0.0,0.0,0.0
0.14,0.0005000000000001008,0.0,0.0,0.0
0.141,0.0005000000000001008,0.0,0.0,0.0
0.142,0.0005000000000001008,0.0,0.0,0.0
0.143,0.0005000000000001008,0.0,0.0,0.0
0.144,0.0005000000000001008,0.0,0.0,0.0
0.145,0.0005000000000001008,0.0,0.0,0.0
0.146,0.0005000000000001008,0.0,0.0,0.0
0.147,0.0005000000000001008,0.0,0.0,0.0
0.148,0.0005000000000001008,0.0,0.0,0.0
0.149,0.0005000000000001008,0.0,0.0,0.0
0.15,0.0005000000000001008,0.0,0.0,0.0
0.151,0.0005000000000001008,0.0,0.0,0.0
0.152,0.0005000000000001008,0.0,0.0,0.0
0.153,0.0005000000000001008,0.0,0.0,0.0
0.154,0.0005000000000001008,0.0,0.0,0.0
0.155,0.0005000000000001008,0.0,0.0,0.0
0.156,0.0005000000000001008,0.0,0.0,0.0
0.157,0.0005000000000001008,0.0,0.0,0.0
0.158,0.0005000000000001008,0.0,0.0,0.0
0.159,0.0005000000000001008,0.0,0.0,0.0
0.16,0.0005000000000001008,0.0,0.0,0.0
0.161,0.0005000000000001008,0.0,0.0,0.0
0.162,0.0005000000000001008,0.0,0.0,0.0
0.163,0.0005000000000001008,0.0,0.0,0.0
0.164,0.0005000000000001008,0.0,0.0,0.0
0.165,0.0005000000000001008,0.0,0.0,0.0
0.166,0.0005000000000001008,0.0,0.0,0.0
0.167,0.0005000000000001008,0.0,0.0,0.0
0.168,0.0005000000000001008,0.0,0.0,0.0
0.169,0.0005000000000001008,0.0,0.0,0.0
0.17,0.0005000000000001008,0.0,0.0,0.0
0.171,0.0005000000000001008,0.0,0.0,0.0
0.172,0.0005000000000001008,0.0,0.0,0.0
0.173,0.0005000000000001008,0.0,0.0,0.0
0.174,0.0005000000000001008,0.0,0.0,0.0
0.175,0.0005000000000001008,0.0,0.0,0.0
0.176,0.0005000000000001008,0.0,0.0,0.0
0.177,0.0005000000000001008,0.0,0.0,0.0
0.178,0.0005000000000001008,0.0,0.0,0.0
0.179,0.0005000000000001008,0.0,0.0,0.0
0.18,0.0005000000000001008,0.0,0.0,0.0
0.181,0.0005000000000001008,0.0,0.0,0.0
0.182,0.0005000000000001008,0.0,0.0,0.0
0.183,0.0005000000000001008,0.0,0.0,0.0
0.184,0.0005000000000001008,0.0,0.0,0.0
0.185,0.0005000000000001008,0.0,0.0,0.0
0.186,0.0005000000000001008,0.0,0.0,0.0
0.187,0.0005000000000001008,0.0,0.0,0.0
0.188,0.0005000000000001008,0.0,0.0,0.0
0.189,0.0005000000000001008,0.0,0.0,0.0
0.19,0.0005000000000001008,0.0,0.0,0.0
0.191,0.0005000000000001008,0.0,0.0,0.0
0.192,0.0005000000000001008,0.0,0.0,0.0
0.193,0.0005000000000001008,0.0,0.0,0.0
0.194,0.0005000000000001008,0.0,0.0,0.0
0.195,0.0005000000000001008,0.0,0.0,0.0
0.196,0.0005000000000001008,0.0,0.0,0.0
0.197,0.0005000000000001008,0.0,0.0,0.0
0.198,0.0005000000000001008,0.0,0.0,0.0
0.199,0.0005000000000001008,0.0,0.0,0.0
0.2,0.0005000000000001008,0.0,0.0,0.0
