0: 12,95,245,291,1,4,13,493
1: 95,245,47,237,70,0,416,65,238,466
2: 20,119,32,285,70,90,10,499,91,451,271,283,124
3: 15,27,74,13,78,435,12,94,291,243,290,101,100
4: 97,466,245,0,443,5,493,20,339,24
5: 29,75,300,245,4,76,293,443,339,25,434,24
6: 300,81,85,301,109,308,79,299,494,265,307,473,108,30,116
7: 292,127,34,373,123,332,331,493,129,20,32,128,40,24
8: 48,54,71,470,198,171,41,52,176,47,204,205,53
9: 476,12,94,95,69,19,291,229,236,237,243,416,68,501
10: 238,66,97,459,422,70,91,2,285
11: 238,48,54,66,71,72,98,76,232,293,239,97,466
12: 9,476,245,291,237,243,51,0,74,13,3
13: 15,27,74,3,252,443,12,245,291,0,493,102,101
14: 17,205,246,213,53,212,502,496,82
15: 27,74,55,13,3,78,252,203,210,107,299
16: 17,429,81,85,61,57,259,79,80,211
17: 14,75,205,429,16,246,213,253,81,53,57,212,58
18: 451,503,271,319,268,499
19: 9,94,95,291,229,90,68,89,292,117,122,324
20: 129,33,2,339,32,285,70,4,97,292,7,283,332,493,24
21: 33,339,125,447,126,488,104,97,340,434
22: 208,201,288,290,497,235,242,464,78,73
23: 106,37,345,100,132,133,352,112,461,27
24: 35,25,4,443,5,7,493,129,20,339,102,438,128,101
25: 135,26,35,340,347,434,24,29,300,5,301,109,339
26: 135,136,25,340,348,434,104,29,302,103,430,303,294
27: 15,13,3,107,299,435,483,102,37,23,101,100,112,461
28: 139,30,35,347,394,354,423
29: 75,302,300,5,246,103,253,81,301,109,430,135,26,25,434
30: 28,354,6,301,109,308,108,423,477,114,413,439,116
31: 122,123,142,124,323,324,331,418,118,492
32: 20,33,2,119,333,285,7,283,332,486
33: 129,20,339,374,326,333,21,125,32,130,285,447
34: 127,373,7,123,372,331,128,151,133,338,40,380
35: 471,38,28,25,340,347,24,129,438,128,346,40,423
36: 341,334,374,154,125,375,447,126,131,376
37: 102,438,108,23,128,101,345,133,346,112,27
38: 471,35,419,353,346,40,134,157
39: 450,471,389,159,340,347,154,130,153,388
40: 128,151,346,34,373,7,129,153,471,38,35,380,157
41: 170,198,171,470,406,176,408,8
42: 69,47,237,416,65,43,190,165,46,197,411,231,64,191
43: 190,165,197,166,186,231,187,42,191
44: 172,198,167,171,445,49,192
45: 168,173,195,448,50,194,464,236,244
46: 165,169,168,173,470,195,197,426,411,482,42,69,244
47: 42,1,237,51,65,470,197,48,71,191,8
48: 11,54,71,191,192,8,232,198,47,65
49: 425,54,72,192,44,445,500,240,77
50: 209,173,45,178,464,201,202,427
51: 476,12,245,47,237,244,196,52,74,252,203,204
52: 175,179,437,455,196,176,57,180,408,51,8,80,203,204
53: 14,75,17,204,205,246,171,176,57,212,54,71,8,76
54: 11,48,49,71,72,192,496,8,232,239,171,445,77,205,53
55: 15,74,56,78,203,258,210,107,202,427,208,250,420
56: 55,60,203,258,210,427,179,215,455
57: 176,185,181,212,58,180,52,80,17,204,205,16,53
58: 182,185,181,218,62,57,212,409,502,219,17,429,213
59: 182,218,214,449
60: 259,56,258,210,441,211,183,179,217,216
61: 429,16,85,62,402,217,259,211,221,222,86
62: 185,218,409,58,219,61,222,86
63: 228,274,68,275,223,189,229
64: 186,223,230,231,190,411,42,69,189,229,96,416
65: 42,47,1,96,70,416,231,422,238,48,191,232
66: 11,238,10,67,72,193,98,232,93,97,226,278,459,92
67: 66,72,193,98,93,226,227,278,442,233,279,234,480
68: 228,235,274,63,479,501,9,94,19,229,243,89,117
69: 9,42,476,189,229,236,237,244,416,46,195,411,64
70: 95,1,96,90,416,65,277,422,238,10,283,20,2
71: 11,48,54,8,76,466,245,47,204,205,53
72: 11,49,54,66,67,192,193,98,232,239,241,480,77
73: 74,78,202,464,243,22
74: 15,55,13,3,78,252,203,202,73,476,12,243,51
75: 29,17,204,300,205,5,81,53,245,76,79,252,80,443
76: 11,71,293,239,466,245,75,205,5,246,53
77: 200,241,247,240,480,500,49,54,72,496,239,207
78: 15,74,55,3,435,73,243,249,208,22,290,420
79: 259,252,80,210,299,494,6,75,300,16,81,85
80: 79,252,203,210,211,179,52,57,75,204,16
81: 6,29,75,17,300,429,16,260,253,85,301,109,79
82: 254,214,255,207,449,247,14,246,213,253,430
83: 256,250,257,258,441,417,263,452
84: 264,403,311,312,220,452
85: 6,429,16,260,81,61,259,79,494,265,221,266,86,473
86: 267,222,266,62,219,429,260,85,61
87: 302,260,254,262,261,267,315,469,444,110,309
88: 225,272,224,268,271
89: 322,330,460,274,68,440,479,19,117
90: 95,19,96,70,230,277,276,270,283,324,2
91: 320,451,503,278,459,272,10,2,119,120,285,495
92: 125,285,488,495,278,66,98,93,97,121
