134: 163,392,436,542,386,465
135: 26,136,25,110,340,602,109,301,29,302,552,641
136: 135,26,141,110,602,302,535,356,390,310,309,348,564,557
137: 350,401,344,549,352,391,106,351,138,624
138: 487,563,605,624,160,137,352,351
139: 28,419,394,353,477,489,161,413
140: 398,439,490,600,354,585
141: 136,110,354,585,356,309,557,600,115,355
142: 31,124,372,486,418,366,481,363,407,399,536,492,508,596
143: 152,147,399,536,524,596
144: 334,119,374,326,333,367,368,478,369,148
145: 371,446,498,620,621,370,377,330,337,568,421
146: 379,492,421,150
147: 152,148,153,143,373,333,367,524,596
148: 381,147,369,375,546,374,333,144,367
149: 554,573,131,381,472,375,382
150: 568,146,379,421,378
151: 163,491,156,436,542,616,34,386,133,346,338,40,380,379
152: 590,147,143,524
153: 590,147,546,373,130,40,616,157
154: 374,36,130,447,341,131,525,39,527,381,375,546
155: 156,378,384,385,414
156: 155,491,436,151,385,386
157: 387,388,465,471,38,40,590,153,163,542,616
158: 387,162,432,159,569,450,394
159: 388,158,432,450,389,525,395,404
160: 358,474,138,306,113,489,563,626,353,345,352,391,392
161: 398,397,139,419,396,489,392,162,569,523
162: 387,158,465,393,569,419,161
163: 491,134,436,151,542,616,157,465
164: 408,175,437,406
165: 46,426,613,482,166,190,411
166: 165,426,613,170,601
167: 198,44,601,457,191,192
168: 169,173,46,195,518,482,45,244
169: 168,173,470,196,426,518,41,174,437
170: 586,198,41,601,406,426,166
171: 172,586,445,463,176,177
172: 44,171,445,463,500,177
173: 169,168,196,518,45,50,178,174,455,630,244,202
174: 178,437,455,169,173
175: 408,52,164,437,180
176: 181,212,177,610,586,8,171,41,408,52,599,205
177: 176,181,502,172,171,463
178: 174,455,209,173,50,202
179: 183,52,455,211,180,556,56,57,580,60,80,203
180: 183,175,179,52,211,184,185,402,57
181: 176,185,212,177,603,610
182: 218,502,58,532,59,206,213
183: 179,211,180,184,402,217,60
184: 183,180,402
185: 181,402,57,409,58,603,610,180,62,61,591
186: 224,231,64,567,43,190,187
187: 225,188,457,558,191,43,186,231
188: 225,187,457,558
189: 69,229,236,566,63,604
190: 43,411,165,613,186,520
191: 187,457,167,198,601,623,192,232
192: 49,54,72,193,232,167,198,44,457,425,191
193: 67,72,192,232,226,442,457,558,425
194: 228,235,242,464,501,572
195: 168,46,411,448,45,69,236
196: 169,173,470,518,437,455,556,244,51,609
197: 470,426,613,198,8,601,47,555,48,623
198: 170,586,8,44,601,167,197,191,48,54,623,192
199: 500,200,77,561,207
200: 561,199
201: 208,22,497,427,50,242,73,464,630
202: 55,203,540,526,173,50,178,455,56,630,427
203: 55,580,210,202,540,179,455,556,56
204: 75,205,584,245,51,71,53,76,599,580,252
205: 17,204,545,176,212,610,53,599
206: 463,182,502,14,207,513
207: 214,82,513,199,500,206,496,247,77,561,14
208: 249,201,78,250,497,427,614,55
209: 178,215,50,427
210: 15,55,580,60,80,203,258,107,540,631,56
211: 183,179,180,402,57,217,61,60,80,16,509
212: 176,181,502,58,610,14,17,205,213,545
213: 14,219,17,246,253,545,560,593,182,218,502,212,58,59,449,513
214: 207,513,59
215: 56,209,250,427,55,441
216: 531,60,258,441,220,594
217: 531,183,211,402,61,60,509,221
218: 182,58,532,59,62,213,593,639,449
219: 429,260,213,253,560,87,592,593,639,449,86
220: 403,265,594,575,509,216,259,60,258
221: 222,454,85,217,61,265,594,509
222: 85,618,221,62,61
223: 230,567,275,63,229
224: 186,230,231,64,277,516,270,225,96
225: 88,188,187,422,558,224,231,277,570,271
226: 227,278,459,272,558,66,67,193
227: 226,278,442,279,67
228: 194,235,415,479,501
229: 9,517,69,189,96,416,619,63,223,230,64,68
230: 223,224,64,277,567,270,275,517,229,96,90,276,269
231: 186,224,64,43,225,187,422,96,555,65,570
232: 11,238,48,54,66,72,623,192,193,570,636,558,191
233: 279,512,442,67,234,480,595
234: 241,286,458,480,533,93,233,512,67,280
235: 228,194,281,242,415,431,544,479
236: 69,189,244,619,45,195,464,501
237: 42,476,12,95,69,47,1,244,416,65,609,619
238: 11,48,66,71,232,97,466,570,627,636,422,1,65,551,10
239: 576,541,597,247,246,103,82
240: 480,77,595,49
241: 234,247,286,458,480,533,561,576,72,98
242: 194,235,464,431,201,22,497
243: 9,476,291,547,619,73,544,501,94,78,290,74,3,526,522
244: 42,476,69,236,237,619,45,168,173,196,518
245: 12,1,0,609,4,71,76,466,13,252,443,204,5,584
246: 29,17,213,103,253,545,560,552,430,571,76,239,541,597,82
247: 295,241,458,533,561,239,248,255,207,82
248: 456,255,247
249: 256,208,298,78,405,420,614
250: 256,208,420,215,55,107,441,83
251: 259,258,107,299,417,483,631,403,305,494
252: 15,553,74,580,13,79,443,540,245,609,75,204,584
253: 219,246,213,560,430,592,254,82,449,513
254: 255,262,82,303,639,449,535,253,87,430,592
255: 456,254,248,82,303,535,247,430,294
256: 249,250,257,420,467,83
257: 256,298,420,107,417,483,83,263,305,304,625,111
258: 55,60,251,210,107,441,417,631,56,216,220
259: 60,251,299,631,528,403,220,265,509,494
260: 29,219,429,81,560,87,592,638,267,266,86,444,308,110
261: 87,254,262,639
262: 254,303,87,261,310
263: 403,84,452,305,257,417,83,111,611
264: 575,578
265: 220,594,575,529,509,494,259,528,454,85,221
266: 314,267,473,444,462,85,618,308,260
267: 266,86,469,444,260,87
268: 319,475,629,18
