138: 563,605,678,137,351,624
139: 38,28,353,477,423,489,413,419,161
140: 354,398,360,397,574,600,507,439,490,585
141: 136,585,356,309,557,354,600,110,115,355
142: 399,536,492,508,418,481,31,372,486,363,407,596
143: 152,147,596,536,524
144: 648,334,119,374,326,367,725,368,478,369,148
145: 446,620,721,370,330,337,377,498,568,421
146: 379,492,421,150
147: 590,152,148,153,143,373,725,524
148: 381,147,369,153,375,546,374,144,130,725
149: 554,573,131,376,381,375,472,382
150: 568,146,379
151: 688,666,338,701,34,646,156,542,386
152: 590,147,143,524
153: 590,147,148,546,373,129,130,40,471,39,616,157
154: 374,36,130,447,527,131,341,525,39,375,546
155: 378,385,491,156,414
156: 646,491,436,386,414,626,385,338,701,151,155
157: 387,388,465,685,471,590,153,163,616
158: 387,162,432,159,685,450,668,569
159: 388,158,432,404,450,389,525,39
160: 626,353,666,652,707,113,489,392,386,656
161: 139,396,489,413,398,397,392,393,419,523,474
162: 387,158,465,393,685,419,569
163: 647,542,616,387,157,465
164: 406,653,175,174,437,408
165: 46,197,426,482,166,190,613,601
166: 165,197,426,170,601
167: 191,457,601,192,724
168: 169,173,46,195,426,518,482,45
169: 168,426,518,653,661,174
170: 586,198,8,41,601,724,197,406,426,166
171: 172,586,445,463,176,212,177,54,496
172: 171,445,463,665,177,650
173: 168,195,196,518,661,45,663,630,244
174: 178,437,455,169,164,661
175: 674,437,180,52,164,408
176: 181,212,177,610,408,586,171,723,52,205
177: 176,181,502,650,172,171,463
178: 202,174,455,209,661,50,427
179: 674,183,203,211,180,56,57,60,80
180: 674,183,175,179,211,184,52,185,402,57,610
181: 176,502,212,177,603,610
182: 218,502,58,532,603,59,206,213
183: 179,211,180,184,402,217,702,60
184: 183,180,402,687
185: 402,409,58,603,610,591,62,180
186: 567,660,675,190,520
187: 191,457,43,188,655
188: 558,193,655,187,457
189: 228,501,63,195,566,604,69,229,236
190: 411,613,165,46,186,520
191: 167,187,457,43,613,601,724,231,655,623,232,570
192: 198,49,665,724,167,457,425,193,686,232
193: 226,188,442,67,558,425,457,192,232,679
194: 228,235,242,464,572
195: 168,173,46,518,448,45,663,189,69,236,244
196: 173,470,518,661,202,455,556,476,609,244,51,540
197: 165,470,426,166,613,170,8,601,724,42,47,555,623
198: 170,586,8,665,192,724,48,54
199: 500,200,240,77,561,207
200: 458,561,199
201: 663,572,630,50,242,464,676,73
202: 178,203,455,630,196,661,50,427,476,55,540,526
203: 674,179,202,455,556,56,55,580,210,540
204: 75,205,584,571,695,51,71,599,245,76,580,252
205: 204,545,684,723,52,176,57,212,610,599
206: 59,463,672,182,502,14,213,513
207: 214,248,513,644,199,672,561
208: 256,614,78,250,691
209: 178,215,427
210: 15,55,580,79,252,80,107,631,540,526,203,56
211: 183,179,180,402,57,591,217,60,80,16,61
212: 176,181,502,58,610,14,171,17,205,213,545,684
213: 706,219,17,253,593,182,218,502,212,58,14,59,206,449,513
214: 248,449,513,207,59
215: 209,56,427,673,250,441,55
216: 531,673,702,220
217: 531,702,183,211,402,60,509,61
218: 182,532,59,671,213,593,639,449
219: 429,711,213,253,560,592,593,639,449,86,260,730
220: 259,452,594,575,509,216,702,258
221: 222,454,85,61,649,265,594,509
222: 454,85,618,221,718,649
223: 604,230,64,567,677,275,566,63,229
224: 277,516,270,675,677,96,705,698
225: 226,271,459,698,272,558,422,277
226: 225,227,278,459,67,272,558,193,66
227: 226,278,442,67,279
228: 194,235,68,415,544,479,501,189,63,566
229: 517,95,69,520,416,604,223,230,64,96,275,189,63
230: 223,270,269,677,96,275,517,229,276,719
231: 660,705,43,613,191,655,555,623,570
232: 48,686,623,643,570,191,457,192,724,558,193
233: 279,512,595,67,480,714,93
234: 458,533,714,709
235: 228,194,281,415,431,544,479
236: 69,244,243,619,663,195,501,189
237: 42,12,95,695,69,609,47,1,244,416,619,555,65
238: 643,667,97,466,570,627,459,422,1,70,65,551,581,10
239: 576,496,541,597,247,246,82,644,103
240: 458,480,77,49,199,425,595,72
241: 247,286,458,480,533,576,637,72,98
242: 194,464,431,22,201,572,676,497
243: 476,236,619,720,464,544,501,22,73,526
244: 42,476,69,236,237,619,173,195,196,518
245: 4,71,466,76,695,1,0,443,204,5,584
246: 706,552,430,582,104,293,239,541,597,76,103
247: 295,241,286,533,239,255,644,103,511
248: 456,214,255,644,207
249: 256,700,614,298,78,405,420
250: 256,208,420,691,441,215,708,682
251: 483,703,417,258,107,631,403,259,494,305
252: 15,553,580,79,210,443,540,12,695,609,13,74,204
253: 706,219,17,213,560,430,592,659,82,449
254: 659,303,261,262,712
255: 456,248,659,535,82,303,644,716,103,247,430
256: 249,208,614,250,257,420,304,682,467,727
257: 256,298,420,304,483,417,680,727,263,625,111
258: 60,417,251,107,631,56,702,441,403,259,220,452
259: 403,220,265,494,529,509,60,251,258,631,528,664
260: 267,266,444,308,730,219,711,81,592,694
261: 87,262,254,639,730
262: 261,87,712,254
263: 84,452,257,417,680,83,111,611
264: 594,575,578
265: 259,594,575,529,509,528,664,454,473,85,221
266: 314,267,454,473,444,462,85,308,260,81
267: 266,86,469,444,462,260,730
268: 319,475,629,18
269: 230,516,270,677,275,276,504
270: 224,230,277,516,269,677,96,276,504,90
271: 225,459,272,422,277,627,499,91,704
272: 225,226,271,278,459,697,273,91,503,704
273: 696,537,91,503,617,278,272,121
274: 68,415,479,63,275,117,89,440,689
275: 223,230,269,274,68,63,517,229,117,276,689
276: 317,504,657,230,270,269,275,517,719
277: 224,270,96,705,225,271,422,70,499,90,704,2
278: 226,227,459,67,272,279,66,92,93,696,273,91
279: 233,512,227,278,67,93,121
280: 335,287,433,428,622,512,709,328,519
281: 235,415,479,94,282,440
282: 329,453,460,281,288,94,99,336,598
283: 332,19,324,719,722,2,95,651,70,551,90
284: 362,319,504,118,475,481,499,657,124
285: 648,539,119,581,32,495,692,10,627,91
286: 295,241,247,533,709,104,637,488,287,428,511
287: 335,296,280,412,428,295,286,533,543,709
288: 431,700,405,290,282,598
289: 336,598
290: 700,435,681,288,544,94,22,720,3,453,522,99,608
291: 9,12,651,13,720,74,3,515,522,722,510,101
292: 670,642,7,123,446,331,493,722,101,127,128
293: 104,637,667,97,466,597,76,5,246,514,434
294: 559,349,105,348,26,716,342,412,511,588
295: 247,286,533,543,456,716,296,287,412,511
296: 335,287,412,295,543,559
297: 350,693,549,683,298,405,304
298: 249,405,257,420,304,435,297,693,625
299: 703,79,6,300,628,664,494,505
300: 6,109,584,582,641,443,299,438,102,505,634,699,108
301: 135,28,30,602,699,109,638,354,110
302: 29,552,430,592,694,535,135,309,710,26
303: 456,254,255,535,310,105
304: 256,298,257,727,297,693
305: 403,494,251,680,635,112,306,487,307
306: 357,358,313,113,611,487,311,606,605,307,669,678,305,112
307: 306,311,669,312,494,529,305,116,112,521
308: 314,266,473,444,260,116,6,81,638,664,30,114
309: 310,710,302,694,712,141,115
310: 356,105,309,710,303,712,690
311: 357,306,611,307,312,84
312: 84,529,578,316,717,313,311,307
313: 358,306,606,538,669,312,359,632
314: 266,454,473,444,462,308,717,316,114
315: 469,444,694,87,600,110,115,587,361
316: 312,578,314,717,632
317: 318,276,468,504,657,713,562,117,323
318: 362,317,468,504,475
319: 362,484,284,268,475,18,325
320: 321,537,368,451,478,325,120,364
321: 537,320,424,120,548
322: 583,658,562,117,323
323: 122,621,689,562,117,317,713,322
324: 31,122,123,283,332,19,719,657
325: 320,451,478,319,484,481,612,485,364
326: 648,334,119,374,125,144,495,447,645,120
327: 328,424,645,433,728,615,622
328: 548,121,327,512,645,280,433,622
329: 370,282,337,460,583,658,336
330: 370,337,460,658,633,122,123,145,446,621
331: 292,31,670,373,642,7,123,372,332,620
332: 31,7,123,283,124,324,331,486,2,32
333: 129,648,33,374,32,130,725,373,7
334: 374,326,36,144,376,728,369,375
335: 296,280,287,433,412,428,615,622
336: 99,343,289,598,377,683,329,282,337,453
337: 329,370,330,453,460,145,446,336,377,498,100
338: 498,385,701,151,670,642,379,421,34,378,646,156
339: 129,33,21,447,514,527,35,25,340,24,434,588
340: 135,389,35,25,602,347,434,588,729,339,527,348
341: 342,131,36,154,447,527,126,389,525,588,383,390,348
342: 412,341,559,349,383,294,550,348
343: 350,336,384,344,640,377,683
344: 350,343,401,384,137,461,683,385,132,352,391
345: 438,27,37,23,133,346,112,505,423,652
346: 688,438,37,345,666,133,423,128,565,715
347: 565,450,471,38,389,28,35,25,602,340,394,699
348: 349,390,294,564,342,341,389,340,588,729
349: 559,294,105,564,348,342
350: 297,343,693,344,137,549,106,461,683
351: 506,111,693,137,549,106,138,605
352: 23,391,652,344,137,106,461,678
353: 666,423,160,139,38,489,392,386,419
354: 140,589,600,439,110,28,30,141,394,301,585
355: 141,585,356,557,574,490
356: 310,564,557,141,115,355,690
357: 306,611,311,606,605
358: 313,396,707,306,113,563,606
359: 360,397,589,632,439,313,538,669,413
360: 359,140,397,507,439,538
361: 115,587,315,600,490
362: 318,319,484,284,468,366,118,475
363: 407,484,481,485,536,142,596
364: 485,320,368,478,325
365: 468,366,713,607
366: 362,365,468,118,713,607,407,418
367: 119,144,612,725,481,478,486,485,596
368: 320,424,478,120,144,364,369
369: 148,375,726,368,334,144
370: 329,330,337,658,145,721,568,579
371: 579,607,721
372: 31,373,331,486,620,399,492,662,142
373: 642,7,372,331,486,129,333,725,40,662,34,147,153,616
374: 648,334,326,333,36,154,144,130,447,148,375
375: 381,369,148,546,726,334,374,36,154,131,376,149
376: 131,728,615,334,36,375,554,149
377: 343,336,384,337,145,498,654,378
378: 155,384,377,498,385,338,568,654,379,421
379: 146,421,338,150,568,378,646,491
380: 524,662,34,646,616
381: 148,375,530,546,149,472
382: 131,525,383,554,149,472
383: 390,550,342,131,341,525,554,382
384: 343,344,640,377,385,132,654,378
385: 626,132,391,338,701,401,384,344,155,378,156,414
386: 156,392,134,436,542,626,353,666,151,160
387: 162,388,158,157,465,432,685,163
388: 387,157,432,159,472,685,471,525,39,530,546
389: 450,525,35,39,395,602,340,347,729,527,341,390,348,159
390: 383,550,564,557,348,341,389,525,395,404
391: 626,385,352,401,344,137,624,414
392: 134,386,353,160,489,393,419,523,656,474,161
393: 162,465,419,392,134,523,161
394: 450,28,395,668,602,347,585,354
395: 450,389,136,668,602,394,585,390,557,404
396: 358,113,489,410,413,397,474,161
397: 398,360,359,140,396,410,413,161
398: 140,397,574,668,161,569
399: 536,492,508,524,662,142,372
401: 344,137,640,385,391,624,414
402: 185,183,211,180,184,217,718,61
403: 259,494,84,452,529,305,417,251,258
404: 159,395,390
405: 249,700,298,288,99,297,598
406: 164,653,170,41,408
407: 363,366,536,508,142,418
408: 176,406,164,653,41,723,175,437,52
409: 185,532,603,62
410: 396,538,397
411: 190,46,482,604,520
412: 335,296,287,342,428,511,295,126,559,294
413: 396,113,489,669,477,139,359,397,589,161
414: 156,401,626,385,391,624,155
415: 228,281,235,274,479,440
416: 42,95,69,520,229,237,555,65,64,96
417: 483,251,680,258,107,257,420,83,682,403,263,452
418: 492,508,142,366,713,31,607,620,407
419: 162,465,393,685,353,139,38,668,392,161,569
420: 256,249,298,78,250,257,435,681,483,417,107,708
421: 146,379,492,662,670,145,620,721,338,568,378
422: 225,271,459,558,277,96,705,70,238,570,627
423: 688,438,353,345,666,346,477,565,139,38,28,108
424: 321,368,120,327,645,728
425: 442,193,49,192,595,240
426: 165,169,168,470,46,197,518,166,653,170,41
427: 50,178,215,202,209,691,55
428: 335,280,287,433,412,286,709,519,125,488,126
429: 219,75,17,16,711,81,684,560,571,593,628,641,591,618
430: 29,706,302,246,253,560,552,592,255,659,535,82,103,26
431: 235,242,288,22,700,497
432: 387,388,158,159,472
433: 335,280,428,615,622,328,327,519,125,645
434: 135,340,24,588,104,293,5,552,582,339,21,514
435: 298,420,290,681,483,3,99,608,625
436: 491,156,134,647,386
437: 674,175,174,455,556,52,164,653,408
438: 37,102,345,346,505,423,634,300,565,715,28,25,699,108
439: 354,360,359,140,114,589,600
440: 89,583,281,274,415,479
441: 250,215,673,258,682
442: 227,67,425,193,595
443: 553,252,13,4,245,300,584,102,634
444: 314,267,266,315,469,308,260,638,694,114,600,110
445: 172,171,463,49,665,500,534,54,496,77
446: 292,633,670,123,145,722,510,330,337,498,100
447: 648,33,339,374,326,36,21,154,125,488,130,527,126,692,341
448: 45,663,572,195
449: 214,659,639,513,218,59,219,213,253
450: 471,38,389,395,668,347,394,158,159,685
451: 18,537,320,91,503,478,325,499,539,119,612
452: 403,263,220,84,575,417,258,83
453: 282,337,460,94,290,522,510,99,336,608,100
454: 314,222,266,473,462,85,221,265
455: 674,178,203,202,174,437,556,196,661
456: 248,255,303,716,295,543,105
457: 167,191,187,192,188,193,232
458: 200,241,234,240,480,533,561,714
459: 225,226,271,278,272,558,422,238,66,627,91,10
460: 329,89,282,330,337,453,583,94,633,522
461: 350,344,106,608,683,23,132,352,577,625
462: 314,267,266,454
463: 172,171,445,500,672,502,177,650,14,206,496
464: 194,242,22,663,201,572,630,243,73
465: 387,162,157,393,685,419,163,134,542
466: 238,4,71,667,293,97,245,76,1,0,551,5,20,581,514
467: 727,256
468: 362,318,317,365,366,118,713
469: 267,315,444,87
470: 196,197,426,518,653,8,41,47,51
471: 565,450,38,35,39,347,129,688,40,153,616,388,157,685
472: 388,432,525,381,530,546,149,382
473: 314,266,454,85,308,717,116,81,664,265,529
474: 523,656,396,707,489,392,161
475: 362,318,319,284,268,504
476: 609,244,243,619,74,196,202,540,526
477: 112,423,521,139,28,30,108,113,669,413,589
478: 320,368,451,325,119,144,367,612,485,364
479: 228,281,235,274,68,415,544,94,547,89,440
480: 241,240,458,714,93,67,233,595,72,98
481: 484,284,118,325,124,486,367,612,363,485,142
482: 165,168,46,411
483: 15,703,417,251,680,107,635,257,420,435,625
484: 362,319,481,325,363
485: 364,481,478,325,367,363,596
486: 31,373,7,372,124,332,481,32,367,612,725,142
487: 306,611,605,678,680,305,106,112,111
488: 519,21,125,495,447,126,692,104,637,92,97,286,428
489: 396,707,113,413,353,160,139,392,474,161
490: 140,574,600,507,355,361
491: 646,156,436,647,379,155
492: 399,146,508,421,662,142,418,372,620,721
493: 292,7,722,0,4,20,101,634,128
494: 403,259,529,305,703,251,299,664,116,505,521,307
495: 519,648,326,125,488,285,645,692,10,92,696,91
496: 576,54,239,541,171,445,463,500,672,14,77
497: 676,700,614,78,242,431,22
498: 100,132,338,337,670,145,446,377,378
499: 284,277,271,18,91,451,704,124,2,539
500: 199,672,534,445,463,496,77
501: 228,68,544,189,547,9,236,243,619,720
502: 182,181,212,177,650,14,463,206,213
503: 18,273,537,91,451,704,272,697
504: 318,317,276,284,475,657,270,269
505: 438,27,102,345,112,521,703,299,635,300,494,108
506: 351,111,611,605
507: 360,140,490
508: 399,536,492,142,418,407
509: 259,220,265,594,217,531,702,60,528,221,61
510: 446,522,722,291,3,515,453,608,101,100,127,577
511: 412,104,295,247,286,716,103,126,588,294
512: 233,279,93,709,328,280
513: 214,82,449,207,672,14,59,206,213
514: 20,33,339,581,21,692,4,293,97,466,5,24,434
515: 15,553,3,291,13,510,27,102,101,577
516: 224,270,629,269
517: 9,229,230,275,68,63,276,19,719,689
518: 169,168,173,470,46,195,196,426,42,244
519: 125,488,495,645,92,93,696,121,280,433,428
520: 42,69,229,416,555,190,411,46,186,604,64
521: 477,112,505,494,116,108,307,669
522: 633,722,510,94,547,291,720,290,453,460
523: 656,474,392,393,161
524: 399,380,662,152,147,143
525: 389,39,154,527,131,341,383,390,546,388,159,472,382
526: 15,55,3,210,708,540,202,476,243,74,681,73
527: 339,154,130,447,341,389,525,35,39,340
528: 16,81,628,664,259,265,509,85,61
529: 403,259,312,265,494,578,664,473,717,116,307
530: 381,590,546,388,472
531: 217,216,702,594,509
532: 182,218,409,58,603,62,671,593
533: 295,241,234,247,286,458,709,287
534: 500,445,49,665
535: 255,303,716,103,302,430,710,26
536: 399,508,142,363,407,596,143
537: 696,321,273,320,91,451,503,120
538: 313,410,360,359,632
539: 119,32,285,612,627,499,91,451,124,2
540: 580,252,210,526,196,203,202,556,476,609,74
541: 576,11,54,496,53,239,597,76,706,246,545
542: 163,134,386,688,666,151,465
543: 295,456,296,287
544: 228,235,479,501,94,547,22,243,720,290
545: 706,17,205,571,212,53,541,76
546: 381,148,153,375,530,154,130,525,39,388,472
547: 68,544,479,501,94,9,720,89,522
548: 328,121,321,617
549: 350,297,693,137,351
550: 383,390,342
551: 95,1,70,0,238,466,627,283,20,581
552: 29,302,246,430,582,104,103,135,434,588,26
553: 15,703,515,79,252,443,13,27,102
554: 149,131,376,383,382
555: 42,520,47,237,416,65,613,197,231,623,570
556: 674,203,437,455,52,196,723,51,580,540
557: 356,390,564,136,141,395,585,355
558: 225,226,188,459,193,655,422,232,570
559: 349,294,105,296,342,412
560: 29,706,219,17,429,711,253,430,571,592,641
561: 200,458,77,199,644,207
562: 117,317,322,323
563: 358,707,138
564: 356,349,390,710,557,348,136,729
565: 471,38,715,35,25,347,129,688,438,346,423
566: 604,223,228,189,63
567: 186,604,223,64,675,677
568: 150,579,654,370,145,721,379,421,378
569: 668,398,162,158,419
570: 238,623,643,232,191,231,705,558,422,555,65
571: 706,75,17,204,429,545,684,584,560,582,641,76
572: 448,663,201,194,242,464
573: 149
574: 398,140,490,585,355
575: 264,220,265,84,452,594,578
576: 11,72,98,496,239,541,597,241,77
577: 27,37,23,100,132,133,127,515,510,608,461
578: 264,312,84,575,529,316
579: 568,371,370,721
580: 79,252,80,210,540,203,556,57,204
581: 20,32,285,514,692,10,551,238,97,466,627
582: 29,300,5,246,109,584,552,571,641,76,135,434
583: 329,89,322,440,460,658
584: 75,204,300,5,571,582,641,245,76,443
585: 136,141,395,394,557,354,140,574,355
586: 170,198,8,171,41,665,723,176
587: 115,361,690,315,712
588: 135,340,434,729,104,552,103,339,21,126,511,341,294,348,26
589: 354,359,114,439,717,116,477,30,669,413
590: 152,147,153,530,616,157
591: 185,58,610,62,211,17,429,16,684,593,618,61
592: 29,219,302,711,253,560,430,694,260,730
593: 219,17,429,213,218,58,532,591,62,671,86,618
594: 264,220,265,575,509,531,221
595: 233,442,67,425,72,240,480
596: 143,367,363,485,536,142
597: 576,11,104,637,636,667,293,239,541,76,246,103
598: 99,289,336,288,405,282
599: 48,71,53,8,723,47,51,204,205
600: 354,140,439,490,110,315,444,141,115,361
601: 170,724,43,613,167,191,165,197,166
602: 135,389,136,395,340,347,394,301,729
603: 182,185,181,409,58,532
604: 223,64,567,411,566,189,520,229
605: 357,138,306,611,487,678,351,506,111
606: 357,358,313,306
607: 621,721,365,366,713,371,418
608: 99,461,683,290,435,453,510,100,132,577,625
609: 476,12,695,237,51,74,196,252,540
610: 176,185,181,57,212,58,591,180,52,205,684
611: 357,306,487,311,605,263,506,111
612: 539,119,32,367,481,451,478,325,124,486
613: 43,190,191,165,197,601,231,555
614: 256,249,208,78,497
615: 335,433,376,728,622,327
616: 163,373,40,471,380,34,590,153,157
617: 273,548,121
618: 222,86,85,61,591,62,718,429,81,593
619: 9,476,12,69,236,237,244,243,720,501
620: 31,123,372,145,621,331,721,492,421,418
621: 31,323,122,123,607,620,721,713,330
622: 335,280,433,615,328,327
623: 48,232,570,191,197,724,231,47,555
624: 401,137,391,138,414
625: 23,298,257,435,483,680,635,106,608,461
626: 385,666,391,652,701,160,156,386,414
627: 238,271,459,422,70,551,91,2,539,581,285,10
628: 6,75,429,16,81,664,641,79,299,528
629: 516,88,697,268,704
630: 663,201,173,50,202,464,73
631: 60,79,251,80,258,210,107,259
632: 359,316,717,313,538
