0: 12,95,245,291,1,70,4,13,5,292,20,24,101
1: 245,47,237,96,70,0,65,238,4,71
2: 32,283,124,332,277,70,90,10,284,271,18,119,91,285
3: 15,27,74,78,107,12,94,291,243,290,100,101
4: 11,238,71,76,293,97,245,1,70,0,5,20,339,24
5: 29,75,300,245,0,4,76,293,13,339,24,25
6: 300,81,85,79,251,299,265,307,116,308,108,301,30,109
7: 292,127,34,32,123,332,331,373,129,20,24,128,40
8: 48,54,71,196,197,41,198,171,52,176,47,204,205,53
9: 95,69,291,229,236,237,244,243,96,68,19
10: 65,238,66,97,277,226,278,70,272,2,92,91,285
11: 238,66,4,71,72,98,76,232,293,239,97
12: 245,291,51,0,15,74,13,3,252
13: 15,27,252,299,12,245,0,75,300,5,102,24,101
14: 17,205,246,213,53,182,206,212,54,77,239,207,82
15: 27,74,55,13,3,78,252,203,210,107,299,12
16: 75,17,58,81,85,86,211,57,259,79,80,61
17: 29,14,75,205,58,16,246,213,253,81,53,57,212
18: 320,272,319,325,284,271,2,119,91
19: 292,117,122,324,68,9,94,95,291,229,90,89
20: 129,33,339,285,70,0,4,97,292,32,7,283,332,24
21: 92,33,339,326,125,36,104,98,293,97,286,126,340
22: 249,208,201,288,290,235,242,73,78
23: 106,37,344,100,132,133,352,112,27,99,343
24: 102,128,101,0,4,13,5,292,7,129,20,339,35,25
25: 301,135,26,109,35,340,347,293,29,5,339,24
26: 135,136,25,340,348,104,293,29,302,103,303,294
27: 15,13,3,107,299,102,37,23,100,112,101
28: 301,38,30,109,35,347,394,354,102,108,353,345,346,113,139
29: 75,17,302,300,5,246,103,253,81,76,293,301,135,26,109,25
30: 301,28,109,110,354,6,116,308,108,113,114,139
31: 122,123,142,124,323,324,372,331,371,118,366,365,399,146
32: 2,7,123,283,124,332,331,373,20,119,333,285
33: 129,20,339,374,326,333,21,130,285,36,97,340
34: 127,7,123,338,372,331,373,128,151,133,40,380
35: 40,38,28,39,25,347,129,102,24,128,346
36: 341,334,33,374,326,21,154,125,375,130,131,376,126,340
37: 102,23,128,345,133,346,112,101,27
38: 40,28,35,39,158,347,394,353,346,134,387,162,157
39: 40,38,389,35,158,340,347,129,153,154,130,388,157
40: 38,35,39,34,7,373,129,153,128,151,346,380,157
41: 169,174,164,196,197,170,171,175,52,176,8
42: 69,190,47,237,96,43,46,197,231,64,65,191
43: 165,197,166,186,231,187,42,190,191
44: 172,198,167,171,49,192
45: 236,244,168,173,46,195,50,194,73
46: 165,169,168,173,196,197,195,42,45,69,190,244
47: 42,1,237,197,198,65,48,71,191,8
48: 54,71,191,192,8,232,198,47
49: 54,72,192,193,77,172,44,199,240
50: 173,178,209,73,45,201,202
51: 12,245,237,244,196,52,74,252,203,204
52: 178,175,179,180,174,196,41,176,57,51,8,80,203,204
53: 14,75,17,204,205,246,171,176,57,212,54,71,8,76
54: 48,49,72,77,8,172,171,14,205,53
55: 15,74,56,78,203,258,210,215,107,202,209,208,250
56: 55,60,203,210,215,178,179,209
57: 176,185,181,212,180,52,211,80,17,204,205,58,16,53
58: 219,17,16,213,86,182,185,181,218,62,57,212
59: 214,82,182,218,219,213
60: 259,56,210,215,183,179,211,217,216,220
61: 222,221,211,62,217,259,16,85,86
62: 185,218,219,58,86,222,61
63: 228,274,68,275,223,189,229
64: 186,223,224,230,231,42,69,189,190,229,96
65: 238,10,191,232,231,277,226,42,47,1,96,70
66: 11,238,10,67,72,193,98,232,93,97,226,278,92
67: 66,72,193,93,227,278,233,279,234,240
68: 228,281,235,274,63,9,94,229,236,243,89,19
69: 9,42,189,190,229,236,237,244,96,46,195,64
70: 95,1,96,0,90,277,65,238,10,4,2,283,20,285
71: 11,48,4,8,76,245,47,1,204,205,53
72: 11,49,54,66,67,193,98,77,232,239,241,240
73: 194,235,50,45,236,244,243,201,22,74,78,202
74: 15,55,3,78,252,203,202,73,12,244,243,51
75: 29,17,204,300,205,5,16,81,53,245,76,13,79,252,80
76: 11,4,71,293,245,29,75,205,5,246,53
77: 49,54,72,239,172,199,200,241,247,240,207,14
78: 15,74,55,3,107,73,208,22,298,290,250
79: 259,251,252,80,210,299,6,75,300,16,81,85
80: 79,252,203,210,179,52,211,57,75,204,16
81: 6,29,75,17,300,16,260,253,85,86,79,308,301,109
82: 59,254,214,255,247,207,14,246,213,103,253
83: 256,250,257,258,215,263
84: 264,311,263,312,220,265,307,259,251,258,305
85: 6,16,260,81,86,259,79,265,266,221,308,61
86: 219,58,16,260,81,85,62,267,222,266,61
87: 302,260,254,261,267,315,309,110,310
88: 225,271,268,272
89: 322,282,330,281,274,68,94,117,122,337,323,19
90: 95,96,70,230,277,276,284,2,283,324,19
91: 92,119,120,285,278,10,18,320,272,2
92: 326,120,21,125,91,285,278,10,66,98,93,97,121
93: 66,67,98,278,279,234,121,92,280,286
94: 291,243,281,235,68,290,3,89,282,122,337,19,100
95: 9,291,96,70,0,90,292,283,19
96: 9,42,95,69,229,1,237,70,90,230,231,64,277,65
97: 11,238,10,66,4,98,293,92,20,33,339,21,285
98: 11,104,66,72,293,93,239,97,241,92,21,286
99: 297,343,289,336,288,298,290,282,23,100
100: 23,132,101,94,291,290,27,3,282,127,337,99
101: 102,24,37,128,100,291,0,27,13,3,292,127
102: 24,108,37,128,345,346,101,27,13,299,300,28,35
103: 29,302,246,253,104,293,239,247,254,255,82,303,26,294
104: 98,293,239,295,241,247,103,21,286,126,26,294
105: 248,255,303,295,296,349,294
106: 23,352,351,112,298,304,257,107,305,350,111,306
107: 15,27,55,3,78,258,305,298,250,257,106,112
108: 102,345,112,251,299,6,307,28,30,306,113
109: 301,135,28,30,25,110,347,354,6,29,302,300,81,308
110: 301,135,309,30,109,141,354,302,260,87,315,308,114
111: 357,306,304,257,305,311,263,106,351
112: 106,108,37,23,345,352,27,107,305,299,306
113: 358,313,396,306,307,108,353,345,160,28,30,359,139
114: 361,360,359,140,139,314,315,116,308,30,110,354
115: 309,141,356,310,361,355
116: 314,316,308,6,312,265,307,30,313,359,114
117: 323,324,19,275,274,317,276,89,322
118: 362,318,317,276,284,366,365,31,124,323,324
119: 326,333,91,144,367,285,325,284,18,364,2,32,124,332
120: 92,334,326,327,125,91,144,121,321,320,368
121: 321,273,278,279,93,92,327,120,125,280,328
122: 292,31,127,123,337,323,324,331,19,94,89,330
123: 292,31,127,34,32,7,122,283,124,332,324,372,331
124: 31,2,32,123,142,283,332,324,331,325,284,118,119,333,367
125: 92,334,326,327,120,21,36,121,335,328,286,376,126
126: 335,286,104,341,21,125,36,348,342,294
127: 292,34,7,122,123,337,338,331,128,100,132,133,101
128: 102,24,37,133,346,101,127,34,7,129,40,35
129: 20,33,339,130,7,373,24,128,40,35,39,340
130: 129,33,153,374,154,36,39,340
131: 376,341,154,375,36,383,149,382
132: 23,344,385,100,133,378,377,127,337,338,343,336,384
133: 37,23,128,151,385,386,132,346,127,34,338
134: 163,156,392,353,151,386,346,38,387,157,393
135: 301,26,109,136,141,25,110,347,354,29,302
136: 135,309,26,141,395,348,302,303,356,349,390,310
137: 350,344,352,391,351,138
138: 357,358,306,137,352,391,351,160
139: 398,359,140,114,397,161,353,28,30,394,354,396,113
140: 361,398,360,114,139,355,141,394,354
141: 135,309,136,395,110,354,356,361,140,355,115
142: 31,124,372,325,366,367,363,399,143,147
143: 399,142,367,363,147
144: 334,119,374,326,333,120,367,364,368
145: 337,338,371,370,377,330,150,146
146: 399,150,31,145,338,372,371,379
147: 152,148,142,372,373,153,333,367,143,380
148: 381,152,147,153,374,333,375
149: 381,375,131,382
150: 146,370,377,145,338,378,379
151: 386,133,346,34,338,40,380,163,379,156,134,157
152: 381,147,148,153,380
153: 154,130,373,40,39,380,381,152,147,148,388,157
154: 341,153,375,130,36,131,159,389,39,340,383,381,388,382
155: 156,384,385,391,378
156: 163,155,379,392,134,151,386,391
157: 387,388,153,151,40,38,39,380,163,134
158: 159,38,39,395,347,394,387,162,388
159: 389,395,158,154,383,390,388,382
160: 353,345,386,352,391,358,396,138,306,113,392
161: 398,397,139,353,396,392,162,393
162: 387,393,38,158,394,398,161
163: 379,156,134,151,380,157
164: 174,41,175
165: 169,46,197,43,166,190
166: 170,198,167,43,165,197
167: 166,198,44,191,192
168: 169,173,46,195,45
169: 165,168,173,174,46,196,197,41,170
170: 166,198,171,169,197,41
171: 172,170,198,44,41,176,177,54,8,205,53
172: 44,171,199,206,177,49,54,77
173: 169,168,174,46,196,50,178,45,244,203,202
174: 169,173,164,196,41,178,175,52
175: 180,52,174,164,41
176: 181,57,212,177,41,171,52,8,205,53
177: 176,182,181,206,212,172,171
178: 179,52,209,173,174,50,56,203,202
179: 178,183,180,52,211,56,60,80,203
180: 184,175,179,52,211,185,57
181: 176,182,185,57,212,177,58
182: 181,218,206,212,177,14,58,213,59
183: 184,179,211,217,60
184: 183,180,211,185
185: 181,62,57,184,180,211,58
186: 231,64,43,187,190
187: 225,188,43,186,231,191
188: 225,226,227,187,191,192,193,232
189: 69,190,229,195,223,64,63
190: 42,69,189,43,165,46,195,186,64
191: 65,48,192,232,43,197,198,167,231,188,187,42,47
192: 48,49,191,193,232,198,167,44,188
193: 49,66,67,72,192,232,226,227,188,233,240
194: 228,235,242,73,45,236,201
195: 168,46,45,69,189,190,236
196: 169,173,174,46,197,41,52,244,51,8
197: 165,169,46,196,41,43,170,166,198,42,47,191,8
198: 170,166,167,44,171,197,47,48,191,192,8
199: 172,206,49,77,200,207
200: 241,247,240,207,199,77
201: 208,22,50,194,242,73
202: 74,55,203,173,50,178,209,73
203: 15,74,55,56,252,80,210,202,173,178,179,52,51,204
204: 75,205,53,52,57,245,51,71,8,252,80,203
205: 14,75,17,204,246,53,171,176,57,212,54,71,8,76
206: 182,177,172,199,207,14
207: 200,247,199,206,77,14,214,82
208: 249,201,22,250,209,55,78
209: 178,50,208,55,56,215,202
210: 259,15,55,56,60,79,251,252,80,203,258,215
211: 184,183,179,180,185,57,217,259,60,80,16,61
212: 176,182,181,57,177,14,17,205,58,213,53
213: 14,219,17,58,246,253,182,212,59,82
214: 59,82,207
215: 55,56,60,258,210,209,250,83,216
216: 220,217,60,215
217: 183,211,259,60,216,220,221,61
218: 182,62,219,58,59
219: 58,260,213,253,86,218,62,59,261
220: 264,216,265,84,217,259,60,221
221: 222,266,61,217,259,85,220,265
222: 266,221,61,62,86
223: 269,230,64,275,63,189,229
224: 230,231,64,277,225,271,270
225: 226,88,188,187,224,231,277
226: 225,227,188,278,277,65,10,66,193,232,272
227: 226,188,278,233,279,67,193
228: 194,281,235,274,63,68,236
229: 9,69,189,96,223,230,64,63,68,19
230: 269,223,224,64,277,229,96,90,276,270
231: 186,224,64,277,43,225,187,42,96,65,191
232: 65,11,238,48,66,72,191,192,193,226,188
233: 279,227,67,193,234,240
234: 241,240,233,279,67,93,280,286
235: 228,194,281,242,73,68,94,236,243,288,22,290
236: 9,45,69,244,243,195,228,194,235,73,68
237: 9,42,69,47,1,244,96,51
238: 65,11,10,66,4,232,97,1,70
239: 11,104,72,98,77,293,241,247,14,246,103
240: 200,241,234,233,49,67,72,193,77
241: 200,295,234,247,240,104,72,98,77,239,286
242: 194,235,201,288,22
243: 9,94,291,236,244,235,73,68,290,74,3
244: 9,45,69,236,237,243,51,173,46,196,73,74
245: 12,1,51,0,4,71,76,13,252,75,204,5
246: 29,14,17,205,213,103,253,53,76,293,239,82
247: 200,295,241,207,104,77,239,103,248,255,82
248: 255,105,295,247
249: 256,208,288,22,298,250
250: 256,249,208,298,257,55,78,258,215,107,83
251: 259,79,258,210,305,299,6,265,307,84,108
252: 15,74,13,79,80,203,210,299,12,245,51,75,204
253: 29,219,17,302,246,260,213,103,81,254,82
254: 255,262,82,303,261,302,103,253,87,310
255: 254,248,105,82,303,247,103
256: 249,298,250,304,257,83
257: 256,298,250,304,258,107,305,83,263,106,111
258: 55,251,210,215,107,305,250,257,83,263,84
259: 60,79,251,210,211,217,16,85,220,265,84,221,61
260: 219,302,253,81,87,85,86,261,267,315,308,110
261: 254,262,219,260,87,267
262: 254,261,310
263: 311,84,257,258,305,83,111
264: 312,220,84
265: 312,220,307,84,259,251,6,85,266,116,221
266: 314,267,222,221,308,85,86,265
267: 266,315,308,260,87,86,261
268: 319,271,270,88
269: 223,230,275,276,270
270: 318,276,284,271,268,269,224,230
271: 284,268,270,224,277,88,18,272,2
272: 18,273,226,88,278,10,271,91
273: 121,321,272,278,279
274: 228,281,63,68,275,89,322,117
275: 269,223,274,63,117
276: 318,317,284,118,270,269,230,90,117,323,324
277: 224,230,231,225,226,96,70,90,65,10,271,2
278: 226,227,279,10,66,67,93,121,273,272,92,91
279: 233,227,278,67,93,234,121,273,280
280: 335,328,286,279,93,234,121
281: 228,235,274,68,94,89,282
282: 329,89,281,94,288,337,99,289,336,100
283: 292,2,32,123,124,332,324,331,95,70,90,20
284: 362,318,319,276,325,271,118,270,90,18,2,124,324,119
285: 92,20,33,119,326,333,91,70,10,97,2,32,332
286: 335,280,287,126,104,98,93,295,241,234,21,125
287: 335,296,286,295
288: 249,22,290,235,242,282,99,289
289: 99,297,343,336,288,282
290: 288,22,235,94,243,3,78,99,100
291: 9,12,94,95,243,0,3,292,19,100,101
292: 127,7,122,123,283,324,331,19,95,291,0,20,24,101
293: 11,104,4,98,76,239,97,29,5,246,103,339,21,26,25
294: 342,349,104,295,103,105,303,126,26,348
295: 241,247,104,248,105,296,287,286,294
296: 287,295,105
297: 350,99,343,289,298,304
298: 256,249,250,304,257,78,107,99,297,106
299: 15,27,13,79,251,252,6,300,102,108,112
300: 6,29,75,5,81,13,79,299,102,301,109
301: 135,28,30,109,25,110,347,354,6,29,302,300,81,308
302: 29,260,103,253,87,254,303,301,135,309,26,109,136,110
303: 254,255,105,302,103,26,136,349,294,310
304: 256,298,257,350,297,106,111
305: 251,258,107,257,311,263,307,84,106,112,111,306
306: 357,358,313,111,138,113,305,311,307,106,108,345,352,351,112,160
307: 311,312,265,84,251,305,6,116,108,313,306,113
308: 314,267,266,315,116,6,260,81,85,301,30,109,110,114
309: 136,141,110,302,87,310,115
310: 356,349,87,254,262,303,309,136,115
311: 263,312,307,84,305,357,313,111,306
312: 264,311,265,307,84,316,116,313
313: 358,306,113,311,312,307,316,116,359
314: 266,315,316,116,308,114
315: 314,267,308,260,87,110,361,114
316: 314,116,312,313,359
317: 318,276,118,365,322,117,323
318: 362,319,317,276,284,118,270
319: 362,318,325,284,268,18
