0: 12,95,245,291,1,70,4,13,292,20,24,101
1: 95,245,47,237,70,0,416,65,238,4,71
2: 119,32,285,277,70,90,10,284,271,18,91,283,124
3: 15,27,74,78,435,12,94,291,243,290,101,100
4: 11,238,71,76,293,97,245,1,70,0,5,20,339,24
5: 29,75,300,434,245,4,76,293,13,339,24,25
6: 300,81,85,79,251,299,265,307,116,308,108,301,30,109
7: 292,127,34,123,332,331,373,129,20,24,128,101,40
8: 48,54,71,196,197,198,171,41,52,176,47,204,205,53
9: 94,95,69,291,229,236,237,244,243,416,68,19
10: 238,66,97,422,226,278,272,70,91,92,2,285
11: 238,54,66,4,71,72,98,76,232,293,239,97
12: 245,291,51,0,15,74,13,3,252
13: 15,27,252,299,12,245,0,75,300,5,102,24,101
14: 17,205,246,213,53,182,206,212,54,77,239,82,207
15: 27,74,55,13,3,78,252,203,210,107,299,12
16: 17,429,81,85,61,57,259,79,80,211
17: 29,14,75,205,429,16,246,213,253,81,53,57,212,58
18: 320,91,272,319,325,284,271,2,119
19: 292,117,122,324,68,9,94,95,291,229,90,89
20: 129,33,339,32,285,70,0,4,97,292,7,283,332,24
21: 92,33,339,36,125,104,98,293,97,434,126,428,340
22: 249,208,201,288,290,235,242,73,431,78
23: 106,37,345,100,132,133,352,112,27,435,99,343,344
24: 102,128,101,438,0,4,13,5,292,7,129,20,339,35,25
25: 301,135,26,109,35,340,347,29,5,434,339,24
26: 135,136,25,340,348,104,29,302,103,434,303,430,294
27: 15,13,3,107,299,435,102,37,23,101,100,112
28: 301,139,30,109,35,347,394,354,353,423
29: 75,17,302,300,5,246,103,253,81,434,76,301,135,26,109,25
30: 301,28,109,110,354,6,116,308,108,423,113,114,413,439
31: 418,122,123,142,124,323,324,331,118,365
32: 20,33,2,119,333,285,283,124,332
33: 129,20,339,374,326,333,36,21,125,32,130,285,97,340
34: 127,7,123,372,331,373,128,151,133,338,40,380
35: 38,28,39,25,340,347,129,24,128,346,40,423,438
36: 341,334,33,374,326,21,154,125,375,130,131,376,126,340
37: 102,23,128,101,345,133,346,112,438,27
38: 35,39,419,353,346,40,134,387,157
39: 38,389,35,340,347,158,129,154,130,153,40,388,157
40: 128,151,346,34,7,373,129,153,38,35,39,380,157
41: 170,198,171,196,406,408,176,8
42: 69,411,47,237,416,65,43,190,46,197,231,64,191
43: 190,165,197,166,186,231,187,42,191
44: 172,198,167,171,49,192
45: 236,244,168,173,195,50,194,73
46: 165,169,168,173,195,196,197,426,42,69,411,237,244
47: 42,1,237,51,65,196,197,48,71,191,8
48: 54,71,191,192,8,232,197,198,47
49: 425,54,72,192,77,172,44,199,240
50: 209,173,178,73,45,201,202,427
51: 12,245,47,237,244,196,52,74,252,203,204
52: 178,175,179,180,408,437,196,176,57,51,8,80,203,204
53: 14,75,17,204,205,246,176,57,212,54,71,8,76
