center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12,10.0,96,10.0,10.0,10.0,10.000000000000004,0.0,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
10.0,0.12541127058547621,5.062705635292738,5.062705635292737,5.062705635292738,7.000024922883292,9.931426467156843,6.7084704235284915,12,8.971397007352655,96,6.7084704235284915,9.34438187804445,6.7084704235284915,6.709567065644298,0.1,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
8.742645379918983,0.06656191775452115,4.404603648836752,4.404603648836751,4.404603648836752,6.401210470993386,9.88993214607757,6.060054657278884,12,8.546158987303544,96,6.060054657278884,9.085180033177677,6.060054657278884,6.061215732669375,0.2,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
8.058627829215279,0.061079253878002185,4.059853541546641,4.059853541546639,4.059853541546641,6.055464874745466,9.852370371395095,5.686239946412442,12,8.251416378161688,96,5.686239946412442,8.895303168731038,5.686239946412442,5.68742181342306,0.3,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
7.648838173407292,0.05807100421767876,3.853454588812485,3.853454588812486,3.853454588812485,5.830487720773417,9.81785908310429,5.446775208079299,12,8.035627249942264,96,5.446775208079299,8.747692946071007,5.446775208079299,5.447959635878747,0.4,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
7.3798337363260345,0.05611971902075318,3.7179767276733937,3.7179767276733937,3.7179767276733937,5.672681209721723,9.786200128253006,5.281766629699376,12,7.871339033616125,96,5.281766629699376,8.62899219905435,5.281766629699376,5.282946353637221,0.5,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
7.190202338867458,0.05474375210352846,3.622473045485493,3.622473045485494,3.622473045485493,5.555699847898364,9.757316777373763,5.161397199926335,12,7.74228488176356,96,5.161397199926335,8.53128816588969,5.161397199926335,5.162569675779786,0.6,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
7.049065932944662,0.05371621941054415,3.551391076177603,3.551391076177602,3.551391076177603,5.465301035337713,9.7311255525609,5.069619436928962,12,7.6383266108364465,96,5.069619436928962,8.44949251737254,5.069619436928962,5.070784108012354,0.7,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.939609405655627,0.052916630948938274,3.496263018302282,3.4962630183022823,3.496263018302282,5.393207220347664,9.707507103492357,4.997210548009432,12,7.5528859196844,96,4.9972105480094315,8.380145595382556,4.9972105480094315,4.998367677114265,0.8,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.85203180486798,0.05227530044358177,3.4521535526557803,3.452153552655781,3.4521535526557803,5.334315592206461,9.686308518315615,4.9385614244028275,12,7.481539527686657,96,4.938561424402828,8.320791346469603,4.938561424402828,4.939711589362142,0.9,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.780280125377544,0.05174917122500776,3.416014648301276,3.4160146483012763,3.416014648301276,5.2853196505723785,9.667354419928339,4.890088249981505,12,7.421213928861829,96,4.890088249981505,8.26962255706506,4.890088249981505,4.89123212337213,1.0,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.720425191646302,0.051310167364399424,3.3858676795053504,3.38586767950535,3.3858676795053504,5.243982186128859,9.650458582592188,4.849399467397524,12,7.369706950403253,96,4.849399467397524,8.225267953318047,4.849399467397524,4.850537720776404,1.1,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.669803367379796,0.05093912918431692,3.3603712482820565,3.360371248282057,3.3603712482820565,5.20873063633538,9.635433347862385,4.814836114810114,12,7.325394792945526,96,4.814836114810113,8.186659041584628,4.814836114810113,4.815969378756631,1.2,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.62653855077254,0.05062245788831779,3.3385805043304293,3.338580504330428,3.3385805043304293,5.178421435757892,9.622096337178396,4.785206715493047,12,7.28704783603168,96,4.785206715493047,8.15294401700656,4.785206715493047,4.786335565024987,1.3,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.589263646452154,0.050350164820851216,3.3198069056365025,3.319806905636503,3.3198069056365025,5.152197373809904,9.610274776447648,4.759628368865687,12,7.253712024426115,96,4.759628368865685,8.123430500676783,4.759628368865685,4.760753320405112,1.4,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.5569518153004465,0.050114689468332585,3.303533252384389,3.3035332523843897,3.303533252384389,5.1293983187703205,9.599807969609804,4.737428237194933,12,7.224630774910362,96,4.737428237194933,8.097546461232533,4.737428237194933,4.738549750673486,1.5,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.528810725460095,0.049910157516143236,3.2893604414881183,3.2893604414881197,3.2893604414881183,5.109503681211108,9.590548442310775,4.718080634613882,12,7.199192469665879,96,4.718080634613881,8.074812892751579,4.718080634613881,4.719199117702753,1.6,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.504214301313479,0.04973190052485661,3.2769731009191676,3.2769731009191685,3.2769731009191676,5.092094347360623,9.582362182908312,4.701165771630611,12,7.176894425665818,96,4.70116577163061,8.05482425935668,4.70116577163061,4.702281584670728,1.7,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.48265750475729,0.049576136236572775,3.2661168204969315,3.2661168204969315,3.2661168204969315,5.076826879820337,9.575128303069441,4.68634203661805,12,7.15731766526882,96,4.68634203661805,8.03723417398539,4.68634203661805,4.687455497584403,1.8,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.46372565251141,0.049439750284857246,3.2565827013981337,3.256582701398134,3.2565827013981337,5.063415630175095,9.568738348861894,4.673326943910735,12,7.140108887461316,96,4.673326943910735,8.021744672544644,4.673326943910735,4.674438333111271,1.9,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.447073125234081,0.0493201434997464,3.2481966343669133,3.248196634366913,3.2481966343669133,5.051620061345686,9.563095421670942,4.6618837489157805,12,7.124967317428447,96,4.66188374891578,8.008098004876645,4.66188374891578,4.662993313303681,2.0,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.432408271051346,0.04921512258451565,3.2408116968179304,3.2408116968179312,3.2408116968179304,5.0412355658284165,9.558113215358938,4.651811840285793,12,7.111634914280884,96,4.651811840285793,7.996070221516878,4.651811840285793,4.652919797350755,2.1,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.419482471095466,0.049122820057410845,3.234302645576438,3.234302645576437,3.234302645576438,5.032086671852225,9.553715038388267,4.642939694658041,12,7.099888928269526,96,4.642939694658041,7.985466067008218,4.642939694658041,4.6440462359035175,2.2,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.408082050171031,0.04904163432540517,3.228561842248218,3.2285618422482174,3.228561842248218,5.024021909113002,9.54983286348344,4.635119600001583,12,7.089536129614168,96,4.635119600001583,7.976114842855703,4.635119600001583,4.636224894033789,2.3,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.398022165079403,0.04897018387228991,3.2234961744758457,3.2234961744758452,3.2234961744758457,5.0169098480896634,9.54640642967019,4.628223620570138,12,7.080408247677043,96,4.628223620570138,7.96786700455905,4.628223620570138,4.6293278158321005,2.4,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.389142090812762,0.04890727153153676,3.219024681172149,3.219024681172149,3.219024681172149,5.010635984141643,9.54338240974271,4.622140448759917,12,7.072358302637326,96,4.622140448759917,7.960591325394099,4.622140448759917,4.623243675945653,2.5,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.381301511953031,0.04885185610400896,3.2150766840285194,3.215076684028519,3.2150766840285194,5.0051002409609655,9.540713648552895,4.616772901975788,12,7.065257607771467,96,4.616772901975788,7.954172506083448,4.616772901975788,4.617875276158767,2.6,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.3743775499844455,0.04880302942925513,3.21159028970685,3.21159028970685,3.21159028970685,5.000214936754418,9.538358472678878,4.612035897380198,12,7.058993285260919,96,4.612035897380198,7.948509141515875,4.612035897380198,4.613137519888021,2.7,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.368262339518145,0.04875999758488929,3.208511168551517,3.208511168551516,3.208511168551517,4.995903102823331,9.53628006909336,4.607854787508566,12,7.05346618265963,96,4.607854787508566,7.943511978010132,4.607854787508566,4.60895574757301,2.8,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
6.362861021876842,0.048722065270359154,3.205791543573601,3.2057915435736,3.205791543573601,4.992097075673566,9.534445928777004,4.604163973659044,12,7.0485891076095015,96,4.604163973659043,7.939102410406349,4.604163973659043,4.605264349867808,2.9,cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0
