drag,simulator,final_overlap,analytical_overlap,absolute_error
0.01,BioDynaMo,9.999999999621423e-06,2.4192462361340837e-07,0.0009758075376008014
0.01,PhysiCell,3.16168749066037e-05,2.4192462361340837e-07,0.0031374950282990295
0.01,TiSim,0.0005199999999998539,2.4192462361340837e-07,0.05197580753762405
0.01,CompuTiX,4.000000000559112e-06,2.4192462361340837e-07,0.0003758075376945704
0.1,BioDynaMo,0.00046999999999997044,2.4192462361340837e-07,0.0469758075376357
0.1,PhysiCell,0.0002601733370664,2.4192462361340837e-07,0.02599314124427866
0.1,TiSim,0.0025100000000009004,2.4192462361340837e-07,0.2509758075377287
0.1,CompuTiX,0.0007439999999991898,2.4192462361340837e-07,0.07437580753755763
1.0,BioDynaMo,0.03247,2.4192462361340837e-07,3.2469758075376385
1.0,PhysiCell,0.0198353728633708,2.4192462361340837e-07,1.9835130938747187
1.0,Chaste,0.00792400000000093,2.4192462361340837e-07,0.7923758075377316
1.0,TiSim,0.11428000000000083,2.4192462361340837e-07,11.427975807537722
1.0,CompuTiX,0.050962999999999425,2.4192462361340837e-07,5.096275807537581
