tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.495684528127187,6.974107168763122,0.9223215062893673
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.359904864509623,6.411427643691971,0.25808993510009254
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.269832228767765,6.083816080554554,0.19942919646001553
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.199635312939211,5.829651483888205,0.18576748556713102
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.14383684700332,5.625941248687871,0.17737648878734869
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.09923664991387,5.461703592181852,0.1710047558822521
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.06346050015074,5.328884748000584,0.16603579596932896
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.034680534590834,5.221216303579164,0.16213351016227684
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.011472058994125,5.1337578855169825,0.1590544992713024
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.0,8.992716170096234,5.062590041605888,0.15661534267502322
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.1,8.977529237144783,5.004587881120661,0.15467622424918434
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.2,8.965210395553893,4.957249989317331,0.1531297315749767
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.3,8.955201752651906,4.918567293189566,0.15189280825272708
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.4,8.94705785624945,4.886921517262199,0.15090087268415678
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.5,8.940422063513642,4.8610059171345155,0.1501034652588714
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.6,8.935008130317298,4.839762995921339,0.14946099186649686
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.7,8.930585793839272,4.822335297364098,0.14894226530613433
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.8,8.926969434413667,4.808026351137925,0.1485226348012802
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.9,8.924009126520318,4.796269554241465,0.1481825536787144
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.0,8.921583552665977,4.786603292021483,0.1479064764538164
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.1,8.919594375866042,4.778650989045386,0.14768200543343013
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.2,8.917961758324003,4.772105071255537,0.14749922752853187
PhysiCell,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.3,8.916620783759896,4.766714042481022,0.1473501968591858
