time_s,distance_10um,force_nN
0,0.9,0.564686
3,0.9011,0.55539
6,0.902183,0.546299
9,0.903247,0.537409
12,0.904293,0.528712
15,0.905323,0.520204
18,0.906336,0.51188
21,0.907332,0.503735
24,0.908312,0.495763
27,0.909277,0.487961
30,0.910226,0.480323
33,0.91116,0.472846
36,0.912079,0.465524
39,0.912984,0.458355
42,0.913875,0.451334
45,0.914752,0.444457
48,0.915616,0.43772
51,0.916466,0.43112
54,0.917304,0.424654
57,0.918128,0.418318
60,0.91894,0.412108
63,0.91974,0.406022
66,0.920529,0.400056
69,0.921305,0.394208
72,0.92207,0.388474
75,0.922824,0.382852
78,0.923566,0.377339
81,0.924298,0.371933
84,0.925019,0.36663
87,0.92573,0.361428
90,0.926431,0.356326
93,0.927122,0.351319
96,0.927802,0.346407
99,0.928474,0.341587
102,0.929136,0.336857
105,0.929788,0.332214
108,0.930432,0.327657
111,0.931066,0.323184
114,0.931692,0.318793
117,0.932309,0.314481
120,0.932918,0.310247
123,0.933519,0.30609
126,0.934111,0.302007
129,0.934696,0.297998
132,0.935273,0.294059
135,0.935842,0.29019
138,0.936403,0.286389
141,0.936957,0.282655
144,0.937504,0.278986
147,0.938043,0.275381
150,0.938576,0.271838
153,0.939101,0.268356
156,0.93962,0.264934
159,0.940132,0.26157
162,0.940638,0.258263
165,0.941137,0.255012
168,0.94163,0.251816
171,0.942117,0.248674
174,0.942597,0.245584
177,0.943072,0.242545
180,0.94354,0.239557
183,0.944003,0.236618
186,0.94446,0.233727
189,0.944911,0.230883
192,0.945357,0.228086
195,0.945798,0.225333
198,0.946233,0.222626
201,0.946663,0.219962
204,0.947087,0.21734
207,0.947507,0.21476
210,0.947921,0.212221
213,0.948331,0.209723
216,0.948736,0.207263
219,0.949135,0.204842
222,0.949531,0.202459
225,0.949921,0.200114
228,0.950307,0.197804
231,0.950689,0.19553
234,0.951066,0.193291
237,0.951439,0.191086
240,0.951807,0.188915
243,0.952172,0.186777
246,0.952532,0.184671
249,0.952888,0.182597
252,0.95324,0.180554
255,0.953588,0.178541
258,0.953932,0.176559
261,0.954273,0.174606
264,0.954609,0.172682
267,0.954942,0.170786
270,0.955271,0.168918
273,0.955597,0.167077
276,0.955919,0.165263
279,0.956237,0.163476
282,0.956552,0.161714
285,0.956864,0.159978
288,0.957172,0.158266
291,0.957477,0.156579
294,0.957778,0.154916
297,0.958077,0.153277
300,0.958372,0.151661
303,0.958664,0.150067
306,0.958953,0.148496
309,0.959239,0.146947
312,0.959522,0.145419
315,0.959802,0.143913
318,0.960079,0.142428
321,0.960353,0.140963
324,0.960625,0.139518
327,0.960893,0.138093
330,0.961159,0.136687
333,0.961422,0.135301
336,0.961682,0.133933
339,0.96194,0.132583
342,0.962195,0.131252
345,0.962448,0.129939
348,0.962698,0.128643
351,0.962946,0.127365
354,0.963191,0.126103
357,0.963433,0.124859
360,0.963673,0.12363
363,0.963911,0.122418
366,0.964147,0.121222
369,0.96438,0.120041
372,0.964611,0.118875
375,0.96484,0.117725
378,0.965066,0.11659
381,0.96529,0.115469
384,0.965512,0.114362
387,0.965732,0.11327
390,0.96595,0.112192
393,0.966166,0.111127
396,0.966379,0.110076
399,0.966591,0.109038
402,0.966801,0.108013
405,0.967008,0.107001
408,0.967214,0.106002
411,0.967418,0.105015
414,0.96762,0.104041
417,0.96782,0.103078
420,0.968018,0.102128
423,0.968214,0.101189
426,0.968409,0.100261
429,0.968601,0.0993452
432,0.968792,0.0984404
435,0.968982,0.0975465
438,0.969169,0.0966635
441,0.969355,0.0957912
444,0.969539,0.0949293
447,0.969721,0.0940778
450,0.969902,0.0932365
453,0.970081,0.0924053
456,0.970259,0.0915839
459,0.970435,0.0907723
462,0.970609,0.0899703
465,0.970782,0.0891777
468,0.970953,0.0883945
471,0.971123,0.0876204
474,0.971291,0.0868554
477,0.971458,0.0860993
480,0.971624,0.085352
483,0.971788,0.0846134
486,0.97195,0.0838832
489,0.972111,0.0831615
492,0.972271,0.0824481
495,0.972429,0.0817428
498,0.972586,0.0810456
501,0.972742,0.0803564
504,0.972896,0.0796749
507,0.973049,0.0790012
510,0.973201,0.0783351
513,0.973351,0.0776764
516,0.9735,0.0770252
519,0.973648,0.0763812
522,0.973795,0.0757444
525,0.97394,0.0751147
528,0.974085,0.074492
531,0.974228,0.0738762
534,0.974369,0.0732672
537,0.97451,0.0726649
540,0.97465,0.0720692
543,0.974788,0.07148
546,0.974925,0.0708972
549,0.975061,0.0703208
552,0.975196,0.0697506
555,0.97533,0.0691866
558,0.975463,0.0686287
561,0.975595,0.0680768
564,0.975725,0.0675308
567,0.975855,0.0669906
570,0.975983,0.0664562
573,0.976111,0.0659275
576,0.976237,0.0654044
579,0.976363,0.0648869
582,0.976487,0.0643748
585,0.976611,0.0638681
588,0.976734,0.0633667
591,0.976855,0.0628706
594,0.976976,0.0623797
597,0.977095,0.0618938
600,0.977214,0.0614131
603,0.977332,0.0609373
606,0.977449,0.0604664
609,0.977565,0.0600004
612,0.97768,0.0595391
615,0.977794,0.0590826
618,0.977908,0.0586308
621,0.97802,0.0581836
624,0.978132,0.0577409
627,0.978242,0.0573027
630,0.978352,0.056869
633,0.978461,0.0564396
636,0.97857,0.0560146
639,0.978677,0.0555938
642,0.978784,0.0551773
645,0.97889,0.0547649
648,0.978995,0.0543566
651,0.979099,0.0539524
654,0.979202,0.0535522
657,0.979305,0.053156
660,0.979407,0.0527636
663,0.979508,0.0523752
666,0.979609,0.0519905
669,0.979708,0.0516096
672,0.979807,0.0512325
675,0.979906,0.050859
678,0.980003,0.0504891
681,0.9801,0.0501229
684,0.980196,0.0497601
687,0.980291,0.0494009
690,0.980386,0.0490452
693,0.98048,0.0486928
696,0.980574,0.0483438
699,0.980666,0.0479982
702,0.980758,0.0476559
705,0.98085,0.0473168
708,0.98094,0.0469809
711,0.98103,0.0466483
714,0.98112,0.0463187
717,0.981209,0.0459923
720,0.981297,0.0456689
723,0.981384,0.0453486
726,0.981471,0.0450312
729,0.981558,0.0447169
732,0.981643,0.0444054
735,0.981728,0.0440969
738,0.981813,0.0437912
741,0.981897,0.0434883
744,0.98198,0.0431882
747,0.982063,0.0428909
750,0.982145,0.0425963
753,0.982227,0.0423045
756,0.982308,0.0420152
759,0.982389,0.0417287
762,0.982469,0.0414447
765,0.982548,0.0411633
768,0.982627,0.0408845
771,0.982705,0.0406081
774,0.982783,0.0403343
777,0.98286,0.0400629
780,0.982937,0.039794
783,0.983013,0.0395274
