time_s,distance_10um,force_nN
696,0.921405,0.393459
699,0.921481,0.392884
702,0.921558,0.39231
705,0.921634,0.391737
708,0.921711,0.391165
711,0.921787,0.390594
714,0.921863,0.390024
717,0.921939,0.389456
720,0.922015,0.388889
723,0.92209,0.388322
726,0.922166,0.387757
729,0.922241,0.387193
732,0.922317,0.38663
735,0.922392,0.386068
738,0.922467,0.385508
741,0.922542,0.384948
744,0.922617,0.384389
747,0.922692,0.383832
750,0.922767,0.383276
753,0.922841,0.38272
756,0.922916,0.382166
759,0.92299,0.381613
762,0.923064,0.381061
765,0.923139,0.38051
768,0.923213,0.37996
771,0.923287,0.379411
774,0.923361,0.378864
777,0.923434,0.378317
780,0.923508,0.377771
783,0.923581,0.377227
786,0.923655,0.376683
789,0.923728,0.376141
792,0.923801,0.375599
795,0.923874,0.375059
798,0.923947,0.37452
801,0.92402,0.373981
804,0.924093,0.373444
807,0.924166,0.372908
810,0.924238,0.372373
813,0.924311,0.371839
816,0.924383,0.371306
819,0.924455,0.370774
822,0.924528,0.370242
825,0.9246,0.369712
828,0.924672,0.369183
831,0.924743,0.368656
834,0.924815,0.368129
837,0.924887,0.367603
840,0.924958,0.367078
843,0.92503,0.366554
846,0.925101,0.366031
849,0.925172,0.365509
852,0.925243,0.364988
855,0.925314,0.364468
858,0.925385,0.363949
861,0.925456,0.363431
864,0.925527,0.362914
867,0.925597,0.362398
870,0.925668,0.361883
873,0.925738,0.361369
876,0.925809,0.360856
879,0.925879,0.360344
882,0.925949,0.359833
885,0.926019,0.359323
888,0.926089,0.358814
891,0.926159,0.358306
894,0.926228,0.357799
897,0.926298,0.357293
900,0.926367,0.356788
903,0.926437,0.356283
906,0.926506,0.35578
909,0.926575,0.355278
912,0.926644,0.354776
915,0.926713,0.354276
918,0.926782,0.353776
921,0.926851,0.353278
924,0.92692,0.35278
927,0.926988,0.352284
930,0.927057,0.351788
933,0.927125,0.351293
936,0.927194,0.350799
939,0.927262,0.350306
942,0.92733,0.349814
945,0.927398,0.349323
948,0.927466,0.348833
951,0.927534,0.348344
954,0.927601,0.347856
957,0.927669,0.347368
960,0.927737,0.346882
963,0.927804,0.346396
966,0.927871,0.345912
969,0.927939,0.345428
972,0.928006,0.344945
975,0.928073,0.344464
978,0.92814,0.343983
981,0.928207,0.343502
984,0.928273,0.343023
987,0.92834,0.342545
990,0.928407,0.342068
993,0.928473,0.341591
996,0.92854,0.341116
999,0.928606,0.340641
1002,0.928672,0.340167
1005,0.928738,0.339694
1008,0.928804,0.339222
1011,0.92887,0.338751
1014,0.928936,0.338281
1017,0.929002,0.337811
1020,0.929067,0.337343
1023,0.929133,0.336875
1026,0.929199,0.336408
1029,0.929264,0.335943
1032,0.929329,0.335478
1035,0.929394,0.335013
1038,0.929459,0.33455
1041,0.929525,0.334088
1044,0.929589,0.333626
1047,0.929654,0.333165
1050,0.929719,0.332705
1053,0.929784,0.332246
1056,0.929848,0.331788
1059,0.929913,0.331331
1062,0.929977,0.330874
1065,0.930041,0.330419
1068,0.930106,0.329964
1071,0.93017,0.32951
1074,0.930234,0.329057
1077,0.930298,0.328605
1080,0.930362,0.328153
1083,0.930425,0.327703
1086,0.930489,0.327253
1089,0.930553,0.326804
1092,0.930616,0.326356
1095,0.930679,0.325909
1098,0.930743,0.325462
1101,0.930806,0.325017
1104,0.930869,0.324572
1107,0.930932,0.324128
1110,0.930995,0.323685
1113,0.931058,0.323242
1116,0.931121,0.322801
1119,0.931184,0.32236
1122,0.931246,0.32192
1125,0.931309,0.321481
1128,0.931371,0.321043
1131,0.931434,0.320605
1134,0.931496,0.320168
1137,0.931558,0.319733
1140,0.93162,0.319297
1143,0.931682,0.318863
1146,0.931744,0.31843
1149,0.931806,0.317997
1152,0.931868,0.317565
1155,0.931929,0.317134
1158,0.931991,0.316703
1161,0.932052,0.316274
1164,0.932114,0.315845
1167,0.932175,0.315417
1170,0.932236,0.31499
1173,0.932298,0.314563
1176,0.932359,0.314138
1179,0.93242,0.313713
1182,0.932481,0.313289
1185,0.932542,0.312865
1188,0.932602,0.312443
1191,0.932663,0.312021
1194,0.932724,0.3116
1197,0.932784,0.31118
1200,0.932844,0.31076
1203,0.932905,0.310341
1206,0.932965,0.309923
1209,0.933025,0.309506
1212,0.933085,0.309089
1215,0.933145,0.308674
1218,0.933205,0.308259
1221,0.933265,0.307845
1224,0.933325,0.307431
1227,0.933385,0.307018
1230,0.933444,0.306606
1233,0.933504,0.306195
1236,0.933563,0.305784
1239,0.933623,0.305375
1242,0.933682,0.304966
1245,0.933741,0.304557
1248,0.9338,0.30415
1251,0.933859,0.303743
1254,0.933918,0.303337
1257,0.933977,0.302931
1260,0.934036,0.302527
1263,0.934095,0.302123
1266,0.934153,0.30172
1269,0.934212,0.301317
1272,0.93427,0.300915
1275,0.934329,0.300514
1278,0.934387,0.300114
1281,0.934445,0.299714
1284,0.934504,0.299316
1287,0.934562,0.298917
1290,0.93462,0.29852
1293,0.934678,0.298123
1296,0.934735,0.297727
1299,0.934793,0.297332
1302,0.934851,0.296937
1305,0.934909,0.296543
1308,0.934966,0.29615
1311,0.935024,0.295757
1314,0.935081,0.295366
1317,0.935138,0.294975
1320,0.935196,0.294584
1323,0.935253,0.294194
1326,0.93531,0.293805
1329,0.935367,0.293417
1332,0.935424,0.293029
1335,0.935481,0.292642
1338,0.935537,0.292256
1341,0.935594,0.29187
1344,0.935651,0.291486
1347,0.935707,0.291101
1350,0.935764,0.290718
1353,0.93582,0.290335
1356,0.935877,0.289953
1359,0.935933,0.289571
1362,0.935989,0.28919
1365,0.936045,0.28881
1368,0.936101,0.288431
1371,0.936157,0.288052
1374,0.936213,0.287674
1377,0.936269,0.287296
1380,0.936325,0.286919
1383,0.93638,0.286543
1386,0.936436,0.286168
1389,0.936491,0.285793
1392,0.936547,0.285419
1395,0.936602,0.285045
1398,0.936657,0.284672
1401,0.936713,0.2843
1404,0.936768,0.283928
1407,0.936823,0.283557
1410,0.936878,0.283187
1413,0.936933,0.282818
1416,0.936988,0.282449
1419,0.937043,0.28208
1422,0.937097,0.281713
1425,0.937152,0.281346
1428,0.937206,0.280979
1431,0.937261,0.280613
1434,0.937315,0.280248
1437,0.93737,0.279884
1440,0.937424,0.27952
1443,0.937478,0.279157
1446,0.937532,0.278794
1449,0.937586,0.278432
1452,0.93764,0.278071
1455,0.937694,0.27771
1458,0.937748,0.27735
1461,0.937802,0.276991
1464,0.937856,0.276632
1467,0.937909,0.276274
1470,0.937963,0.275917
1473,0.938016,0.27556
1476,0.93807,0.275203
1479,0.938123,0.274848
1482,0.938177,0.274493
1485,0.93823,0.274138
1488,0.938283,0.273784
1491,0.938336,0.273431
1494,0.938389,0.273078
1497,0.938442,0.272727
1500,0.938495,0.272375
1503,0.938548,0.272024
1506,0.938601,0.271674
1509,0.938653,0.271325
1512,0.938706,0.270976
1515,0.938758,0.270627
1518,0.938811,0.27028
1521,0.938863,0.269932
1524,0.938916,0.269586
1527,0.938968,0.26924
1530,0.93902,0.268895
1533,0.939072,0.26855
1536,0.939124,0.268206
1539,0.939176,0.267862
1542,0.939228,0.267519
1545,0.93928,0.267177
1548,0.939332,0.266835
1551,0.939384,0.266494
1554,0.939435,0.266153
1557,0.939487,0.265813
1560,0.939538,0.265473
1563,0.93959,0.265135
1566,0.939641,0.264796
1569,0.939693,0.264459
1572,0.939744,0.264121
1575,0.939795,0.263785
1578,0.939846,0.263449
1581,0.939897,0.263113
1584,0.939948,0.262779
1587,0.939999,0.262444
1590,0.94005,0.262111
1593,0.940101,0.261777
1596,0.940152,0.261445
1599,0.940202,0.261113
1602,0.940253,0.260781
1605,0.940303,0.260451
1608,0.940354,0.26012
1611,0.940404,0.259791
1614,0.940455,0.259461
1617,0.940505,0.259133
1620,0.940555,0.258805
1623,0.940605,0.258477
1626,0.940655,0.25815
1629,0.940705,0.257824
1632,0.940755,0.257498
1635,0.940805,0.257173
1638,0.940855,0.256848
