snap,conc_mean
0,2.5936386459345644
1,2.9184438325594786
2,3.18863428675409
3,3.4208388267450163
4,3.6252035967546745
5,3.8083232128337237
6,3.974685334180275
7,4.127464533221398
8,4.268982685587619
9,4.400987929448483
10,4.52482991336849
11,4.641573571961321
12,4.75207520441563
13,4.8570347436317975
14,4.9570325596649685
15,5.052555959444861
16,5.144018656681506
17,5.231775340785065
18,5.316132759859764
19,5.397358278692239
20,5.475686576896284
21,5.551324956106239
22,5.624457592245661
23,5.695248977429103
24,5.763846732006494
25,5.830383921743905
26,5.894980982316878
27,5.957747329323179
28,6.018782714296768
29,6.078178373948937
30,6.136018009842754
31,6.192378628058228
32,6.247331262512608
33,6.300941601020643
34,6.353270529591583
35,6.404374607627212
36,6.454306484433031
37,6.5031152656518465
38,6.55084683677662
39,6.597544149722381
40,6.643247477477537
41,6.687994641068722
42,6.73182121242569
43,6.774760696196788
44,6.8168446931197915
45,6.858103047180665
46,6.898563978480598
47,6.938254203468744
48,6.9771990439758795
49,7.01542252629567
50,7.052947471399615
51,7.089795577234735
52,7.125987493935415
53,7.161542892679809
54,7.196480528834103
55,7.2308182999525075
56,7.2645732991355505
57,7.297761864192396
58,7.330399623003345
59,7.362501535435406
60,7.39408193212587
61,7.4251545504154794
62,7.455732567683529
63,7.485828632311268
64,7.515454892477221
65,7.544623022967709
66,7.573344250167921
67,7.601629375382924
68,7.629488796623715
69,7.656932528980797
70,7.683970223696312
71,7.710611186035719
72,7.736864392050802
73,7.762738504317631
74,7.788241886725786
75,7.813382618388479
76,7.838168506737227
77,7.862607099859401
78,7.886705698131978
79,7.910471365200536
80,7.9339109383484345
81,7.957031038297509
82,7.979838078478335
83,8.00233827380509
84,8.024537648987316
85,8.04644204640837
86,8.068057133598133
87,8.089388410325403
88,8.110441215333566
89,8.131220732741332
90,8.151731998128826
91,8.171979904327749
92,8.191969206933134
93,8.211704529552803
94,8.231190368809733
95,8.250431099111282
96,8.269430977198432
97,8.288194146487232
98,8.306724641213837
99,8.325026390393854
100,8.34310322160586
101,8.360958864608515
102,8.37859695479993
103,8.39602103652751
104,8.413234566255928
105,8.430240915600457
106,8.447043374232406
107,8.463645152663027
108,8.480049384911915
109,8.496259131065461
110,8.512277379730756
111,8.52810705038989
112,8.543750995659371
113,8.559212003459175
114,8.574492799095555
115,8.589596047261653
116,8.60452435395967
117,8.619280268348103
118,8.6338662845175
119,8.64828484319787
120,8.662538333400786
121,8.676629093999095
122,8.690559415246893
123,8.704331540242414
124,8.717947666336261
125,8.731409946487329
126,8.744720490568627
127,8.757881366625137
128,8.770894602085702
129,8.783762184930863
130,8.796486064818485
131,8.8090681541689
132,8.821510329211213
133,8.833814430992385
134,8.845982266350568
135,8.858015608854158
136,8.869916199707939
137,8.88168574862759
138,8.893325934683897
139,8.904838407117776
140,8.916224786127302
141,8.927486663627858
142,8.9386256039864
143,8.949643144730882
144,8.96054079723579
145,8.97132004738472
146,8.981982356210834
147,8.992529160516105
148,9.002961873470092
149,9.013281885189093
150,9.02349056329633
151,9.03358925346396
152,9.043579279937548
153,9.053461946043674
154,9.063238534681277
155,9.072910308797386
156,9.082478511847775
157,9.091944368243096
158,9.101309083781072
159,9.110573846065178
160,9.119739824910388
161,9.128808172736413
162,9.137780024948867
163,9.146656500308847
164,9.155438701291299
165,9.164127714432608
166,9.172724610667753
167,9.18123044565746
168,9.189646260105631
169,9.197973080067486
170,9.206211917248648
171,9.21436376929558
172,9.222429620077605
173,9.230410439960837
174,9.238307186074328
175,9.246120802568644
176,9.25385222086717
177,9.26150235991041
178,9.269072126393462
179,9.276562414996983
180,9.283974108611785
181,9.291308078557357
182,9.29856518479444
183,9.305746276131927
184,9.312852190428238
185,9.319883754787355
186,9.326841785749735
187,9.33372708947821
188,9.340540461939085
189,9.347282689078604
190,9.35395454699487
191,9.360556802105467
192,9.367090211310813
193,9.37355552215348
194,9.379953472973558
195,9.38628479306021
196,9.392550202799512
197,9.398750413818773
198,9.404886129127323
199,9.410958043254013
200,9.416966842381447
201,9.42291320447706
202,9.428797799421188
203,9.434621289132147
204,9.440384327688484
205,9.446087561448472
206,9.45173162916687
207,9.45731716210915
208,9.462844784163142
209,9.468315111948273
210,9.473728754922417
211,9.47908631548646
212,9.4843883890866
213,9.489635564314538
214,9.4948284230055
215,9.499967540334277
216,9.50505348490926
217,9.510086818864542
218,9.515068097950179
219,9.519997871620614
220,9.524876683121358
221,9.529705069573945
222,9.534483562059227
223,9.53921268569907
224,9.543892959736441
225,9.548524897614008
226,9.553109007051223
227,9.557645790119972
228,9.562135743318825
229,9.56657935764591
230,9.570977118670447
231,9.575329506602994
232,9.579636996364453
233,9.583900057653796
234,9.588119155014644
235,9.592294747900656
236,9.596427290739777
237,9.600517232997408
238,9.604565019238452
239,9.608571089188349
240,9.612535877793075
241,9.616459815278125
242,9.620343327206525
243,9.624186834535928
244,9.627990753674712
245,9.631755496537249
246,9.635481470598222
247,9.639169078946127
248,9.64281872033591
249,9.646430789240766
250,9.650005675903175
251,9.653543766385106
252,9.65704544261748
253,9.660511082448869
254,9.663941059693473
255,9.667335744178372
256,9.670695501790052
257,9.674020694520296
258,9.67731168051136
259,9.6805688141005
260,9.683792445863865
261,9.686982922659748
262,9.69014058767123
263,9.693265780448213
264,9.696358836948866
265,9.69942008958048
266,9.70244986723976
267,9.705448495352591
268,9.708416295913183
269,9.711353587522767
270,9.71426068542771
271,9.717137901557125
272,9.719985544560007
273,9.722803919841821
274,9.725593329600661
275,9.728354072862883
276,9.731086445518308
277,9.733790740354936
278,9.736467247093236
279,9.73911625241997
280,9.7417380400216
281,9.744332890617248
282,9.746901081991261
283,9.749442889025351
284,9.751958583730323
285,9.754448435277407
286,9.756912710029223
287,9.759351671570316
288,9.761765580737366
289,9.764154695648974
290,9.766519271735117
291,9.76885956176624
292,9.771175815881968
293,9.773468281619502
294,9.775737203941661
295,9.777982825264564
296,9.780205385485022
297,9.782405122007571
298,9.784582269771185
299,9.786737061275698
300,9.788869726607878
301,9.79098049346723
302,9.793069587191457
303,9.79513723078166
304,9.797183644927223
305,9.799209048030415
306,9.801213656230694
307,9.803197683428769
308,9.805161341310324
309,9.807104839369526
310,9.809028384932224
311,9.810932183178922
312,9.812816437167442
313,9.814681347855371
314,9.816527114122229
315,9.818353932791391
316,9.820161998651784
317,9.821951504479301
318,9.823722641057994
319,9.825475597201047
320,9.827210559771485
321,9.828927713702658
322,9.83062724201852
323,9.83230932585365
324,9.833974144473082
325,9.835621875291885
