snap,conc_single
0,-0.3125
1,-0.3645833333333333
2,-0.4094328703703704
3,-0.42896412037037035
4,-0.44569897226508914
5,-0.4561349513817444
6,-0.465093150108142
7,-0.4717553524492584
8,-0.47752306143327244
9,-0.4822230793454225
10,-0.48634512634650295
11,-0.4898772047041329
12,-0.49301512546913523
13,-0.49577780343635325
14,-0.49824695741148406
15,-0.5004334620093271
16,-0.5023619238860573
17,-0.5040228467573538
18,-0.5054038905507188
19,-0.5064729221538038
20,-0.5071905682978552
21,-0.5075048586413907
22,-0.5073570892161535
23,-0.5066808761533046
24,-0.5054054862387491
25,-0.5034564691453027
26,-0.5007578640761321
27,-0.49723324731728796
28,-0.4928072890250336
29,-0.4874067413480851
30,-0.4809615216410163
31,-0.4734054684888516
32,-0.464677043596169
33,-0.45471981949680523
34,-0.44348287241255774
35,-0.43092102522439746
36,-0.4169949979925516
37,-0.4016714523005497
38,-0.38492296070407134
39,-0.3667279028553697
40,-0.34707030748552065
41,-0.325939646524827
42,-0.3033305941446772
43,-0.2792427575314587
44,-0.25368038825976574
45,-0.22665208010594112
46,-0.19817045948657236
47,-0.1682518730048838
48,-0.136916076334464
49,-0.10418592761800122
50,-0.07008708815415754
51,-0.03464773245103531
52,0.002101730662835144
53,0.0401289246538864
54,0.07939975872599658
55,0.11987866751784293
56,0.16152883672093482
57,0.2043124145065477
58,0.2481907088176698
59,0.2931243707286564
60,0.33907356418637047
61,0.38599812253805443
62,0.4338576923186924
63,0.48261186482237883
64,0.5322202960176191
65,0.5826428153901211
66,0.6338395243091994
67,0.685770884518151
68,0.7383977973458613
69,0.7916816742282207
70,0.8455844991146022
71,0.9000688833178243
72,0.9550981133464487
73,1.0106361922367306
74,1.0666478748786081
75,1.1230986978063064
76,1.1799550038998543
77,1.2371839624194143
78,1.2947535847700742
79,1.3526327363708783
80,1.4107911449785524
81,1.4691994057937399
82,1.5278289836557313
83,1.586652212610677
84,1.6456422931182253
85,1.7047732871424053
86,1.7640201113544385
87,1.8233585286579688
88,1.8827651382310053
89,1.9422173642635832
90,2.001693443555804
91,2.0611724121274686
92,2.1206340909779167
93,2.180059071122935
94,2.23942869802462
95,2.2987250555198684
96,2.357930949343687
97,2.4170298903346774
98,2.4760060774019004
99,2.534844380324744
100,2.5935303224504245
101,2.6520500633473008
102,2.7103903814661927
103,2.76853865685644
104,2.8264828539783498
105,2.8842115046490564
106,2.941713691154547
107,2.9989790295566943
108,3.0559976532205573
109,3.11276019658394
110,3.1692577791882037
111,3.225481989986593
112,3.281424871943868
113,3.3370789069387494
114,3.392437000978652
115,3.4474924697343106
116,3.502239024400215
117,3.556670757885257
118,3.6107821313366095
119,3.6645679609986384
120,3.7180234054075303
121,3.7711439529213235
122,3.823925409584163
123,3.8763638873227952
124,3.928455792472639
125,3.9801978146301353
126,4.031586915827554
127,4.082620320025964
128,4.133295502921647
129,4.183610182060908
130,4.2335623072579125
131,4.283150051309944
132,4.332371801004246
133,4.381226148410465
134,4.42971188245255
135,4.477827980753864
136,4.525573601749201
137,4.572948077057328
138,4.619950904107654
139,4.666581739014622
140,4.71284038969342
141,4.758726809210644
142,4.804241089363579
143,4.849383454481825
144,4.894154255445044
145,4.93855396391071
146,4.982583166745786
147,5.0262425606563825
148,5.069532947009528
149,5.112455226841278
150,5.155010396045519
151,5.197199540737927
152,5.239023832789635
153,5.280484525525313
154,5.321582949580461
155,5.362320508912831
156,5.40269867696305
157,5.442718992959582
158,5.482383058363343
159,5.52169253344737
160,5.56064913400707
161,5.599254628196718
162,5.63751083348795
163,5.675419613746161
164,5.712982876420799
165,5.750202569845671
166,5.787080680645501
167,5.823619231245074
168,5.859820277477412
169,5.895685906287555
170,5.931218233528583
171,5.966419401846666
172,6.001291578651998
173,6.035836954172554
174,6.070057739587779
175,6.103956165239305
176,6.137534478915967
177,6.1707949442104475
178,6.203739838944957
179,6.236371453663463
180,6.268692090188039
181,6.300704060237007
182,6.332409684102607
183,6.363811289386019
184,6.394911209787619
185,6.425711783950427
186,6.456215354354791
187,6.486424266262385
188,6.5163408667077025
189,6.54596750353525
190,6.575306524480746
191,6.6043602762946545
192,6.633131103906466
193,6.661621349628178
194,6.689833352395493
195,6.717769447045292
196,6.745431963627999
197,6.772823226753509
198,6.799945554969375
199,6.82680126017002
200,6.853392647035779
201,6.879722012500601
202,6.905791645247303
203,6.9316038252293115
204,6.957160823217823
