"DateTime","Node s21r2b43"
"2022-10-07 15:55:51",3.76
"2022-10-07 15:56:21",3.92
"2022-10-07 15:56:51",3.92
"2022-10-07 15:57:21",3.92
"2022-10-07 15:57:51",3.92
"2022-10-07 15:58:21",3.92
