method,mean_absolute_error_uM,rmse_uM,mean_relative_error_percent
Upper center voxel,2.453375495495301,3.3263807327188704,33.89550208713885
Mean of 8 surrounding voxels,2.5812040885903107,2.9028102026206355,35.621670548658905
Trilinear interpolation,2.5812040885903107,2.9028102026206355,35.621670548658905
Lower center voxel,3.578768741043882,4.5315955393554,49.366358659458264
