layout,method,mean_absolute_error_uM,rmse_uM,mean_relative_error_percent
cells_10,Lower center voxel,1.5254958533604903,1.755649488323432,21.10896092031502
cells_10,Mean of 8 surrounding voxels,2.3216355035468674,2.6882125784543076,32.07756867594403
cells_10,Trilinear interpolation,2.3216355035468674,2.6882125784543076,32.07756867594403
cells_10,Upper center voxel,3.393159382824572,4.396401814745638,46.83081176584717
inner_voxels,Lower center voxel,5.632041628727275,6.163473950521831,77.62375639860151
inner_voxels,Mean of 8 surrounding voxels,2.840772673633754,3.102600083464988,39.165772421373774
inner_voxels,Trilinear interpolation,2.840772673633754,3.102600083464988,39.165772421373774
inner_voxels,Upper center voxel,1.5135916081660312,1.6736990892355532,20.960192408430526
