time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.98381314059273,9.421457803070357,9.326825268722041,8.214288331925463,8.214288331925463,8.214288331925463,8.686540500887336
0.2,9.969482767884111,8.897308832220666,8.629868807998898,7.69145042605894,7.69145042605894,7.69145042605894,8.221298974983144
0.3,9.955722645189184,8.625300190005827,8.315885949246823,7.434781049533208,7.434781049533207,7.434781049533208,7.977081890039901
0.4,9.942483666497411,8.457470137739538,8.133378890332915,7.280879997889907,7.280879997889907,7.280879997889907,7.82560763148465
0.5,9.92982875228181,8.342610267811661,8.012270786689708,7.177168163141662,7.177168163141662,7.177168163141662,7.721447410094623
0.6,9.917838510659147,8.258294832444328,7.925058350049211,7.101776385485743,7.101776385485744,7.101776385485743,7.6447188335179845
0.7,9.906577488421057,8.193267987241567,7.858672944345718,7.044021922116032,7.044021922116032,7.044021922116032,7.585393950443617
0.8,9.89608370193529,8.141273735793328,7.806095511179986,6.9980691573859355,6.998069157385935,6.9980691573859355,7.537872674331744
0.9,9.886368956422434,8.098556807096639,7.763212213211777,6.960457687404936,6.960457687404936,6.960457687404936,7.498780452561574
1.0,9.87742349743684,8.062724938635082,7.72744803494035,6.9290029499635075,6.9290029499635075,6.9290029499635075,7.465960737329515
1.1,9.869221692378618,8.032180265780106,7.697105795342802,6.902255817981802,6.9022558179818025,6.902255817981802,7.437969122265921
1.2,9.861727254007889,8.005813084850889,7.671018856681917,6.879215227310654,6.879215227310654,6.879215227310654,7.413799887177058
1.3,9.854897485782963,7.982826675392823,7.648356322178244,6.8591654500052375,6.859165450005237,6.8591654500052375,7.392729135089228
1.4,9.848686490903596,7.962632080869555,7.6285078833002515,6.841579160868334,6.841579160868336,6.841579160868334,7.374220384807316
1.5,9.843047474726323,7.944782355503672,7.611012798970789,6.826057275035598,6.826057275035599,6.826057275035598,7.357865491024872
1.6,9.837934322960875,7.928930124553264,7.595514548413304,6.812290334287006,6.812290334287006,6.812290334287006,7.34334647164262
1.7,9.833302631520027,7.9147994521352825,7.58173103373082,6.800033027198893,6.800033027198892,6.800033027198893,7.330410180532106
1.8,9.8291103360259,7.90216677043017,7.569434519448287,6.78908697820007,6.789086978200069,6.78908697820007,7.318851120655405
1.9,9.825318057191518,7.8908476982157865,7.5584378396004155,6.779288883887935,6.779288883887934,6.779288883887935,7.3084995494573315
2.0,9.821889249642187,7.880687769677532,7.548584732832806,6.77050218486613,6.77050218486613,6.77050218486613,7.2992130987825865
2.1,9.818790218360267,7.871555806082913,7.53974294948612,6.762611119129318,6.762611119129318,6.762611119129318,7.290870770858418
2.2,9.81599004885687,7.8633391009477185,7.531799251350124,6.755516405437552,6.755516405437552,6.755516405437552,7.283368565596147
2.3,9.813460483642602,7.855939866238878,7.5246557229192925,6.749132058088445,6.749132058088445,6.749132058088445,7.276616243338123
2.4,9.811175767660167,7.8492725661814955,7.518227003834843,6.743382997189929,6.74338299718993,6.743382997189929,7.270534887979064
2.5,9.809112478196102,7.843261883138484,7.512438176780911,6.738203225189171,6.738203225189171,6.738203225189171,7.265055041204383
2.6,9.807249349697988,7.837841138872241,7.5072231277663635,6.733534411443912,6.733534411443913,6.733534411443912,7.2601152492800605
2.7,9.805567100333015,7.832951047881971,7.5025232513285385,6.729324774554103,6.729324774554103,6.729324774554103,7.255660911653667
2.8,9.804048264615865,7.828538716030958,7.498286411031728,6.725528184871104,6.725528184871103,6.725528184871104,7.251643353322183
2.9,9.802677034699693,7.824556822876975,7.494466091633683,6.722103432116745,6.722103432116745,6.722103432116745,7.248019065474654
3.0,9.801439111738478,7.820962943632785,7.491020697314637,6.719013618670733,6.719013618670732,6.719013618670733,7.2447490745939005
3.1,9.80032156793063,7.817718978934771,7.4879129629509364,6.716225650007537,6.716225650007537,6.716225650007537,7.24179841117383
3.2,9.799312719326144,7.814790669218117,7.485109454271629,6.713709801449341,6.713709801449341,6.713709801449341,7.239135656939023
3.3,9.798402009140561,7.812147176597847,7.482580139011774,6.711439345844266,6.711439345844266,6.711439345844266,7.236732554934273
3.4,9.797579901110323,7.809760721498432,7.480298015654842,6.7093902306590305,6.7093902306590305,6.7093902306590305,7.234563670763919
3.5,9.79683778230442,7.807606264386541,7.4782387895776505,6.707540795760572,6.707540795760573,6.707540795760572,7.232606096073155
3.6,9.796167874747889,7.805661225207214,7.476380588746857,6.70587152517632,6.70587152517632,6.70587152517632,7.230839187401167
3.7,9.795563155193467,7.803905234757507,7.474703712825359,6.7043648275935235,6.7043648275935235,6.7043648275935235,7.2292443350255535
3.8,9.795017282384668,7.802319913431338,7.473190410810563,6.7030048414418015,6.7030048414418,6.7030048414418015,7.22780475751729
