center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12,10.0,195,10.0,10.0,10.0,10.000000000000002,0.0,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
9.421457803070357,9.326825268722041,8.214288331925463,8.214288331925463,8.214288331925463,8.686540500887336,9.98381314059273,9.657965332929843,12,9.609308677424625,195,9.326030839385243,9.600301030424648,9.326030839385243,9.338477872846555,0.1,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.897308832220666,8.629868807998898,7.69145042605894,7.69145042605894,7.69145042605894,8.221298974983144,9.969482767884111,9.322281129362159,12,9.344662942750467,195,8.992892220355355,9.374737065240206,8.992892220355357,9.010976340881633,0.2,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.625300190005827,8.315885949246823,7.434781049533208,7.434781049533207,7.434781049533208,7.977081890039901,9.955722645189184,9.120961902423206,12,9.17098983752212,195,8.788202942152768,9.22399648026137,8.788202942152768,8.809015931172288,0.3,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.457470137739538,8.133378890332915,7.280879997889907,7.280879997889907,7.280879997889907,7.82560763148465,9.942483666497411,8.984174865658124,12,9.048708733647253,195,8.650384667190023,9.115535126305103,8.650384667190023,8.67262389289529,0.4,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.342610267811661,8.012270786689708,7.177168163141662,7.177168163141662,7.177168163141662,7.721447410094623,9.92982875228181,8.884726510139965,12,8.957679254124274,195,8.550993064100576,9.033297291721622,8.550993064100576,8.574033034726584,0.5,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.258294832444328,7.925058350049211,7.101776385485743,7.101776385485744,7.101776385485743,7.6447188335179845,9.917838510659147,8.808750103769924,12,8.88696645726541,195,8.475526221690174,8.9684652054083,8.475526221690174,8.499044571268467,0.6,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.193267987241567,7.858672944345718,7.044021922116032,7.044021922116032,7.044021922116032,7.585393950443617,9.906577488421057,8.748500801386795,12,8.83020731900078,195,8.41596126735208,8.915815605347467,8.41596126735208,8.439780150791497,0.7,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.141273735793328,7.806095511179986,6.9980691573859355,6.998069157385935,6.9980691573859355,7.537872674331744,9.89608370193529,8.699342987116138,12,8.783475957538718,195,8.367539316689077,8.872067036332348,8.367539316689077,8.391554744904358,0.8,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
8.098556807096639,7.763212213211777,6.960457687404936,6.960457687404936,6.960457687404936,7.498780452561574,9.886368956422434,8.658341617381014,12,8.744228836228089,195,8.327270024459516,8.835057862825735,8.327270024459516,8.351418250029988,0.9,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0
