time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.984829800314914,0.022143908482067896,8.852719696429704,4.437431802455885,4.437431802455885,4.437431802455885,6.419516654889989
0.2,9.972650836237097,0.020234886316623533,8.095125403327462,4.057680144822043,4.057680144822043,4.057680144822043,5.992956967249483
0.3,9.961019806488228,0.019551456281592276,7.814898217299601,3.9172248367905964,3.9172248367905964,3.9172248367905964,5.813108160565811
0.4,9.949805771477731,0.01918055817555013,7.663880385637935,3.8415304719067422,3.8415304719067422,3.8415304719067422,5.710774032318673
0.5,9.939041025564878,0.018940200928199324,7.566504239448963,3.792722220188582,3.792722220188582,3.792722220188582,5.643005359918593
0.6,9.928794981024378,0.018768423606839522,7.497125811540705,3.7579471175737735,3.757947117573773,3.7579471175737735,5.593974710243666
0.7,9.919131374247257,0.01863785478285539,7.444495538706673,3.731566696744764,3.731566696744764,3.731566696744764,5.556411281464119
0.8,9.910093143101117,0.01853433814870339,7.4028248829053265,3.710679610527015,3.7106796105270154,3.710679610527015,5.526466536036135
0.9,9.90169998591122,0.018449739618910905,7.368799698709136,3.6936247191640237,3.693624719164024,3.6936247191640237,5.501895162078459
1.0,9.893951399844797,0.01837902075088002,7.340372535002233,3.6793757778765563,3.6793757778765572,3.6793757778765563,5.481291299322445
1.1,9.886831444076225,0.018318878788980177,7.316204104108494,3.6672614914487376,3.6672614914487376,3.6672614914487376,5.463725981231472
1.2,9.880313448541353,0.018267049554702562,7.295377992918342,3.656822521236523,3.6568225212365233,3.656822521236523,5.4485584019608275
1.3,9.874363974716523,0.018221922309883155,7.277243443634001,3.647732682971942,3.6477326829719425,3.647732682971942,5.435330421377786
1.4,9.868945872314127,0.018182314186986643,7.261323428157888,3.6397528711724374,3.639752871172437,3.6397528711724374,5.423704212933142
1.5,9.86402050699614,0.018147331842902476,7.24725832949873,3.6327028306708167,3.6327028306708167,3.6327028306708167,5.413423744581487
1.6,9.859549310650838,0.018116283422241676,7.234770128673056,3.6264432060476497,3.6264432060476497,3.6264432060476497,5.404290124750703
1.7,9.855494812013031,0.018088620831167797,7.223638934715892,3.6208637777735295,3.62086377777353,3.6208637777735295,5.396145360965348
1.8,9.851821284552477,0.01806390093098498,7.213687216247047,3.615875558589016,3.615875558589016,3.615875558589016,5.388861400413571
1.9,9.848495120788224,0.018041758886960687,7.204768980662044,3.6114053697745025,3.611405369774503,3.6114053697745025,5.382332580403272
2.0,9.845485015960216,0.018021889513319966,7.196762208247154,3.607392048880237,3.6073920488802376,3.607392048880237,5.376470330901446
2.1,9.84276202215549,0.018004033982836953,7.189563470024291,3.6037837520035643,3.6037837520035643,3.6037837520035643,5.371199392882395
2.2,9.8402995169347,0.017987970196125094,7.183084035030176,3.600536002613151,3.600536002613151,3.600536002613151,5.366455073443294
2.3,9.838073117677034,0.017973505684381552,7.1772470081252795,3.5976102569048307,3.5976102569048303,3.5976102569048307,5.362181220102878
2.4,9.836060563441192,0.017960472289508284,7.171985190098451,3.59497283119398,3.59497283119398,3.59497283119398,5.358328700451045
2.5,9.834241579335686,0.017948722107122127,7.167239450253547,3.5925940861803354,3.592594086180336,3.5925940861803354,5.354854241295786
2.6,9.832597733538218,0.017938124338271362,7.162957467034051,3.590447795686162,3.590447795686162,3.590447795686162,5.351719526711242
2.7,9.831112293676593,0.01792856280350822,7.159092736255378,3.588510649529443,3.588510649529443,3.588510649529443,5.348890484919288
2.8,9.829770086885988,0.01791993394633057,7.155603776482735,3.5867618552145344,3.586761855214534,3.5867618552145344,5.3463367147548775
2.9,9.828557366195641,0.017912145203398334,7.152453481687812,3.585182813445606,3.5851828134456056,3.585182813445606,5.344031016791069
3.0,9.827461684758196,0.01790511365383135,7.1496085855835965,3.583756849618715,3.583756849618715,3.583756849618715,5.341949004134941
3.1,9.826471778663228,0.01789876488424465,7.147039211987346,3.582468988435796,3.582468988435796,3.582468988435796,5.340068774844003
3.2,9.825577458562574,0.01789303202328313,7.144718492546182,3.5813057622847326,3.5813057622847326,3.5813057622847326,5.33837063278965
3.3,9.824769510000799,0.017887854911513727,7.142622238092745,3.58025504650213,3.58025504650213,3.58025504650213,5.336836847243642
3.4,9.824039602134157,0.01788317938114698,7.140728653403834,3.579305916392491,3.5793059163924914,3.579305916392491,5.335451443919516
3.5,9.823380204396694,0.017878956626237213,7.139018087642751,3.5784485221344946,3.5784485221344946,3.5784485221344946,5.334200021961353
3.6,9.822784510605347,0.017875142648477133,7.137472814573448,3.5776739786109624,3.577673978610963,3.5776739786109624,5.333069592644331
3.7,9.82224636996792,0.017871697766960654,7.1360768379477895,3.5769742678573753,3.5769742678573753,3.5769742678573753,5.3320484364783916
3.8,9.821760224455417,0.017868586182688252,7.134815718430744,3.576342152306717,3.576342152306717,3.576342152306717,5.331125976088666
3.9,9.821321052014037,0.017865775590378042,7.1336764191427395,3.575771097366559,3.575771097366559,3.575771097366559,5.330292662754135
4.0,9.82092431511596,0.017863236831495762,7.132647167434807,3.575255202133152,3.575255202133152,3.575255202133152,5.329539874868766
4.1,9.820565914177624,0.017860943583449248,7.1317173309203055,3.5747891372518774,3.5747891372518774,3.5747891372518774,5.328859826881995
4.2,9.82024214540639,0.017858872080694716,7.130877306102222,3.5743680890914598,3.5743680890914593,3.5743680890914598,5.328245487502307
4.3,9.819949662669629,0.017857000864134078,7.1301184181824535,3.573987709523294,3.573987709523294,3.573987709523294,5.327690506126599
4.4,9.8196854430129,0.017855310555688314,7.129432830836546,3.573644070696118,3.5736440706961177,3.573644070696118,5.327189146601198
4.5,9.819446755485439,0.017853783655343233,7.128813464897297,3.5733336242763207,3.5733336242763203,3.5733336242763207,5.32673622753685
4.6,9.819231132960805,0.017852404358303164,7.128253925021988,3.5730531646901453,3.5730531646901453,3.5730531646901453,5.326327068496303
4.7,9.819036346668648,0.017851158390171967,7.127748433527862,3.5727997959590176,3.5727997959590176,3.5727997959590176,5.325957441453548
4.8,9.818860383179219,0.017850032858320868,7.127291770673441,3.5725709017658818,3.5725709017658818,3.5725709017658818,5.325623526992224
4.9,9.818701423606205,0.017849016117808363,7.126879220742688,3.572364118430249,3.572364118430249,3.572364118430249,5.325321874769271
5.0,9.818557824815333,0.017848097650395352,7.126506523358063,3.5721773105042294,3.5721773105042294,3.5721773105042294,5.325049367820708
5.1,9.818428102446118,0.017847267955353296,7.126169829508359,3.5720085487318567,3.5720085487318567,3.5720085487318567,5.3248031903307815
5.2,9.81831091557247,0.017846518450899393,7.12586566183019,3.5718560901405447,3.5718560901405447,3.5718560901405447,5.324580798524704
5.3,9.818205052844327,0.01784584138521254,7.125590878728528,3.5717183600568707,3.5717183600568707,3.5717183600568707,5.324379894379738
5.4,9.818109419967644,0.01784522975609007,7.125342641963248,3.571593935859669,3.571593935859669,3.571593935859669,5.324198401879954
5.5,9.818023028393677,0.017844677238400133,7.125118387365557,3.5714815323019784,3.571481532301979,3.5714815323019784,5.324034445567413
5.6,9.817944985100917,0.017844178118568484,7.124915798381323,3.571379988249946,3.571379988249946,3.571379988249946,5.3238863311668405
