id,x,y,z,radius,nuclear_radius,ms,mbx,dt
0.0,-15.0,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.0
1.0,15.0,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.0
0.0,-13.950000000000003,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.1
1.0,13.950000000000003,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.1
0.0,-12.950000000000006,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.2
1.0,12.950000000000006,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.2
0.0,-11.95000000000001,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.3
1.0,11.95000000000001,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.3
0.0,-10.950000000000014,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.4
1.0,10.950000000000014,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.4
0.0,-9.950000000000017,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.5
1.0,9.950000000000017,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.5
0.0,-8.95000000000002,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.6
1.0,8.95000000000002,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.6
0.0,-7.950000000000023,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.7
1.0,7.950000000000023,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.7
0.0,-6.950000000000018,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.8
1.0,6.950000000000018,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.8
0.0,-5.9499992831602775,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,0.9
1.0,5.9499992831602775,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,0.9
0.0,-4.949926061625447,0.0,0.0,5.0000038973886225,3.1498050799381656,1.0,0.0,1.0
1.0,4.949926061625447,0.0,0.0,5.0000038973886225,3.1498050799381656,-1.0,0.0,1.0
0.0,-4.5069070242936595,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.1
1.0,4.5069070242936595,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.1
0.0,-4.516141070708123,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.2
1.0,4.516141070708123,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.2
0.0,-4.525027626595888,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.3
1.0,4.525027626595888,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.3
0.0,-4.5335858368802,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.4
1.0,4.5335858368802,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.4
0.0,-4.541833465523877,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.5
1.0,4.541833465523877,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.5
0.0,-4.549787017837764,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.6
1.0,4.549787017837764,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.6
0.0,-4.557461850016451,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.7
1.0,4.557461850016451,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.7
0.0,-4.564872267430784,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.8
1.0,4.564872267430784,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.8
0.0,-4.57203161300092,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.9
1.0,4.57203161300092,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,1.9
0.0,-4.578952346798475,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.0
1.0,4.578952346798475,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.0
0.0,-4.585646117876829,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.1
1.0,4.585646117876829,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.1
0.0,-4.592123829200656,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.2
1.0,4.592123829200656,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.2
0.0,-4.598395696435942,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.3
1.0,4.598395696435942,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.3
0.0,-4.604471301267278,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.4
1.0,4.604471301267278,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.4
0.0,-4.610359639827682,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.5
1.0,4.610359639827682,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.5
0.0,-4.616069166755798,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.6
1.0,4.616069166755798,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.6
0.0,-4.6216078353342125,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.7
1.0,4.6216078353342125,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.7
0.0,-4.626983134109646,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.8
1.0,4.626983134109646,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.8
0.0,-4.632202120349593,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.9
1.0,4.632202120349593,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,2.9
0.0,-4.637271450649709,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.0
1.0,4.637271450649709,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.0
0.0,-4.6421974089710885,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.1
1.0,4.6421974089710885,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.1
0.0,-4.646985932355745,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.2
1.0,4.646985932355745,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.2
0.0,-4.6516426345415285,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.3
1.0,4.6516426345415285,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.3
0.0,-4.656172827673993,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.4
1.0,4.656172827673993,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.4
0.0,-4.660581542291766,0.0,0.0,5.0000038973886225,3.1498050799381656,0.0,0.0,3.5
