time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.997906585392718,0.0019050918130032578,9.500042375151061,4.750973733482032,4.750973733482031,4.750973733482032,6.6951258553152675
0.2,9.995927146292173,0.001861262214542058,9.286356148905952,4.644108705560247,4.644108705560247,4.644108705560247,6.560134031740806
0.3,9.993970928642904,0.001847203951748256,9.216412675403408,4.609129939677576,4.609129939677576,4.609129939677576,6.512819590518743
0.4,9.992036896850452,0.0018397272025450157,9.179175287100044,4.590507507151295,4.590507507151294,4.590507507151295,6.487189151017166
0.5,9.990134504102732,0.001834917646685144,9.15521118441099,4.578523051028835,4.578523051028835,4.578523051028835,6.470570455585189
0.6,9.988256837165542,0.0018314938347964232,9.13814720296876,4.569989348401778,4.569989348401778,4.569989348401778,7.457298279091603
0.7,9.986412257763254,0.0018639889854941546,9.234575515255088,4.61821975212029,4.61821975212029,4.61821975212029,7.525235527139082
0.8,9.984635578096547,0.0018630717119876598,9.230092716835799,4.615977894273893,4.615977894273892,4.615977894273893,7.520901024992158
0.9,9.982937423838344,0.0018614999614031467,9.222336946991414,4.612099223476408,4.612099223476407,4.612099223476408,7.514563155205524
1.0,9.981324247055754,0.00186006932814502,9.215264469379127,4.608562269353635,4.608562269353636,4.608562269353635,7.508828569258615
1.1,9.979799681449217,0.0018588212101612988,9.209090767786627,4.6054747944983925,4.605474794498392,4.6054747944983925,7.503827156044053
1.2,9.978365020227743,0.0018577319405701654,9.203701247878396,4.602779489909482,4.602779489909482,4.602779489909482,7.499460509665668
1.3,9.977019699228936,0.0018567744802073982,9.198962988952111,4.60040988171616,4.60040988171616,4.60040988171616,7.495620377945984
1.4,9.975761761132539,0.0018559262851193504,9.19476482888165,4.598310377583384,4.598310377583385,4.598310377583384,7.492216932585219
1.5,9.974588258309511,0.0018551695447363561,9.191018841678176,4.596437005611455,4.596437005611454,4.596437005611455,7.489179245131268
1.6,9.973495579899916,0.0018544902764733085,9.187655959096805,4.594755224686639,4.594755224686638,4.594755224686639,7.486451608732426
1.7,9.97247970629257,0.0018538774226768112,9.18462154362175,4.593237710522213,4.593237710522213,4.593237710522213,7.483989939990951
1.8,9.97153640129299,0.0018533221345382836,9.181871864169329,4.591862593151933,4.591862593151933,4.591862593151933,7.481758935756177
1.9,9.970661353759098,0.0018528172356495393,9.179371451111173,4.590612134173409,4.59061213417341,4.590612134173409,7.479729944347775
2.0,9.969850279579777,0.0018523568260230053,9.177091141846402,4.589471749336211,4.589471749336212,4.589471749336211,7.477879393765056
2.1,9.969098993181737,0.001851935989973845,9.17500663806156,4.5884292870257655,4.588429287025766,4.5884292870257655,7.476187631578606
2.2,9.968403455978605,0.001851550579579517,9.173097435803774,4.587474493191675,4.587474493191675,4.587474493191675,7.474638064493954
