tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.930555555555555,6.666666666666671,10.0
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.888877633005121,6.0273443096815855,8.726676467713947
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.851081131969567,5.654019863764638,8.040883914998531
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.816360681630291,5.414817157112618,7.630174379124019
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.784517158234483,5.250002495909589,7.360620083431507
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.75547208260343,5.129789561443791,7.170631440995157
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.729140030135737,5.038142446571272,7.0292473267656455
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.705399597013598,4.965844789516972,6.919610346384109
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.684095809020246,4.907291801150361,6.8318964987242765
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.0,9.66505130216741,4.858902778380594,6.760039384688204
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.1,9.648077996618923,4.818288464920989,6.700101559932229
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.2,9.632986543903705,4.783791620208837,6.649413984009373
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.3,9.61959305103192,4.754222067055627,6.606096832010339
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.4,9.607723403471391,4.728697896005827,6.56878031921146
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.5,9.59721572927484,4.70654703458435,6.536435582719092
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.6,9.58792152923209,4.687244396652462,6.508268715364929
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.7,9.57970590271307,4.670370670997979,6.483652382169998
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.8,9.572447192956869,4.655584634960674,6.462080517893641
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.9,9.566036283560491,4.642604125882481,6.443137589488467
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.0,9.560375705935403,4.631192673124456,6.426477267854559
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.1,9.555378664329814,4.621149902424695,6.41180730485782
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.2,9.550968047166299,4.61230449937952,6.398878579260519
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.3,9.547075467215048,4.604508939034797,6.387476992303732
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.4,9.543640355342017,4.5976354552827114,6.377417344018979
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.5,9.540609120766646,4.591572895876084,6.368538609579748
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.6,9.537934383103051,4.586224221538714,6.360700222460005
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.7,9.535574276626711,4.581504482318771,6.353779094741295
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.8,9.533491824280471,4.577339154365435,6.347667187321625
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.9,9.531654377268957,4.573662754177013,6.3422694983034935
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.0,9.530033115250644,4.570417670520067,6.337502375600085
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.1,9.528602601825185,4.567553170202513,6.333292085714678
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p1min,20.0,12044000000000000,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.2,9.527340390030384,4.565024545034548,6.3295735886011215
