tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.941308618689266,8.644725461441336,9.863710938947655
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.896578528509584,7.939234779373566,9.606144806246053
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.86045271965699,7.531912767447313,9.355424909393104
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.830515953787428,7.272795497557665,9.142312447135657
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.805464166651266,7.0942375206200525,8.968200816512315
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.784440566880757,6.963607353835569,8.827153456234315
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.76679503981493,6.8639266403723616,8.712579437170923
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.751995741018659,6.785633987431303,8.618926375800672
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.73959443214225,6.722917510012929,8.541862712140546
PhysiCell,dx_40um__uptake_20__dtdiff_0p01min,40.0,20,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.0,9.7292102964448,6.671994297932893,8.478075436566554
