218: 953,355,231,898,90,685
219: 964,955,79,937
220: 1001,376,360,61,957,719
221: 972,854,150,531,959,631
222: 367,899,586,476,783,665
223: 92,581,822,556,963
224: 965,502,719,396,376,890
225: 949,216,498,382,841,967
226: 757,366,86,385,969,72
227: 858,971,100,403,31,842
228: 819,973,705,568,57,616
229: 562,826,975,664,606,517
230: 407,827,404,577,977,570
231: 989,218,953,898,979,379
232: 981,408
233: 518,454,720,983,811,40
234: 739,985,460,590,659,359
235: 986,374,417,997,635,137
236: 14,620,970,874,421,988
237: 990,753,466,1017,494,893
238: 865,428,992
239: 994,650,542,29
240: 996,432,780,446,649,698
241: 410,64,312,998,728,843
242: 1000,177,81,550,436,782
243: 1002,1020,501,675,559,32
244: 442,1004,664,606
245: 1006,122,302,393,487,855
246: 1008,47,28,873,447,889
247: 738,1010,449
248: 1012,304,711,451,486,41,944
249: 939,1014,453,880,389,529,507
250: 464,1016,747,661,688,456
251: 1018,125,871,972,854,731
252: 461,741,16,1019,842,569
253: 254,32,1020,790,745,439
254: 749,465,1021,253,32,745
255: 1022,193,493,1011,760,468
256: 354,470,1023,558,543,8
257: 515,516,604,258,144,732
258: 144,589,21,732,520,257
259: 515,0,129,168,523,369
260: 82,135,326,6,528,531
261: 327,34,425,533,628,519
262: 38,66,645,537,344,884
263: 704,541,52,194,19,583
264: 791,545,84,617,147,309
265: 319,549,2,410,64,588
266: 804,36,530,554,682,160
267: 67,736,557,427,571,671
268: 714,563,3,388,77
269: 742,567,587,887,133,35
270: 67,982,952,195,899,573
271: 634,459,637,628,737,547
272: 196,582,695,508,998,728
273: 861,567,587,142,292,701
274: 907,197,596,305,39,450
275: 785,585,484,802,113,602
276: 516,129,609,740,748,513
277: 440,717,98,166,614,838
278: 621,146,912,852,61,126
279: 341,658,433,190,624,579
280: 14,426,910,561,630,620
281: 137,714,841,563,967,635
282: 640,347,793,94,827,626
283: 70,578,644,151,634,311
284: 310,654,138,479,571,49
285: 401,1004,664,691,975
286: 139,662,292,676,142,435
287: 85,691,723,200,524,680
288: 600,25,684,726,580,883
289: 687,717,166,942,201,919
290: 627,199,690,149,679,506
291: 1022,1011,694,566,500,862
292: 676,701,273,142,286
293: 996,1009,780,307,551,706
294: 932,65,143,106,400,599,710
295: 958,805,715,953,355,1007,88
296: 428,646,497,755
297: 703,683,729,583,778,345
298: 204,350,734,40,454,87
299: 918,881,209,740,514,604
300: 454,158,720,673,801,734
301: 750,869,792,371,22,674
302: 1006,245,855,569,754,901
303: 217,353,758,954,702,448
304: 761,248,451,486,883,114
305: 815,930,596,769,274,197
306: 900,775,847,121,555,12,611
307: 1009,293,551,445,11,696
308: 206,878,785,484,929,416
309: 443,641,941,791,264,147
310: 804,654,138,284,697,636
311: 148,807,70,283,151,623
312: 410,241,983,931,811,843
313: 815,51,766,930,75,727
314: 908,149,818,974,838,627
315: 110,876,478,823,618,420
316: 999,829,13,770,765,470
317: 562,975,933,401,63,863
318: 58,977,708,731,631,854
319: 857,549,265,1023,558,916,64
320: 151,425,637,892,623,860
321: 886,325,865,772
322: 646,755,24,418,152,870
323: 7,706,874,14,130,630
324: 936,881,609
325: 886,321,153,77,772,642
326: 15,888,260,528,531,959
327: 261,425,130,519,892,535
328: 867,378,413,938,667,182
329: 159,774,897
330: 903,444,695,901,812,1006
331: 176,78,905,693
332: 908,818,211,939,113,602
333: 35,591,633,911,435,156
334: 409,814,915,778,42,885
335: 918,209,576,575,657,969
336: 343,934,491,692,848,920
337: 784,80,724,489,849,816
338: 539,924,158,133,35,633
339: 926,791,545,580,114,526
340: 483,681,73,51,928,759
341: 279,658,579,930,769,75
342: 795,462,160,932,682,599
343: 934,97,336,848,213,496
344: 935,433,537,788,262,190,884
345: 915,778,937,19,297,583
346: 397,779,940,935,658,433
347: 793,94,282,54,201,942
348: 430,395,944,877,189,1012
349: 796,481,946,99,947,161
350: 204,162,298,803,948,87
351: 402,825,564,949,382,950
352: 83,795,666,438,671,952
353: 217,488,954,303,951,115
354: 256,1023,128,543,956,145
355: 218,953,90,1007,295,958,813
356: 131,84,18,797,625,960
357: 187,171,427,643,962,736
358: 964,955,896,194
359: 966,164,817,460,234,590
360: 91,1001,220,167,968,957,978
361: 832,712,970,509,561,620
362: 1018,972,716,888,959,845
363: 101,974,452,844,43,98
364: 442,976
365: 945,5,474,978,864,108
366: 368,86,385,226,980,984
367: 982,899,222,665,1015,603
368: 366,980,984,74,21,763
369: 786,523,46,987,259,168
370: 207,593,499,120,989,898
371: 803,22,593,991,674,301
372: 752,993,891,556,963,23,399
373: 735,995,92,822,169
374: 595,997,235,635,1013,472
375: 170,76,808,742,68,191
376: 820,1001,220,224,719,396
377: 525,598,1003,388,77,772
378: 867,746,938,328,574,1005
379: 953,231,979,1007,406,210
380: 655,600,457,696,684,1009
381: 993,699,56,921,493,1011
382: 225,949,351,564,1013,967
383: 1015,390,782,603,532,436
384: 423,893,96,796,481,809
385: 366,226,969,514,980,918
386: 981,408,517,826,492,117
387: 504,721,62,858,522,971
388: 525,377,714,268,59,77
389: 866,819,529,507,705,249
390: 768,767,383,603,532,26
391: 183,534,672,610,453,718
392: 771,536,540,394,37
393: 203,245,122,784,487,80
394: 540,777,37,641,392
395: 430,650,348,542,1012,711
396: 224,820,376,890,192,544
397: 779,935,346,177,550,474
398: 927,205,619,30,835,553
399: 23,417,997,752,372,556,608
400: 106,294,710,178,1002,559
401: 285,691,723,63,975,317
402: 107,351,825,564,60,773
403: 31,619,568,971,227,616
404: 230,577,55,422,934,692,570
405: 656,99,840,445,572,946
406: 938,210,546,574,979,379
407: 230,640,827,150,977,631
408: 232,981,386,581,117
409: 79,915,334,42,584
410: 241,983,64,312,588,265
411: 95,412,590,817
412: 592,806,411,985,590
413: 867,328,182,737,547,594
414: 465,1021,622,668,597
415: 831,601
416: 929,605,830,308,484
417: 986,399,997,235,608,44
418: 24,764,1003,612,870,322
419: 655,33,446,432,733,615
420: 833,872,110,315,618
421: 789,988,179,236,118,970
422: 55,489,849,185,404,577,626
423: 893,96,384,834,990,629
424: 900,186,853,632,775,471
425: 261,327,320,637,628,892
426: 280,910,519,630,639,533
427: 357,479,571,643,736,267
428: 296,646,992,238
429: 188,477,48
430: 650,119,348,395,431,189
431: 638,189,71,430,119,653
432: 240,780,446,655,419
433: 279,344,935,346,658,190
434: 53,444,582,660,120,685
435: 591,333,156,142,286,662
436: 1000,751,242,1015,782,383
437: 669,829,2,13,549
438: 352,795,160,671,36,557
439: 478,823,253,1020,675,790
440: 277,614,149,838,914,679
441: 686,800,192
442: 364,244,976,1004
443: 777,641,309,176,693,147
444: 53,330,434,582,695,812
445: 572,11,307,696,840,405
446: 66,698,240,432,733,419
447: 246,47,873,111,700,794
448: 758,702,303,100,461,607
449: 247,1010,896,704,485
450: 647,905,709,274,907,39
451: 761,248,613,304,548,711
452: 713,844,363,101,43,747
453: 249,718,880,610,391,507
454: 720,300,233,298,734,40
455: 722,642,521,153
456: 464,1016,250,553,902,503
457: 380,696,684,726,810,840
458: 58,198,731,871,165,712
459: 271,34,628,103,737,547
460: 951,739,234,164,359,707
461: 741,252,607,448,100,842
462: 83,795,342,932,743,859
463: 790,745
464: 250,747,456,713,835,553
465: 749,1021,254,414
466: 753,237,950,105,93,494
467: 722,521,565,756,846,663
468: 850,828,511,493,255,760
469: 1002,501,121,106,762,859
470: 256,558,765,8,316,13
471: 853,424,632,104,768,45
472: 374,595,1013,202,564,773
473: 0,776,523
474: 945,365,108,177,397,779
475: 781,670,966,181,794,47
476: 134,783,20,109,586,222
477: 787,48,534,429
478: 110,439,315,823,790
479: 427,571,643,792,49,284
480: 831,95,601,111,181,794
481: 89,809,946,349,384,796
482: 798,799,112,200,917
483: 820,681,340,800,928,544
484: 275,308,785,416,802,830
485: 704,541,808,1010,449
486: 810,41,726,883,248,304
487: 203,1006,245,393,538,812
488: 353,954,814,115,163,729
489: 422,849,185,337,626,816
490: 866,819,973,1008,889,116
491: 157,336,692,920,805,824
492: 56,891,826,208,386,117
493: 1011,255,828,468,699,381
494: 832,1017,105,118,237,466
495: 30,57,713,906,835,844
496: 943,213,837,343,97,836
497: 296,755,71,725,653
498: 225,216,629,841,59,173
499: 931,843,660,120,207,370
500: 107,862,845,291,566
501: 243,1002,469,847,675,121
502: 965,224,126,719,851
503: 902,122,855,927,553,456
504: 62,858,387,217,707,702
505: 738,170,123,68,861
506: 63,679,863,879,199,290
507: 866,389,610,249,453
508: 882,868,857,916,728,196,272
509: 832,361,712,105,125,871,856
510: 876,618,12,146,912,184
511: 914,850,879,468,127,760
512: 882,741,868,145,607,128
513: 69,748,0,129,276
514: 385,980,918,299,604,144
515: 257,516,129,259,168,732
516: 515,257,604,129,276,740
517: 981,27,606,386,826,229
518: 539,924,720,233,2,983,588
519: 130,426,630,639,261,327,533
520: 258,589,530,730,732,132
521: 3,722,455,642,467,565
522: 568,721,116,387,971,973
523: 776,46,369,0,259,473
524: 680,913,4,917,200,287
525: 764,173,377,1003,388,59
526: 339,545,580,140,25,131
527: 621,852,186,174,5
528: 15,135,326,260,894,193
529: 389,705,249,1014,124,906
530: 589,520,554,266,682,132
531: 150,326,260,6,959,221
532: 767,864,108,390,782,383
533: 261,34,628,426,836,519,639
534: 477,787,183,48,391,672
535: 154,892,649,327,130,7
536: 771,10,392,212,548,37
537: 148,81,788,262,645,344
538: 53,812,203,487,90,813
