199: 63,506,723,690,913,680,290
200: 482,85,287,917,524,680
201: 1016,289,688,919,347,54,942
202: 472,595,773,862,172,694,921
203: 958,923,80,538,813,393,784
204: 162,300,734,744,925,984,298,350
205: 1019,30,619,398,553,754,927
206: 929,112,878
207: 991,651,843,931,593,370,499
208: 562,826,933,56,699,492
209: 385,299,576,918,936
210: 574,938,406,379,1007,88,667
211: 124,101,844,1014,939,818
212: 37,941,536,548,926,761
213: 230,496,570,708,943,343,934
214: 167,766,940,779,945,968
215: 947,99,349,877,656,944
216: 225,498,629,949,841,753,990
217: 951,504,707,702
218: 53,231,120,90,355,685,898,953
219: 964,79,955,937
220: 376,61,360,719,957,978,1001
221: 959,972,251,150,326,531,854
222: 586,665,783,961,367,899
223: 92,556,581,963,822
224: 396,376,719,502,965
225: 216,498,967,949,841,382
226: 72,86,366,801,385,969,657
227: 403,100,31,842,858,971,702
228: 389,57,705,819,973,568
229: 975,664,826,517,606
230: 213,570,708,977,404,407,577,631
231: 218,379,898,953,979,989,406
232: 27,981
233: 518,924,983,720,40,454,811
234: 460,659,739,985,590,359
235: 44,137,986,281,374,997,635
236: 14,323,988,874,620,421,179
237: 1017,466,494,753,990,832,893
238: 992,428
239: 395,542,650,895,994
240: 432,293,780,996,446,649,698
241: 410,312,728,998,660,843
242: 177,550,1000,782,436,1015
243: 501,469,675,1002,1020,439,559
244: 606,442,664,1004
245: 122,302,393,855,487,1006
246: 1008,700,873,47,447,889
247: 738,1010
248: 41,711,1012,304,486,451
249: 389,529,1014,866,453,507,880
250: 464,1016,661,747,922,456,724
251: 1018,125,972,221,318,731,854,871
252: 1019,842,461,741,16,569,754
253: 254,32,745,790,1020,439
254: 465,253,32,745,1021
255: 493,1011,828,468,193,1022,760
256: 319,8,470,558,543,1023,354
257: 258,144,276,515,516,604,732
258: 144,257,520,732,530,589
259: 129,168,515,0,776,523
260: 135,326,528,531,888,82,6
261: 327,34,425,533,628,836,519
262: 38,66,537,645,884,788
263: 194,19,583,704,896,52,541
264: 147,443,617,84,545,791,309
265: 64,2,437,549,588,669,13
266: 682,36,554,636,804,160
267: 138,427,571,36,67,557,671
268: 3,77,563,59,388,714
269: 35,133,567,591,887,587,742
270: 67,982,195,573,736,952,899
271: 459,628,634,737,547,578
272: 196,998,508,582,695,728
273: 142,567,701,587,861,292
274: 907,450,305,197,39,596
275: 332,113,484,802,585,602,785
276: 129,257,515,516,609,740,748,881
277: 440,98,614,838,289,166,552,687
278: 61,146,621,852,126,912
279: 579,624,433,190,341,658
280: 14,165,323,561,630,910
281: 635,235,137,714,563,565
282: 6,347,54,94,827,640,793
283: 311,70,644,807,578,151,623,634
284: 138,479,571,654,49,310
285: 401,63,975,664,723,1004,287,691
286: 139,292,676,662,435
287: 85,200,680,691,285,723
288: 140,580,684,726,883,25
289: 201,717,919,166,277,942,687
290: 149,679,141,627,690,506,199
291: 1022,566,1011,694,500,107,862
292: 286,701,273,142,435
293: 240,307,551,780,996,7,706,874
294: 143,106,400,932,65,987,710
295: 958,88,715,824,355,1007,805
296: 497,725,755,428
297: 345,19,583,729,52,8,683,703
298: 40,454,87,350,803,204,734
299: 881,209,385,514,918,936,604,740
300: 204,734,744,757,801,158,720,454
301: 792,49,869,371,674,22,750
302: 245,569,754,855,1006,901
303: 448,607,702,758,954,353
304: 114,486,883,761,248,451
305: 769,815,73,197,596,759,274
306: 121,12,555,611,775,847
307: 11,1009,445,293,551,696,780
308: 416,830,929,484,785,878
309: 791,37,941,641,443,264
310: 636,697,804,162,138,284,654
311: 70,283,807,151,623,81,148
312: 410,241,983,811,843,931
313: 75,167,51,727,766,815,930
314: 149,974,98,838,908,627,818
315: 420,618,876,478,823,110
316: 13,470,558,765,770,829,999,437
317: 401,562,863,933,850,511
318: 458,58,708,731,854,977,251
319: 13,256,558,1023,916,549,857
320: 327,151,425,637,892,154,860
321: 886,865,772,325
322: 24,418,152,646,870,71,755
323: 14,280,130,236,7,630,706,874
324: 881,936
325: 153,77,642,772,321,886
326: 15,260,528,531,888,6,959,221
327: 261,320,425,533,535,892,130,519
328: 378,413,938,867,182,667
329: 897,774
330: 444,695,901,812,903,487,1006
331: 78,176,693,905
