snap,conc_single
0,-0.3125
1,-0.4079861111111111
2,-0.3226273148148148
3,-0.0828805512688614
4,0.21718971032664613
5,0.5529134275830507
6,0.8922221309200298
7,1.224834213624622
8,1.5418874355846168
9,1.8409757781120275
10,2.120702456097877
11,2.381491061019675
12,2.6241171194803523
13,2.8497857725478335
14,3.059743756184637
15,3.255261675169501
16,3.437541661268011
17,3.6077054477068287
18,3.766781164536644
19,3.915702809750422
20,4.055316209926911
21,4.186383978985563
22,4.309594446082467
23,4.425568018875979
24,4.534865114073789
25,4.637992121131031
26,4.735407696669577
27,4.827527765203312
28,4.91473035785364
29,4.997359612827596
30,5.075729473248682
31,5.150126827184172
32,5.220814344488677
33,5.288032928771511
34,5.352003910310355
35,5.41293096445917
36,5.4710018219754915
37,5.526389778282715
38,5.579255039729771
39,5.629745919516158
40,5.677999906958581
41,5.724144622524903
42,5.768298674422303
43,5.810572427236134
44,5.8510686937083625
45,5.889883358041608
46,5.927105938807117
47,5.962820098014193
48,5.997104102376548
49,6.0300312418714626
50,6.061670210182811
51,6.092085450992299
52,6.1213374736589445
53,6.149483141385038
54,6.17657593462819
55,6.2026661921957205
56,6.2278013321926595
57,6.252026054751954
58,6.275382528269245
59,6.297910560679276
60,6.319647757150275
61,6.340629665429331
62,6.3608899099460405
63,6.380460315669669
64,6.399371022616121
65,6.417650591812764
66,6.435326103450742
67,6.452423247884388
68,6.46896641007485
69,6.484978748019094
70,6.500482265655368
71,6.515497880691166
72,6.530045487759451
73,6.5441440172723935
74,6.557811490309291
75,6.571065069845669
76,6.583921108603969
77,6.596395193782096
78,6.608502188894269
79,6.620256272938826
80,6.631670977089763
81,6.642759219092424
82,6.653533335529036
83,6.664005112106263
84,6.674185812104764
85,6.684086203119506
86,6.6937165822094595
87,6.703086799565986
88,6.712206280800713
89,6.7210840479459835
90,6.729728739253824
91,6.738148627872854
92,6.746351639476695
93,6.754345368911838
94,6.76213709592803
95,6.7697338000495675
96,6.7771421746417
97,6.784368640222392
98,6.791419357066197
99,6.798300237143628
100,6.805016955436385
101,6.811574960666068
102,6.817979485471285
103,6.824235556065837
104,6.83034800140832
105,6.83632146191154
106,6.842160397718207
107,6.847869096567651
108,6.853451681276669
109,6.858912116856132
110,6.864254217283602
111,6.869481651950878
112,6.8745979518042555
113,6.879606515194127
114,6.884510613449538
115,6.8893133961923585
116,6.894017896404817
117,6.8986270352633445
118,6.903143626750871
119,6.907570382059
120,6.911909913790844
121,6.916164739974636
122,6.920337287897652
123,6.924429897769473
124,6.92844482622304
125,6.9323842496615145
126,6.936250267458521
127,6.94004490501888
128,6.943770116706584
129,6.947427788646409
130,6.951019741405165
131,6.954547732558299
132,6.958013459147261
133,6.961418560032721
134,6.964764618148515
135,6.968053162660883
136,6.9712856710373625
137,6.97446357102947
138,6.97758824257309
139,6.980661019610283
140,6.983683191836055
141,6.986656006373438
142,6.989580669380077
143,6.992458347589342
144,6.995290169788884
145,6.998077228239315
146,7.000820580035697
147,7.003521248414272
148,7.006180224006822
149,7.0087984660449045
150,7.011376903516119
151,7.013916436274449
152,7.016417936106629
153,7.018882247756404
154,7.021310189908448
155,7.02370255613364
156,7.026060115797326
157,7.028383614932085
158,7.030673777076499
159,7.0329313040813295
160,7.035156876884416
161,7.037351156255641
162,7.039514783513123
163,7.041648381211868
164,7.043752553805964
165,7.045827888285413
166,7.047874954788624
167,7.0498943071915425
168,7.051886483674366
169,7.05385200726674
170,7.055791386372306
171,7.057705115273404
172,7.059593674616752
173,7.061457531880831
174,7.0632971418257116
175,7.065112946926029
176,7.066905377787741
177,7.068674853549341
178,7.070421782268114
179,7.0721465612920325
180,7.073849577617851
181,7.075531208235936
182,7.077191820462352
183,7.078831772258703
184,7.080451412540184
185,7.082051081472335
186,7.083631110756896
187,7.085191823907209
188,7.086733536513565
189,7.088256556498875
190,7.089761184365039
191,7.091247713430379
192,7.0927164300584655
193,7.0941676138786685
194,7.095601537998762
195,7.097018469209863
196,7.098418668184012
197,7.099802389664668
198,7.101169882650396
199,7.10252139057198
200,7.103857151463248
201,7.105177398125806
202,7.106482358287946
203,7.107772254757913
204,7.109047305571779
205,7.110307724136098
206,7.111553719365545
207,7.1127854958157375
208,7.114003253811406
209,7.115207189570095
210,7.116397495321555
211,7.117574359422994
212,7.118737966470332
213,7.119888497405615
214,7.121026129620739
215,7.1221510370575825
216,7.123263390304739
217,7.124363356690925
218,7.125451100375209
219,7.126526782434173
220,7.127590560946128
221,7.128642591072475
222,7.129683025136326
223,7.130712012698499
224,7.131729700630946
225,7.1327362331877495
226,7.133731752073748
227,7.134716396510892
228,7.135690303302397
229,7.136653606894801
230,7.137606439437966
231,7.138548930843132
232,7.13948120883907
233,7.1404033990264155
234,7.14131562493025
235,7.142218008050977
236,7.143110667913568
237,7.143993722115243
238,7.14486728637162
239,7.145731474561409
240,7.146586398769691
241,7.1474321693298375
242,7.148268894864114
243,7.14909668232302
244,7.149915637023408
245,7.150725862685423
246,7.1515274614683095
247,7.152320534005114
248,7.153105179436339
