snap,conc_mean,conc_std
0,2.559928733398121,4.40410280955354
1,2.8510240074865925,4.2864776575457055
2,3.0877297672204294,4.24188511148271
3,3.2868064792534284,4.22347384924931
4,3.458473612158799,4.215147023897956
5,3.6093642388504423,4.210737025750965
6,3.7439837121688826,4.207771706343629
7,3.8655119389387376,4.2051826438787705
8,3.9762687896092586,4.20251092383139
9,4.077996087305971,4.199554928982025
10,4.172034691949832,4.196237852955002
11,4.259439403030664,4.192538248429601
12,4.341055730344629,4.188462836803957
13,4.417572590656312,4.184030162138919
14,4.489559372774359,4.179264214384014
15,4.557492595628831,4.174190199922223
16,4.621775470800816,4.168833017331824
17,4.6827525225787845,4.163216193943991
18,4.7407206955751,4.157361619405412
19,4.795937920640304,4.151289372144361
20,4.848629810437477,4.145017785750806
21,4.898994957671249,4.138563522176902
22,4.947209174621642,4.131941711764563
23,4.993428920275976,4.125166080812548
24,5.037794096676272,4.118249091249138
25,5.080430350197003,4.11120206543324
26,5.121450980377592,4.104035306596639
27,5.160958534793844,4.096758206112325
28,5.199046150607869,4.089379342450593
29,5.235798690105172,4.081906569313693
30,5.271293707456289,4.074347095440285
31,5.305602276259993,4.066707555697904
32,5.338789701511358,4.058994074894035
33,5.37091613504641,4.05121232458318
34,5.402037109920231,4.043367573786593
35,5.432204006339762,4.035464734058933
36,5.461464459519635,4.027508399546654
37,5.489862718027204,4.019502882468538
38,5.517439959732236,4.01145224450534
39,5.544234571301875,4.0033603244813305
40,5.570282396224475,3.995230762723729
41,5.5956169555623685,3.9870670224287443
42,5.620269644988463,3.978872408349049
43,5.644269911128164,3.9706500830812232
44,5.667645409784713,3.9624030812134228
45,5.6904221482559825,3.954134321567371
46,5.712624613640656,3.9458466177504508
47,5.734275888770694,3.937542687213003
48,5.7553977571864685,3.9292251589890377
49,5.77601079838405,3.920896580281363
50,5.796134474404949,3.9125594220370763
51,5.815787208702934,3.904216083644779
52,5.83498645810604,3.895868896871706
53,5.853748778592079,3.8875201291465826
54,5.872089885509708,3.879171986282708
55,5.890024708802671,3.870826614725284
56,5.907567443730343,3.8624861033974778
57,5.924731597521544,3.8541524852109346
58,5.941530032349753,3.8458277382985044
59,5.957975004975198,3.8375137870197347
60,5.974078203361837,3.8292125027831405
61,5.9898507805445105,3.820925704723394
62,6.005303385992669,3.8126551602662917
63,6.020446194691618,3.8044025856096404
64,6.035288934139769,3.796169646143992
65,6.049840909440496,3.787957956833433
66,6.06411102664955,3.7797690825733135
67,6.078107814523289,3.771604538538909
68,6.091839444799058,3.7634657905364373
69,6.105313751126587,3.755354255365634
70,6.11853824675815,3.7472713012011414
71,6.131520141095325,3.7392182479982763
72,6.144266355181224,3.7311963679273203
73,6.156783536219105,3.7232068858392053
74,6.169078071191075,3.7152509797644377
75,6.1811560996441255,3.7073297814462007
76,6.1930235257048984,3.6994443769078296
77,6.204686029379352,3.6915958070542465
78,6.216149077188664,3.683785068306427
79,6.227417932188536,3.676013113267558
80,6.238497663415018,3.66828085141924
81,6.249393154796544,3.660589149845815
82,6.260109113568634,3.6529388339847366
83,6.270650078224775,3.6453306884007466
84,6.281020426034367,3.637765457581561
85,6.291224380156224,3.6302438467526974
86,6.301266016373854,3.6227665227090755
87,6.31114926947681,3.615334114661052
88,6.320877939310508,3.6079472150925507
89,6.330455696515271,3.6006063806290545
90,6.3398860879738015,3.59331213291325
91,6.349172541984881,3.5860649594862397
92,6.358318373179818,3.578865314672298
93,6.367326787196977,3.5717136204652653
94,6.376200885128637,3.5646102674147766
95,6.384943667753419,3.5575556155106143
96,6.393558039566633,3.5505499950636055
97,6.4020468126200285,3.5435937075815716
98,6.410412710181646,3.536687026638958
99,6.418658370225797,3.529830198738875
100,6.426786348762463,3.5230234441663923
101,6.434799123014874,3.5162669578320003
102,6.4426990944534115,3.5095609101043057
103,6.45048859169347,3.5029054476310604
104,6.4581698732644295,3.4963006941477524
105,6.46574513025645,3.4897467512730684
106,6.473216488851393,3.4832436992906013
107,6.480586012743737,3.4767915979162756
108,6.48785570545708,3.470390487051021
109,6.495027512561438,3.464040387518302
110,6.502103323796209,3.4577413017861724
111,6.50908497510349,3.451493214673583
112,6.515974250576048,3.445296094040734
113,6.522772884324072,3.4391498914633005
114,6.52948256226459,3.4330545428904373
115,6.536104923837183,3.427009969286473
116,6.542641563649464,3.421016077256287
117,6.5490940330556,3.4150727596543735
118,6.5554638416709325,3.409179896177637
119,6.561752458825645,3.4033373539420113
120,6.567961314960244,3.397544988042996
121,6.574091802965447,3.391802642100259
122,6.580145279469007,3.386110148786452
123,6.586123066071794,3.380467330340434
124,6.592026450535375,3.37487399906509
125,6.597856687923246,3.3693299578099665
126,6.603615001697688,3.3638350004389617
127,6.6093025847742,3.3583889122833055
128,6.614920600535322,3.3529914705800903
129,6.62047018380557,3.347642444896627
130,6.625952441789142,3.3423415975408863
131,6.631368454971985,3.33708868395832
132,6.636719277989673,3.3318834531153443
133,6.642005940462581,3.3267256478697806
134,6.647229447799658,3.3216150053285434
135,6.652390781972139,3.31655125719288
136,6.657490902258411,3.3115341300914594
