tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,time_min,average_uM,center_uM
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.0,10.0,10.0
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.1,9.511019534946275,9.050000692861328
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.2,9.154408906455439,8.192742585264277
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.3,8.884795171576634,7.426849890521679
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.4,8.676857783483513,6.75337488342405
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.5,8.514513127713105,6.171405159942741
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.6,8.386734167747406,5.676482124009648
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.7,8.285595365390447,5.261162875780259
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.8,8.205221421084492,4.916311217462948
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,0.9,8.141163052216724,4.632296341078518
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.0,8.089999127382272,4.399828443355703
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.1,8.04906956257529,4.2104351977542285
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.2,8.016288822179042,4.056671377378042
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.3,7.990011667269527,3.9321581430561827
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.4,7.968934158076011,3.831526197289779
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.5,7.952019242064835,3.7503124117779216
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.6,7.93843996577078,3.6848401921984366
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.7,7.927535613900071,3.6321005854305763
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.8,7.918777513757336,3.5896427458200963
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,1.9,7.91174218037877,3.555477378209183
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.0,7.906090108023738,3.5279939650920413
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.1,7.901548948896486,3.505891118495404
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.2,7.897900127975807,3.4881187216936196
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.3,7.894968165727679,3.4738302967185355
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.4,7.892612145006637,3.4623440425733665
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.5,7.890718881994211,3.453111114135944
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.6,7.8891974551325585,3.445689883815868
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.7,7.887974818553465,3.439725109596579
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.8,7.886992282955248,3.434931105108174
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,2.9,7.886202691143994,3.4310781613275707
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,3.0,7.885568150367567,3.4279816026697465
PhysiCell,PhysiCell_dx_20um,20.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=20 um,3.1,7.885058211232549,3.4254929729259738
