time_min,distance_um,radius_sum_um,overlap_um,velocity_um_per_min
0.0,9.0,10.000007794777245,1.000007794777245,1.0
0.1,9.01016458670195,10.000007794777245,0.9898432080752944,1.0
0.2,9.01678639529618,10.000007794777245,0.9832213994810655,1.0
0.3,9.023359452868759,10.000007794777245,0.9766483419084864,1.0
0.4,9.029866729750296,10.000007794777245,0.9701410650269491,1.0
0.5,9.036309189836716,10.000007794777245,0.9636986049405287,1.0
0.6,9.04268769061745,10.000007794777245,0.9573201041597947,1.0
0.7,9.04900307590199,10.000007794777245,0.9510047188752555,1.0
0.8,9.055256175628415,10.000007794777245,0.9447516191488301,1.0
0.9,9.06144780613843,10.000007794777245,0.938559988638815,1.0
1.0,9.067578770443744,10.000007794777245,0.9324290243335014,1.0
1.1,9.073649858486418,10.000007794777245,0.9263579362908274,1.0
1.2,9.079661847393288,10.000007794777245,0.9203459473839573,1.0
1.3,9.085615501724629,10.000007794777245,0.9143922930526163,1.0
1.4,9.091511573717213,10.000007794777245,0.908496221060032,1.0
1.5,9.097350803521895,10.000007794777245,0.9026569912553501,1.0
1.6,9.103133919435873,10.000007794777245,0.8968738753413721,1.0
1.7,9.108861638129758,10.000007794777245,0.891146156647487,1.0
1.8,9.114534664869595,10.000007794777245,0.8854731299076501,1.0
1.9,9.120153693733931,10.000007794777245,0.8798541010433141,1.0
2.0,9.125719407826105,10.000007794777245,0.8742883869511395,1.0
2.1,9.131232479481834,10.000007794777245,0.8687753152954105,1.0
2.2,9.13669357047224,10.000007794777245,0.8633142243050056,1.0
2.3,9.142103332202424,10.000007794777245,0.8579044625748207,1.0
2.4,9.147462405905706,10.000007794777245,0.8525453888715386,1.0
2.5,9.152771422833615,10.000007794777245,0.8472363719436302,1.0
2.6,9.158031004441769,10.000007794777245,0.841976790335476,1.0
2.7,9.16324176257172,10.000007794777245,0.8367660322055244,1.0
2.8,9.168404299628884,10.000007794777245,0.8316034951483608,1.0
2.9,9.173519208756618,10.000007794777245,0.826488586020627,1.0
3.0,9.17858707400659,10.000007794777245,0.8214207207706554,1.0
3.1,9.183608470505487,10.000007794777245,0.8163993242717584,1.0
3.2,9.188583964618168,10.000007794777245,0.811423830159077,1.0
3.3,9.193514114107359,10.000007794777245,0.8064936806698864,1.0
3.4,9.19839946828995,10.000007794777245,0.8016083264872957,1.0
3.5,9.203240568189996,10.000007794777245,0.7967672265872494,1.0
3.6,9.208037946688494,10.000007794777245,0.7919698480887511,1.0
3.7,9.212792128670007,10.000007794777245,0.7872156661072385,1.0
3.8,9.217503631166233,10.000007794777245,0.7825041636110122,1.0
3.9,9.222172963496554,10.000007794777245,0.7778348312806909,1.0
4.0,9.226800627405678,10.000007794777245,0.7732071673715666,1.0
4.1,9.23138711719841,10.000007794777245,0.7686206775788342,1.0
4.2,9.235932919871647,10.000007794777245,0.7640748749055977,1.0
4.3,9.240438515243632,10.000007794777245,0.7595692795336131,1.0
4.4,9.24490437608057,10.000007794777245,0.7551034186966756,1.0
4.5,9.249330968220628,10.000007794777245,0.7506768265566173,1.0
4.6,9.253718750695404,10.000007794777245,0.7462890440818413,1.0
4.7,9.258068175848924,10.000007794777245,0.7419396189283205,1.0
4.8,9.262379689454217,10.000007794777245,0.7376281053230276,1.0
4.9,9.266653730827521,10.000007794777245,0.733354063949724,1.0
5.0,9.270890732940185,10.000007794777245,0.7291170618370604,1.0
5.1,9.27509112252831,10.000007794777245,0.7249166722489342,1.0
5.2,9.279255320200198,10.000007794777245,0.720752474577047,1.0
5.3,9.283383740541625,10.000007794777245,0.7166240542356199,1.0
5.4,9.28747679221904,10.000007794777245,0.7125310025582046,1.0
5.5,9.29153487808068,10.000007794777245,0.7084729166965644,1.0
5.6,9.295558395255686,10.000007794777245,0.7044493995215593,1.0
5.7,9.299547735251258,10.000007794777245,0.7004600595259873,1.0
5.8,9.303503284047885,10.000007794777245,0.6965045107293601,1.0
5.9,9.307425422192704,10.000007794777245,0.6925823725845408,1.0
6.0,9.311314524891015,10.000007794777245,0.6886932698862296,1.0
6.1,9.315170962096015,10.000007794777245,0.6848368326812295,1.0
6.2,9.318995098596764,10.000007794777245,0.6810126961804812,1.0
6.3,9.322787294104447,10.000007794777245,0.6772205006727976,1.0
6.4,9.326547903336966,10.000007794777245,0.6734598914402792,1.0
6.5,9.330277276101867,10.000007794777245,0.6697305186753777,1.0
6.6,9.333975757377697,10.000007794777245,0.6660320373995479,1.0
6.7,9.33764368739377,10.000007794777245,0.6623641073834747,1.0
6.8,9.34128140170841,10.000007794777245,0.6587263930688358,1.0
6.9,9.344889231285682,10.000007794777245,0.6551185634915626,1.0
7.0,9.348467502570687,10.000007794777245,0.6515402922065583,1.0
7.1,9.352016537563376,10.000007794777245,0.6479912572138691,1.0
7.2,9.355536653891003,10.000007794777245,0.6444711408862425,1.0
7.3,9.359028164879179,10.000007794777245,0.6409796298980659,1.0
7.4,9.362491379621593,10.000007794777245,0.6375164151556518,1.0
7.5,9.365926603048415,10.000007794777245,0.6340811917288303,1.0
7.6,9.369334135993407,10.000007794777245,0.630673658783838,1.0
7.7,9.372714275259796,10.000007794777245,0.6272935195174494,1.0
7.8,9.376067313684882,10.000007794777245,0.6239404810923634,1.0
7.9,9.379393540203472,10.000007794777245,0.6206142545737734,1.0
8.0,9.382693239910116,10.000007794777245,0.6173145548671286,1.0
8.1,9.385966694120196,10.000007794777245,0.6140411006570492,1.0
8.2,9.38921418042987,10.000007794777245,0.6107936143473758,1.0
8.3,9.392435972774928,10.000007794777245,0.607571822002317,1.0
8.4,9.395632341488568,10.000007794777245,0.6043754532886769,1.0
8.5,9.398803553358075,10.000007794777245,0.6012042414191701,1.0
8.6,9.401949871680507,10.000007794777245,0.5980579230967376,1.0
8.7,9.405071556317338,10.000007794777245,0.5949362384599066,1.0
8.8,9.408168863748106,10.000007794777245,0.5918389310291392,1.0
8.9,9.411242047123098,10.000007794777245,0.588765747654147,1.0
9.0,9.414291356315067,10.000007794777245,0.5857164384621782,1.0
9.1,9.417317037970028,10.000007794777245,0.5826907568072173,1.0
9.2,9.420319335557123,10.000007794777245,0.5796884592201224,1.0
9.3,9.423298489417599,10.000007794777245,0.5767093053596462,1.0
9.4,9.426254736812908,10.000007794777245,0.5737530579643373,1.0
9.5,9.42918831197194,10.000007794777245,0.5708194828053053,1.0
9.6,9.432099446137414,10.000007794777245,0.5679083486398309,1.0
9.7,9.434988367611455,10.000007794777245,0.5650194271657902,1.0
9.8,9.437855301800338,10.000007794777245,0.5621524929769066,1.0
9.9,9.440700471258465,10.000007794777245,0.5593073235187802,1.0
10.0,9.443524095731547,10.000007794777245,0.5564836990456978,1.0
