id,x,y,z,total_volume,current_phase,dt
0.0,0.0,0.0,0.0,523.6,4.0,0
0.0,0.0,0.0,0.0,523.6,4.0,30
0.0,0.0,0.0,0.0,523.6,4.0,60
0.0,0.0,0.0,0.0,523.6,4.0,90
0.0,0.0,0.0,0.0,523.6,4.0,120
0.0,0.0,0.0,0.0,523.6,4.0,150
0.0,0.0,0.0,0.0,523.6,4.0,180
0.0,0.0,0.0,0.0,523.6,4.0,210
0.0,0.0,0.0,0.0,523.6,4.0,240
0.0,0.0,0.0,0.0,523.6,4.0,270
0.0,0.0,0.0,0.0,523.6,4.0,300
0.0,0.0,0.0,0.0,523.6,4.0,330
0.0,0.0,0.0,0.0,523.6,4.0,360
0.0,0.0,0.0,0.0,523.6,4.0,390
0.0,0.0,0.0,0.0,523.6,10.0,420
0.0,0.0,0.0,0.0,565.39667079124,10.0,450
0.0,0.0,0.0,0.0,626.3008544645427,10.0,480
0.0,0.0,0.0,0.0,690.2565848634898,10.0,510
0.0,0.0,0.0,0.0,749.9063323154409,10.0,540
0.0,0.0,0.0,0.0,802.3852808343727,10.0,570
0.0,0.0,0.0,0.0,847.0654665663299,10.0,600
0.0,0.0,0.0,0.0,884.3613557417302,10.0,630
0.0,0.0,0.0,0.0,915.1101857834522,10.0,660
0.0,0.0,0.0,0.0,940.2610812429584,10.0,690
0.0,0.0,0.0,0.0,960.7280603114536,10.0,720
0.0,0.0,0.0,0.0,977.3284050313516,10.0,750
0.0,0.0,0.0,0.0,990.7641489176519,12.0,780
0.0,0.0,0.0,0.0,1001.6242088673634,12.0,810
0.0,0.0,0.0,0.0,1010.395414299891,12.0,840
0.0,0.0,0.0,0.0,1017.4764643816562,12.0,870
0.0,0.0,0.0,0.0,1023.1919239413106,12.0,900
0.0,0.0,0.0,0.0,1027.8049836778093,12.0,930
0.0,0.0,0.0,0.0,1031.528535299942,13.0,960
0.0,0.0,0.0,0.0,1034.534515441836,13.0,990
0.0,0.0,0.0,0.0,1036.9616535622008,13.0,1020
0.0,0.0,0.0,0.0,1038.9218265262066,13.0,1050
0.0,-2.959774811767906,1.0089389200215055,0.5375243099072149,520.2526169690148,4.0,1080
2.0,5.864558376104114,-1.999132221432508,-1.0650616666823411,520.2526169690148,4.0,1080
0.0,-2.981566107341615,1.0163672169765972,0.5414818241980549,520.8922969946934,4.0,1110
2.0,5.886523722969815,-2.0066198496319427,-1.069050790405171,520.8922969946934,4.0,1110
0.0,-2.983225782401053,1.0169329731129741,0.5417832375648586,521.4092676559001,4.0,1140
2.0,5.88818339802924,-2.007185605768318,-1.0693522037719714,521.4092676559001,4.0,1140
0.0,-2.984444242117159,1.0173483261409042,0.5420045218718413,521.8271669310261,4.0,1170
2.0,5.889401857745347,-2.00760095879625,-1.0695734880789551,521.8271669310261,4.0,1170
0.0,-2.985427948419567,1.0176836555620552,0.5421831726425849,522.1650594243722,4.0,1200
2.0,5.890385564047743,-2.0079362882173992,-1.0697521388496993,522.1650594243722,4.0,1200
0.0,-2.9862231755555557,1.0179547355119796,0.5423275937369848,522.4383247895246,4.0,1230
