run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,cell_count,n_timepoints,final_average_uM,final_center_uM
dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,5.0,12044,0.01,1.0,0.1,12,101,9.937962476338225,6.540354502114114
dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,52.300000000000004,12,101,9.891628679891792,5.856145017311394
dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,100.0,12,101,9.879541803745598,7.72203882184182
dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,0.1,12,101,9.976589793763335,6.712974362832597
dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,5.0,12044,0.1,523.0,52.300000000000004,12,101,9.97411248443351,8.0143190465566
dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,12,101,9.973965913915332,9.706593671998538
dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,0.1,12,101,9.895903801628249,7.707742687226057
dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,52.300000000000004,12,101,9.68203731013953,3.256798389855817
dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,12,101,9.681407588266394,3.2450490393815956
dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,12,101,9.897617846913331,7.67780912134473
dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,10.0,12044,0.01,523.0,52.300000000000004,12,101,9.708434089887145,3.5792724587316416
dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,10.0,12044,0.01,1000.0,100.0,12,101,9.707925618193485,3.5690447555773694
dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,10.0,12044,0.1,1.0,0.1,12,101,9.919598189433495,7.337612638136668
dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,10.0,12044,0.1,523.0,52.300000000000004,12,101,9.867761574678669,5.634419125693902
dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,10.0,12044,0.1,1000.0,100.0,12,101,9.867683599683646,5.631866842299747
dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,20.0,12044,0.005,1.0,0.1,12,101,9.888455836943823,8.821793838559977
dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,20.0,12044,0.005,523.0,52.300000000000004,12,101,9.337099576172722,3.349696743059667
dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,20.0,12044,0.005,1000.0,100.0,12,101,9.333855675408659,3.322154371398118
dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,20.0,12044,0.01,1.0,0.1,12,101,9.887943637460797,8.810289178693974
dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,20.0,12044,0.01,523.0,52.300000000000004,12,101,9.352092053708171,3.4449839308202037
dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,20.0,12044,0.01,1000.0,100.0,12,101,9.349056839086755,3.4185501067875093
dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,20.0,12044,0.1,1.0,0.1,12,101,9.880267243191637,8.618086050747367
dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,12,101,9.520671048930492,4.5763575097747005
dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,12,101,9.519339801773995,4.561917129283186
dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,40.0,12044,0.005,1.0,0.1,12,101,9.922185542205598,9.607099005039045
dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,12,101,8.836654085948473,4.457165911260873
dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,40.0,12044,0.005,1000.0,100.0,12,101,8.820753902551303,4.391602833933972
dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,40.0,12044,0.01,1.0,0.1,12,101,9.921576427130073,9.604092152002211
dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,40.0,12044,0.01,523.0,52.300000000000004,12,101,8.841255305164404,4.474744176658653
dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,40.0,12044,0.01,1000.0,100.0,12,101,8.825651421544725,4.4101065242146955
dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,40.0,12044,0.1,1.0,0.1,12,101,9.910786368894405,9.550427093272212
dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,12,101,8.9103551881683,4.74126862372985
dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,40.0,12044,0.1,1000.0,100.0,12,101,8.89873169626165,4.690125710063278
