0	 -4.5, 0, 00	 4.5, 0, 0
1	 -4.92263, 0, 01	 5.00793, 0, 0
2	 -4.94126, 0, 02	 5.02917, 0, 0
3	 -4.94315, 0, 03	 5.03126, 0, 0
4	 -4.94339, 0, 04	 5.03153, 0, 0
5	 -4.94342, 0, 05	 5.03157, 0, 0
6	 -4.94343, 0, 06	 5.03157, 0, 0
7	 -4.94343, 0, 07	 5.03157, 0, 0
8	 -4.94343, 0, 08	 5.03157, 0, 0
9	 -4.94343, 0, 09	 5.03157, 0, 0
10	 -4.94343, 0, 010	 5.03157, 0, 0
11	 -4.94343, 0, 011	 5.03157, 0, 0
12	 -4.94343, 0, 012	 5.03157, 0, 0
13	 -4.94343, 0, 013	 5.03157, 0, 0
14	 -4.94343, 0, 014	 5.03157, 0, 0
15	 -4.94343, 0, 015	 5.03157, 0, 0
16	 -4.94343, 0, 016	 5.03157, 0, 0
17	 -4.94343, 0, 017	 5.03157, 0, 0
18	 -4.94343, 0, 018	 5.03157, 0, 0
19	 -4.94343, 0, 019	 5.03157, 0, 0
20	 -4.94343, 0, 020	 5.03157, 0, 0
21	 -4.94343, 0, 021	 5.03157, 0, 0
22	 -4.94343, 0, 022	 5.03157, 0, 0
23	 -4.94343, 0, 023	 5.03157, 0, 0
24	 -4.94343, 0, 024	 5.03157, 0, 0
25	 -4.94343, 0, 025	 5.03157, 0, 0
26	 -4.94343, 0, 026	 5.03157, 0, 0
27	 -4.94343, 0, 027	 5.03157, 0, 0
28	 -4.94343, 0, 028	 5.03157, 0, 0
29	 -4.94343, 0, 029	 5.03157, 0, 0
