time_s,velocity_m_per_s,velocity_um_per_s,distance_m,distance_um
0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0
3.0,1.6666666666666663e-10,0.00016666666666666663,0.0,0.0
3.2,1.6666666666666663e-10,0.00016666666666666663,3.3333333333333354e-11,3.3333333333333355e-05
3.4000000000000004,1.6666666666666663e-10,0.00016666666666666663,6.666666666666671e-11,6.666666666666671e-05
3.6,1.6666666666666663e-10,0.00016666666666666663,9.999999999999999e-11,9.999999999999999e-05
3.8000000000000003,1.6666666666666663e-10,0.00016666666666666663,1.3333333333333336e-10,0.00013333333333333337
4.0,1.6666666666666663e-10,0.00016666666666666663,1.6666666666666663e-10,0.00016666666666666663
4.2,1.6666666666666663e-10,0.00016666666666666663,1.9999999999999998e-10,0.00019999999999999998
4.4,1.6666666666666663e-10,0.00016666666666666663,2.3333333333333335e-10,0.00023333333333333336
4.6000000000000005,1.6666666666666663e-10,0.00016666666666666663,2.6666666666666673e-10,0.00026666666666666673
4.800000000000001,1.6666666666666663e-10,0.00016666666666666663,3.0000000000000005e-10,0.00030000000000000003
5.0,1.6666666666666663e-10,0.00016666666666666663,3.3333333333333327e-10,0.00033333333333333327
5.2,1.6666666666666663e-10,0.00016666666666666663,3.6666666666666664e-10,0.0003666666666666666
5.4,1.6666666666666663e-10,0.00016666666666666663,3.9999999999999996e-10,0.00039999999999999996
5.6000000000000005,1.6666666666666663e-10,0.00016666666666666663,4.3333333333333334e-10,0.0004333333333333333
5.800000000000001,1.6666666666666663e-10,0.00016666666666666663,4.666666666666667e-10,0.0004666666666666667
6.0,1.6666666666666663e-10,0.00016666666666666663,4.999999999999999e-10,0.0004999999999999999
6.2,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
6.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
6.6000000000000005,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
6.800000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
7.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
7.2,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
7.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
7.6000000000000005,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
7.800000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
8.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
8.200000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
8.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
8.6,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
8.8,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
9.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
9.200000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
9.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
9.600000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
9.8,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
10.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
10.200000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
10.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
10.600000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
10.8,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
11.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
11.200000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
11.4,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
11.600000000000001,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
11.8,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
12.0,0.0,0.0,4.999999999999999e-10,0.0004999999999999999
