tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,time_min,average_uM,center_uM
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.0,10.0,10.0
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.1,9.741221554458066,9.056842931973389
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.2,9.544486497994948,8.234914118578706
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.3,9.393768682570242,7.5376985177018785
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.4,9.277617056032012,6.957699685177755
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.5,9.187693352806795,6.482058571392053
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.6,9.117829624346443,6.096101018643922
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.7,9.063404183946703,5.785374356632648
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.8,9.020917777235846,5.536686173320103
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,0.9,8.987698928476886,5.338531164809727
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.0,8.961694726479003,5.181168443546427
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.1,8.94131948856192,5.0565161439333615
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.2,8.925343523866678,4.9579637693953424
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.3,8.912810259376167,4.880159506006269
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.4,8.902973803163606,4.8188029136204955
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.5,8.89525147526999,4.770457452797672
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.6,8.889187453737907,4.732388224762975
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.7,8.884424771388566,4.702425414489122
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.8,8.880683646636854,4.678851515971508
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,1.9,8.877744655912176,4.660309417916422
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,2.0,8.875435629787399,4.645728193993074
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,2.1,8.873621427019948,4.63426359646353
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,2.2,8.8721959413292,4.6252505798209995
PhysiCell,PhysiCell_dx_40um,40.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=40 um,2.3,8.871075845526933,4.618165563774287
