time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.998915043159013,0.0010377534712853612,9.999999999999993,5.000518876735639,5.00051887673564,5.000518876735639,6.962239303469643
0.2,9.99786595492063,0.0009995231350992076,9.740846947140357,4.870923235137728,4.870923235137727,4.870923235137728,6.8154720453937765
0.3,9.996825858955233,0.00099282538710321,9.677203391890442,4.839098108638773,4.839098108638773,4.839098108638773,6.774343689418201
0.4,9.995794266104129,0.0009898126268645762,9.648070762455033,4.8245302875409495,4.8245302875409495,4.8245302875409495,6.7547670879212935
0.5,9.994774306581286,0.0009880279945875473,9.630760230850166,4.815874129422377,4.815874129422377,4.815874129422377,6.742962836358497
0.6,9.99377042229557,0.0009868181133200992,9.619009667257947,4.8099982426856345,4.8099982426856345,4.8099982426856345,6.73489274373953
0.7,9.992780240275332,0.0009859295660421827,9.610373633597934,4.805679781581989,4.80567978158199,4.805679781581989,7.792597152118425
0.8,9.991813644506284,0.0009914273651196344,9.64561529334475,4.823303360354935,4.823303360354935,4.823303360354935,7.817307719587821
0.9,9.990875949891617,0.0009914074335875152,9.645277758369335,4.823134582901462,4.823134582901462,4.823134582901462,7.816462143567284
1.0,9.989970596841205,0.0009910604655523946,9.641915468732474,4.821453264599014,4.821453264599015,4.821453264599014,7.813675506881032
1.1,9.989099993006189,0.0009907078853005772,9.638494690849834,4.819742699367568,4.819742699367568,4.819742699367568,7.8109051910554435
1.2,9.98826571520075,0.0009903876440695003,9.635385793446263,4.818188090545167,4.818188090545167,4.818188090545167,7.808396600618796
1.3,9.98746862427982,0.0009901017683122452,9.632609669067094,4.816799885417703,4.816799885417703,4.816799885417703,7.8061579556589695
1.4,9.98670898218125,0.0009898464141219047,9.630129444366835,4.815559645390479,4.815559645390479,4.815559645390479,7.804157836551198
1.5,9.985986567737056,0.0009896171924107635,9.627902704232367,4.81444616071239,4.81444616071239,4.81444616071239,7.8023617439302795
