id,total_volume,current_phase,dt,elapsed_time_in_phase
0.0,523.6,4.0,0.0,0.0
0.0,523.6,4.0,10.0,11.999999999999917
0.0,523.6,4.0,20.0,24.000000000000014
0.0,523.6,4.0,30.0,30.000000000000952
0.0,523.6,4.0,40.0,42.00000000000141
0.0,523.6,4.0,50.0,53.99999999999902
0.0,523.6,4.0,60.0,59.999999999997826
0.0,523.6,4.0,70.0,71.99999999999686
0.0,523.6,4.0,80.0,84.000000000003
0.0,523.6,4.0,90.0,90.00000000000607
0.0,523.6,4.0,100.0,102.00000000001221
0.0,523.6,4.0,110.0,114.00000000001835
0.0,523.6,4.0,120.0,120.00000000002142
0.0,523.6,4.0,130.0,132.00000000002757
0.0,523.6,4.0,140.0,144.0000000000195
0.0,523.6,4.0,150.0,150.00000000001404
0.0,523.6,4.0,160.0,162.00000000000313
0.0,523.6,4.0,170.0,173.9999999999922
0.0,523.6,4.0,180.0,179.99999999998676
0.0,523.6,4.0,190.0,191.99999999997584
0.0,523.6,4.0,200.0,203.99999999996493
0.0,523.6,4.0,210.0,209.99999999995947
0.0,523.6,4.0,220.0,221.99999999994856
0.0,523.6,4.0,230.0,233.99999999993764
0.0,523.6,4.0,240.0,239.9999999999322
0.0,523.6,4.0,250.0,251.99999999992127
0.0,523.6,4.0,260.0,263.9999999999104
0.0,523.6,4.0,270.0,269.99999999990496
0.0,523.6,4.0,280.0,281.99999999989404
0.0,523.6,4.0,290.0,293.99999999988313
0.0,523.6,4.0,300.0,299.9999999998777
0.0,523.6,4.0,310.0,311.99999999986676
0.0,523.6,4.0,320.0,323.99999999985585
0.0,523.6,4.0,330.0,329.9999999998504
0.0,523.6,4.0,340.0,341.9999999998395
0.0,523.6,4.0,350.0,353.99999999982856
0.0,523.6,4.0,360.0,359.9999999998231
0.0,523.6,4.0,370.0,371.9999999998122
0.0,523.6,4.0,380.0,383.9999999998013
0.0,523.6,4.0,390.0,389.9999999997958
0.0,523.6,4.0,400.0,401.9999999997849
0.0,523.6,4.0,410.0,413.999999999774
0.0,523.6,4.0,420.0,419.99999999976853
0.0,523.6,4.0,430.0,431.9999999997576
0.0,523.6,4.0,440.0,443.9999999997467
0.0,523.6,4.0,450.0,449.99999999974125
0.0,523.6,4.0,460.0,461.99999999973033
0.0,523.6,4.0,470.0,473.9999999997194
0.0,523.6,4.0,480.0,479.99999999971396
0.0,523.6,10.0,490.0,0.0
0.0,531.793489149992,10.0,500.0,11.999999999989086
0.0,536.9045495505861,10.0,510.0,17.99999999998363
0.0,548.7705981354097,10.0,520.0,29.999999999972772
0.0,562.3900503880401,10.0,530.0,41.99999999996186
0.0,569.7138417964704,10.0,540.0,47.9999999999564
0.0,585.1455484961976,10.0,550.0,59.99999999994549
0.0,601.3467081642157,10.0,560.0,71.99999999993457
0.0,609.6461800333535,10.0,570.0,77.99999999992912
0.0,626.4919061424827,10.0,580.0,89.9999999999182
0.0,643.4977653671226,10.0,590.0,101.99999999990729
0.0,652.0064989297226,10.0,600.0,107.99999999990183
0.0,668.9455964332972,10.0,610.0,119.99999999989092
0.0,685.6813645688137,10.0,620.0,131.99999999988
0.0,693.9418429380386,10.0,630.0,137.99999999987455
0.0,710.1976494449516,10.0,640.0,149.99999999986363
0.0,726.0464047762912,10.0,650.0,161.99999999985272
0.0,733.801851287253,10.0,660.0,167.99999999984726
0.0,748.9499333870307,10.0,670.0,179.99999999983635
0.0,763.5896010120299,10.0,680.0,191.99999999982543
0.0,770.7119030280751,10.0,690.0,197.99999999981998
0.0,784.5524370858118,10.0,700.0,209.99999999980906
0.0,797.8474977329922,10.0,710.0,221.99999999979815
0.0,804.2894036649152,10.0,720.0,227.9999999997927
0.0,816.7626773989667,10.0,730.0,239.99999999978178
0.0,828.6926454795439,10.0,740.0,251.99999999977086
0.0,834.456258946662,10.0,750.0,257.9999999997654
0.0,845.5871055802758,10.0,760.0,269.9999999997545
0.0,856.1996544223011,10.0,770.0,281.9999999997436
0.0,861.3158440206934,10.0,780.0,287.9999999997381
0.0,871.1774386799417,10.0,790.0,299.9999999997272
0.0,880.5579995485987,12.0,800.0,5.999999999994543
0.0,885.0730968725233,12.0,810.0,11.999999999989086
0.0,893.7636667146367,12.0,820.0,23.999999999978172
0.0,902.0159971651408,12.0,830.0,35.99999999996726
0.0,905.9833412323009,12.0,840.0,41.9999999999618
0.0,913.6114502484586,12.0,850.0,53.99999999995089
0.0,920.8454704156494,12.0,860.0,65.99999999993997
0.0,924.3201573954057,12.0,870.0,71.99999999993452
0.0,930.9956513968868,12.0,880.0,83.9999999999236
0.0,937.3200641339597,12.0,890.0,95.99999999991269
0.0,940.3558017683449,12.0,900.0,101.99999999990723
0.0,946.184460389385,12.0,910.0,113.99999999989632
0.0,951.7024923426033,13.0,920.0,5.999999999994543
0.0,954.3498229494794,13.0,930.0,11.999999999989086
0.0,959.4304136050691,13.0,940.0,23.999999999978172
0.0,964.2375676807665,13.0,950.0,35.99999999996726
0.0,966.5429691645729,13.0,960.0,41.9999999999618
0.0,970.9658343097924,13.0,970.0,53.99999999995089
0.0,975.1489163923409,13.0,980.0,65.99999999993997
0.0,977.154455848181,13.0,990.0,71.99999999993452
0.0,981.0010582884446,13.0,1000.0,83.9999999999236
0.0,984.6379912530538,13.0,1010.0,95.99999999991269
0.0,986.3813166388748,13.0,1020.0,101.99999999990723
0.0,989.724364503722,13.0,1030.0,113.99999999989632
0.0,992.8844702731296,13.0,1040.0,125.9999999998854
0.0,994.3989998974398,13.0,1050.0,131.99999999987995
0.0,997.3029046372335,13.0,1060.0,143.99999999986903
0.0,1000.0474471254294,13.0,1070.0,155.99999999985812
0.0,1001.3626662907055,13.0,1080.0,161.99999999985266
0.0,1003.884174927989,13.0,1090.0,173.99999999984175
0.0,503.13351567877976,4.0,1100.0,5.999999999994543
2.0,503.13351567877976,4.0,1100.0,5.999999999994543
0.0,503.70441923938597,4.0,1110.0,11.999999999989086
2.0,503.70441923938597,4.0,1110.0,11.999999999989086
0.0,504.798869848702,4.0,1120.0,23.999999999978172
2.0,504.798869848702,4.0,1120.0,23.999999999978172
0.0,505.8330586190959,4.0,1130.0,35.99999999996726
2.0,505.8330586190959,4.0,1130.0,35.99999999996726
0.0,506.32859178503867,4.0,1140.0,41.9999999999618
2.0,506.32859178503867,4.0,1140.0,41.9999999999618
0.0,507.2785128741736,4.0,1150.0,53.99999999995089
2.0,507.2785128741736,4.0,1150.0,53.99999999995089
0.0,508.176086493163,4.0,1160.0,65.99999999993997
2.0,508.176086493163,4.0,1160.0,65.99999999993997
0.0,508.60614720978595,4.0,1170.0,71.99999999993452
2.0,508.60614720978595,4.0,1170.0,71.99999999993452
0.0,509.4305394744502,4.0,1180.0,83.9999999999236
2.0,509.4305394744502,4.0,1180.0,83.9999999999236
0.0,510.2094814712261,4.0,1190.0,95.99999999991269
2.0,510.2094814712261,4.0,1190.0,95.99999999991269
0.0,510.58269582384344,4.0,1200.0,101.99999999990723
2.0,510.58269582384344,4.0,1200.0,101.99999999990723
0.0,511.29811061779236,4.0,1210.0,113.99999999989632
2.0,511.29811061779236,4.0,1210.0,113.99999999989632
0.0,511.97407730822096,4.0,1220.0,125.9999999998854
2.0,511.97407730822096,4.0,1220.0,125.9999999998854
0.0,512.2979521481587,4.0,1230.0,131.99999999987995
2.0,512.2979521481587,4.0,1230.0,131.99999999987995
0.0,512.918788199951,4.0,1240.0,143.99999999986903
2.0,512.918788199951,4.0,1240.0,143.99999999986903
0.0,513.5053938306584,4.0,1250.0,155.99999999985812
2.0,513.5053938306584,4.0,1250.0,155.99999999985812
0.0,513.786454969263,4.0,1260.0,161.99999999985266
2.0,513.786454969263,4.0,1260.0,161.99999999985266
0.0,514.3252260045242,4.0,1270.0,173.99999999984175
2.0,514.3252260045242,4.0,1270.0,173.99999999984175
0.0,514.8342987480883,4.0,1280.0,185.99999999983083
2.0,514.8342987480883,4.0,1280.0,185.99999999983083
0.0,515.0782146366645,4.0,1290.0,191.99999999982538
