center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12,10.0,96,10.0,10.0,10.0,10.0,0.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
8.691495371778714,10.0,9.345747685889357,9.345747685889357,9.345747685889357,9.602466352723889,9.990913162304018,9.563831790592905,12,9.863697434560281,96,9.563831790592905,9.911710109106563,9.563831790592905,9.563831790592905,0.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
8.151044933774918,9.833385026478062,8.99221498012649,8.99221498012649,8.99221498012649,9.378806525279822,9.982345541914052,9.323033010136546,12,9.760366690271907,96,9.323033010136548,9.846812859306398,9.323033010136548,9.323033010136548,0.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.900299930988141,9.680964909444304,8.790632420216223,8.790632420216223,8.790632420216223,9.238646800351566,9.9741284250977,9.171323052219078,12,9.680573424442395,96,9.17132305221908,9.79600378271416,9.17132305221908,9.17132305221908,0.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.762570386033783,9.565900677594275,8.664235531814029,8.664235531814027,8.664235531814029,9.143045890933585,9.966262807547025,9.06801336854442,12,9.61778658013825,96,9.06801336854442,9.754764137067045,9.06801336854442,9.06801336854442,0.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.675537293281318,9.480647784719311,8.578092539000314,8.578092539000314,8.578092539000314,9.073548483026409,9.958791326691898,8.993400540489255,12,9.567408194095126,96,8.993400540489255,9.720474312719444,8.993400540489255,8.993400540489255,0.5,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.614829029695,9.416105365694687,8.515467197694843,8.515467197694845,8.515467197694843,9.020555486783097,9.951756952973675,8.936955015812064,12,9.52622571843901,96,8.936955015812066,9.691461339352815,8.936955015812066,8.936955015812066,0.6,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.569553596650853,9.3657872273818,8.467670412016325,8.467670412016327,8.467670412016325,8.978658390572969,9.945189432159042,8.892663908985353,12,9.491991331751175,96,8.892663908985353,9.666588150664365,8.892663908985353,8.892663908985353,0.7,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.534196273612725,9.325461609067716,8.42982894134022,8.42982894134022,8.42982894134022,8.944601692815295,9.939102533268214,8.8568971171066,12,9.463116908716712,96,8.856897117106598,9.645046736619282,8.856897117106598,8.856897117106598,0.8,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.505663272737023,9.292379673091876,8.39902147291445,8.399021472914448,8.39902147291445,8.91631645280745,9.93349565344879,8.827354169040412,12,9.438463632007029,96,8.827354169040412,9.626242717667585,8.827354169040412,8.827354169040412,0.9,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.482074695945794,9.264718204093713,8.373396450019754,8.373396450019753,8.373396450019754,8.892426988756931,9.92835690234996,8.802514087940013,12,9.417200265385802,96,8.802514087940011,9.60972615201826,8.802514087940011,8.802514087940011,1.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.462215525219527,9.24123311525784,8.351724320238684,8.351724320238684,8.351724320238684,8.871982762202558,9.923666342938615,8.781333153586706,12,9.39870833120574,96,8.781333153586703,9.595147890893893,8.781333153586703,8.781333153586703,1.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.445261239839537,9.22105003796055,8.333155638900045,8.333155638900044,8.333155638900045,8.854304726426076,9.919398831709811,8.76307115519577,12,9.382518500694902,96,8.763071155195771,9.582231004845223,8.763071155195771,8.763071155195771,1.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.430629597573833,9.203536720990604,8.31708315928222,8.317083159282218,8.31708315928222,8.838893264055622,9.915526284562217,8.747187408394648,12,9.36826758787223,96,8.74718740839465,9.570751536397616,8.74718740839465,8.74718740839465,1.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.417895407929268,9.18822364979404,8.303059528861654,8.303059528861654,8.303059528861654,8.825370921115692,9.912019375096307,8.733276290179164,12,9.355669166614833,96,8.733276290179164,9.560525231772049,8.733276290179164,8.733276290179164,1.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.406739019434168,9.174753449674709,8.290746234554438,8.290746234554438,8.290746234554438,8.813445638331059,9.908848745240613,8.72102602722361,12,9.344493256635777,96,8.72102602722361,9.551398210043958,8.72102602722361,8.72102602722361,1.5,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.396913907628411,9.162847848969859,8.279880878299135,8.279880878299135,8.279880878299135,8.802886494922497,9.905985827295595,8.710191636268982,12,9.334552102869097,96,8.71019163626898,9.543240280789071,8.71019163626898,8.71019163626898,1.6,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
7.3882255983304095,9.152285617372913,8.27025560785166,8.27025560785166,8.27025560785166,8.793507326615316,9.903403371040293,8.700576735791625,12,9.325690091426663,96,8.700576735791627,9.535940074731082,8.700576735791627,8.700576735791627,1.7,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1
