time_min,distance_um,radius_sum_um,overlap_um
0.0,9.0,10.000007794777245,1.000007794777245
0.1,8.998068817250818,10.000007794777245,1.001938977526427
0.2,8.996810820577847,10.000007794777245,1.0031969741993976
0.3,8.995562209318472,10.000007794777245,1.0044455854587735
0.4,8.994326269963784,10.000007794777245,1.0056815248134612
0.5,8.993102864408895,10.000007794777245,1.00690493036835
0.6,8.99189187313913,10.000007794777245,1.0081159216381153
0.7,8.990693177530064,10.000007794777245,1.0093146172471812
0.8,8.989506659934056,10.000007794777245,1.0105011348431887
0.9,8.988332203675228,10.000007794777245,1.0116755911020174
1.0,8.987169693044857,10.000007794777245,1.0128381017323882
1.1,8.986019013296705,10.000007794777245,1.0139887814805402
1.2,8.984880050642282,10.000007794777245,1.015127744134963
1.3,8.983752692246048,10.000007794777245,1.016255102531197
1.4,8.982636826220572,10.000007794777245,1.0173709685566728
1.5,8.981532341621625,10.000007794777245,1.0184754531556202
1.6,8.98043912844323,10.000007794777245,1.019568666334015
1.7,8.979357077612663,10.000007794777245,1.0206507171645818
1.8,8.978286080985407,10.000007794777245,1.0217217137918375
1.9,8.977226031340061,10.000007794777245,1.0227817634371839
2.0,8.976176822373217,10.000007794777245,1.0238309724040278
2.1,8.975138348694287,10.000007794777245,1.024869446082958
2.2,8.974110505820299,10.000007794777245,1.025897288956946
2.3,8.973093190170664,10.000007794777245,1.0269146046065813
2.4,8.9720862990619,10.000007794777245,1.0279214957153453
2.5,8.971089730702328,10.000007794777245,1.028918064074917
2.6,8.970103384186752,10.000007794777245,1.0299044105904933
2.7,8.969127159491094,10.000007794777245,1.0308806352861506
2.8,8.968160957467024,10.000007794777245,1.031846837310221
2.9,8.967204679836541,10.000007794777245,1.0328031149407035
3.0,8.966258229186566,10.000007794777245,1.0337495655906785
3.1,8.965321508963491,10.000007794777245,1.0346862858137538
3.2,8.964394423467716,10.000007794777245,1.0356133713095286
3.3,8.963476877848176,10.000007794777245,1.0365309169290686
3.4,8.962568778096848,10.000007794777245,1.0374390166803966
3.5,8.961670031043253,10.000007794777245,1.038337763733992
3.6,8.960780544348934,10.000007794777245,1.0392272504283113
3.7,8.959900226501933,10.000007794777245,1.040107568275312
3.8,8.95902898681126,10.000007794777245,1.0409788079659847
3.9,8.95816673540135,10.000007794777245,1.0418410593758942
4.0,8.957313383206523,10.000007794777245,1.0426944115707215
4.1,8.956468841965425,10.000007794777245,1.0435389528118204
4.2,8.955633024215482,10.000007794777245,1.0443747705617632
4.3,8.954805843287344,10.000007794777245,1.0452019514899007
4.4,8.953987213299328,10.000007794777245,1.0460205814779169
4.5,8.953177049151861,10.000007794777245,1.0468307456253836
4.6,8.952375266521933,10.000007794777245,1.0476325282553116
4.7,8.95158178185754,10.000007794777245,1.0484260129197054
4.8,8.950796512372142,10.000007794777245,1.0492112824051034
4.9,8.950019376039116,10.000007794777245,1.0499884187381294
5.0,8.949250291586228,10.000007794777245,1.0507575031910168
5.1,8.9484891784901,10.000007794777245,1.0515186162871455
5.2,8.947735956970684,10.000007794777245,1.0522718378065612
5.3,8.946990547985763,10.000007794777245,1.053017246791482
5.4,8.946252873225433,10.000007794777245,1.0537549215518123
5.5,8.945522855106619,10.000007794777245,1.0544849396706262
5.6,8.944800416767597,10.000007794777245,1.0552073780096478
5.7,8.94408548206252,10.000007794777245,1.0559223127147241
5.8,8.943377975555965,10.000007794777245,1.0566298192212802
5.9,8.942677822517487,10.000007794777245,1.0573299722597582
6.0,8.941984948916199,10.000007794777245,1.0580228458610463
6.1,8.941299281415352,10.000007794777245,1.0587085133618928
6.2,8.940620747366948,10.000007794777245,1.059387047410297
6.3,8.939949274806347,10.000007794777245,1.060058519970898
6.4,8.939284792446912,10.000007794777245,1.0607230023303327
6.5,8.938627229674669,10.000007794777245,1.061380565102576
