0	0 0 0 0.9 0 0 
0.1	-0.00526803 0 0 0.905268 0 0 
0.2	-0.00995412 0 0 0.909954 0 0 
0.3	-0.0141282 0 0 0.914128 0 0 
0.4	-0.0178505 0 0 0.917851 0 0 
0.5	-0.0211735 0 0 0.921174 0 0 
0.6	-0.0241426 0 0 0.924143 0 0 
0.7	-0.0267976 0 0 0.926798 0 0 
0.8	-0.0291734 0 0 0.929173 0 0 
0.9	-0.0313007 0 0 0.931301 0 0 
1	-0.0332065 0 0 0.933206 0 0 
1.1	-0.0349147 0 0 0.934915 0 0 
1.2	-0.0364464 0 0 0.936446 0 0 
1.3	-0.0378205 0 0 0.93782 0 0 
1.4	-0.0390535 0 0 0.939054 0 0 
1.5	-0.0401603 0 0 0.94016 0 0 
1.6	-0.0411541 0 0 0.941154 0 0 
1.7	-0.0420466 0 0 0.942047 0 0 
1.8	-0.0428484 0 0 0.942848 0 0 
1.9	-0.0435687 0 0 0.943569 0 0 
2	-0.044216 0 0 0.944216 0 0 
2.1	-0.0447978 0 0 0.944798 0 0 
2.2	-0.0453207 0 0 0.945321 0 0 
2.3	-0.0457908 0 0 0.945791 0 0 
2.4	-0.0462135 0 0 0.946214 0 0 
2.5	-0.0465936 0 0 0.946594 0 0 
2.6	-0.0469354 0 0 0.946935 0 0 
2.7	-0.0472428 0 0 0.947243 0 0 
2.8	-0.0475193 0 0 0.947519 0 0 
2.9	-0.047768 0 0 0.947768 0 0 
3	-0.0479917 0 0 0.947992 0 0 
3.1	-0.0481929 0 0 0.948193 0 0 
3.2	-0.048374 0 0 0.948374 0 0 
3.3	-0.0485368 0 0 0.948537 0 0 
3.4	-0.0486834 0 0 0.948683 0 0 
3.5	-0.0488152 0 0 0.948815 0 0 
3.6	-0.0489338 0 0 0.948934 0 0 
3.7	-0.0490406 0 0 0.949041 0 0 
3.8	-0.0491366 0 0 0.949137 0 0 
3.9	-0.049223 0 0 0.949223 0 0 
4	-0.0493008 0 0 0.949301 0 0 
4.1	-0.0493707 0 0 0.949371 0 0 
4.2	-0.0494337 0 0 0.949434 0 0 
4.3	-0.0494904 0 0 0.94949 0 0 
4.4	-0.0495414 0 0 0.949541 0 0 
4.5	-0.0495872 0 0 0.949587 0 0 
4.6	-0.0496285 0 0 0.949629 0 0 
4.7	-0.0496657 0 0 0.949666 0 0 
4.8	-0.0496991 0 0 0.949699 0 0 
4.9	-0.0497292 0 0 0.949729 0 0 
5	-0.0497563 0 0 0.949756 0 0 
5.1	-0.0497807 0 0 0.949781 0 0 
5.2	-0.0498026 0 0 0.949803 0 0 
5.3	-0.0498224 0 0 0.949822 0 0 
5.4	-0.0498401 0 0 0.94984 0 0 
5.5	-0.0498561 0 0 0.949856 0 0 
5.6	-0.0498705 0 0 0.949871 0 0 
5.7	-0.0498835 0 0 0.949883 0 0 
5.8	-0.0498951 0 0 0.949895 0 0 
5.9	-0.0499056 0 0 0.949906 0 0 
6	-0.049915 0 0 0.949915 0 0 
6.1	-0.0499235 0 0 0.949924 0 0 
6.2	-0.0499312 0 0 0.949931 0 0 
6.3	-0.0499381 0 0 0.949938 0 0 
6.4	-0.0499443 0 0 0.949944 0 0 
6.5	-0.0499498 0 0 0.94995 0 0 
6.6	-0.0499549 0 0 0.949955 0 0 
6.7	-0.0499594 0 0 0.949959 0 0 
6.8	-0.0499634 0 0 0.949963 0 0 
6.9	-0.0499671 0 0 0.949967 0 0 
7	-0.0499704 0 0 0.94997 0 0 
7.1	-0.0499733 0 0 0.949973 0 0 
7.2	-0.049976 0 0 0.949976 0 0 
7.3	-0.0499784 0 0 0.949978 0 0 
7.4	-0.0499806 0 0 0.949981 0 0 
7.5	-0.0499825 0 0 0.949983 0 0 
7.6	-0.0499843 0 0 0.949984 0 0 
7.7	-0.0499858 0 0 0.949986 0 0 
7.8	-0.0499873 0 0 0.949987 0 0 
7.9	-0.0499885 0 0 0.949989 0 0 
8	-0.0499897 0 0 0.94999 0 0 
8.1	-0.0499907 0 0 0.949991 0 0 
8.2	-0.0499916 0 0 0.949992 0 0 
8.3	-0.0499925 0 0 0.949992 0 0 
8.4	-0.0499932 0 0 0.949993 0 0 
8.5	-0.0499939 0 0 0.949994 0 0 
8.6	-0.0499945 0 0 0.949995 0 0 
8.7	-0.0499951 0 0 0.949995 0 0 
8.8	-0.0499956 0 0 0.949996 0 0 
8.9	-0.049996 0 0 0.949996 0 0 
9	-0.0499964 0 0 0.949996 0 0 
9.1	-0.0499968 0 0 0.949997 0 0 
9.2	-0.0499971 0 0 0.949997 0 0 
9.3	-0.0499974 0 0 0.949997 0 0 
9.4	-0.0499976 0 0 0.949998 0 0 
9.5	-0.0499979 0 0 0.949998 0 0 
9.6	-0.0499981 0 0 0.949998 0 0 
9.7	-0.0499983 0 0 0.949998 0 0 
9.8	-0.0499984 0 0 0.949998 0 0 
9.9	-0.0499986 0 0 0.949999 0 0 
10	-0.0499987 0 0 0.949999 0 0 
