115: 252,282,292,228,248
116: 251,259,285,300,75
117: 2,331,170,297,59,204,242
118: 316,351,390,164,167,18,299
119: 236,254,127,222,244,105
120: 44,342,0,81,80
121: 98,221,218,297
122: 322,77,220
123: 228,377,282,47
124: 212,48,233,223,224,241,126
125: 42,314,347,28,185,239
126: 224,325,202,233,62,124,257
127: 145,43,309,290,236,11,119
128: 89,237,243,269
129: 35,97,161,211,246,303
130: 39,344,132
131: 239,3,324
132: 338,69,130
133: 168,283,72
134: 163,213,394
135: 248,283,4,343
136: 270,58,215
137: 301,97,267
138: 246,216,25,142,353
139: 158,237,23,351,390,29,313
140: 92,206,325,108,212,60
141: 268,329,99
142: 25,293,353,138
143: 231,275,400,114,79
144: 7,354,63
145: 127,284,309,26
146: 52,201,224,241,339,401,380
147: 360,242,227,295,86
148: 19,94,152,301,357,285,300
149: 96,112,245,321
150: 215,258,280
151: 106,340,277,183,83,305
152: 219,301,19,334,148
153: 388,207,264,91,23
154: 279,378,95,286
155: 49,306,6,219,392,334,286
156: 355,249
157: 180,345,54
158: 65,317,139,342,390,162
159: 266,270,45,272,189
160: 75,95,286,352
161: 129,68,232,303,50,374
162: 317,158,210,27,381
163: 53,240,134
164: 245,311,327,10,118,316
165: 14,358,85
166: 95,260,262
167: 118,316,11,346
168: 133,250,283,72,175,248
169: 323,366,298,308
170: 117,331,190,265,310,16
171: 261,99,398
172: 326,385,1,40
173: 381,330,71,65
174: 389,78,101,278,288
175: 72,332,168
176: 356,13,302
177: 196,333,84,379,56,278
178: 361,369
179: 366,107,70,298,328
180: 157,336,304,54,363
181: 98,221,302,68,232
182: 46,396,56
183: 304,274,235,151,305
184: 111,364,264,91,388,106
185: 125,42,365,287
186: 265,20,362,6,227
187: 63,40,350,387,197
188: 321,383,348
189: 159,62,45,386,325
190: 170,265,310,16
191: 373,92,325,359
192: 315,24,371
193: 307,382,88
194: 368,67,370
195: 46,221,341,391,396
196: 177,375,333,380
197: 9,376,395,187
198: 59,84,384,367
199: 399,255,394,76
200: 275,378,400,102
201: 146,224,241,401,48,333,380
202: 48,272,38,224,386,126
203: 22,111,364,208
204: 59,242,117,297
205: 381,235,330,102,27
206: 140,92,373,256
207: 229,44,103,153
208: 22,210,111,364,81,203,264
209: 70,346,351,29
210: 208,102,27,317,372,162,381
211: 35,129
212: 108,124,140,241
213: 134,292,57
214: 358,259,75,109
215: 150,58,136
216: 138,94,246,25,285,353
217: 0
218: 297,98,121
219: 152,331,392,334,155
220: 323,226,77,122
221: 195,181,98,121,302
222: 244,34,119,254
223: 233,258,40,48,280,124
224: 38,146,201,241,126,202,48,124
225: 87,104
226: 3,77,220
227: 306,362,147,186,20,295
228: 123,240,248,115,282
229: 238,207,87,103
230: 18,44,41,103
231: 30,143,275,362,114,15
232: 97,161,68,181
233: 223,48,280,126,124
234: 33,18,112
235: 205,83,243,183,89,305
236: 119,127,43
237: 139,29,128,89
238: 273,229,109,80
239: 131,125,3,324
240: 53,163,228,36,319
241: 146,201,224,382,212,124,12
242: 59,204,326,384,117,147
243: 42,235,269,330,347,128,89
244: 222,8,119,320,105
245: 96,112,149,164,318,327,290,309
246: 35,129,138,94,216,25
247: 106,64,336
248: 72,228,135,168,283,115
249: 57,156,24
250: 55,168,263,356
251: 116,368,259,285
252: 115,292,69,355,343
253: 88,294,110,86
254: 119,222,34,105
255: 7,399,199
256: 206,60
257: 62,126,60
258: 150,223,385,40,280
259: 116,251,281,293,75,214
260: 166,49
261: 171
262: 95,166,352,32,81,372
263: 50,55,250,374
264: 111,364,184,208,91,277,388,153
265: 170,186,190,16
266: 159,399,73,76
267: 97,137
268: 141,8,105
269: 42,243,347,128,31
270: 159,62,136,58,272
271: 5,113
272: 202,58,73,387,159,270
273: 14,104,238,87
274: 183,304,37
275: 30,231,143,200,378,114
276: 52
277: 111,264,83,106,151,340
278: 56,288,101,177,174,339,401
279: 30,154,378,286
280: 58,40,48,150,233,223,258
281: 85,368,259,293,358
282: 115,123,228
283: 133,168,72,248,135,4
284: 145,338,327,26
285: 113,116,251,300,94,216,148
286: 19,334,160,155,154,279
287: 37,185,365
288: 56,278,174
289: 69
290: 112,245,127,309
291: 36
292: 115,252,213,355,57
293: 85,142,259,281
294: 253,79,110,349
295: 147,227,86
296: 4
297: 117,218,121,59,204
298: 70,17,107,179,169,328
299: 18,118,346
300: 25,116,285,94,357,148
301: 137,152,357,148
302: 13,46,181,221,176
303: 35,129,161,374
304: 180,183,336,274,61
305: 183,83,235,151
306: 155,49,362,6,227,331
307: 84,326,193,384,88
308: 329,17,169
309: 39,127,145,43,245,290
310: 2,331,170,190
311: 164,0
312: 114,15
313: 139,23
314: 125,349,28
315: 39,192,74,371
316: 10,118,337,164,327,167
317: 158,372,342,162,210,81
