id,x,y,z,total_volume,current_phase,dt
0.0,0.0,0.0,0.0,523.6,4.0,0.0
0.0,0.0,0.0,0.0,523.6,4.0,30.0
0.0,0.0,0.0,0.0,523.6,4.0,60.0
0.0,0.0,0.0,0.0,523.6,10.0,90.0
0.0,0.0,0.0,0.0,548.7705981354537,10.0,120.0
0.0,0.0,0.0,0.0,585.1455484962792,10.0,150.0
0.0,0.0,0.0,0.0,626.4919061425705,10.0,180.0
0.0,0.0,0.0,0.0,668.9455964333852,10.0,210.0
0.0,0.0,0.0,0.0,710.1976494450356,12.0,240.0
0.0,0.0,0.0,0.0,748.9499333871091,12.0,270.0
0.0,0.0,0.0,0.0,784.5524370858834,12.0,300.0
0.0,0.0,0.0,0.0,816.7626773990312,12.0,330.0
0.0,0.0,0.0,0.0,845.5871055803332,12.0,360.0
0.0,0.0,0.0,0.0,871.1774386799929,12.0,390.0
0.0,0.0,0.0,0.0,893.7636667146816,12.0,420.0
0.0,0.0,0.0,0.0,913.611450248498,12.0,450.0
0.0,0.0,0.0,0.0,930.9956513969214,12.0,480.0
0.0,0.0,0.0,0.0,946.1844603894152,12.0,510.0
0.0,0.0,0.0,0.0,959.4304136050955,12.0,540.0
0.0,0.0,0.0,0.0,970.9658343098154,13.0,570.0
0.0,0.0,0.0,0.0,981.0010582884646,13.0,600.0
0.0,0.0,0.0,0.0,989.7243645037393,13.0,630.0
0.0,0.0,0.0,0.0,997.3029046372485,13.0,660.0
0.0,0.0,0.0,0.0,1003.884174928002,13.0,690.0
0.0,0.0,0.0,0.0,1009.5977396974152,13.0,720.0
0.0,0.0,0.0,0.0,1014.5570257483571,13.0,750.0
0.0,0.0,0.0,0.0,1018.8610789489089,13.0,780.0
0.0,0.0,0.0,0.0,1022.5962212355921,13.0,810.0
0.0,0.0,0.0,0.0,1025.8375763999086,13.0,840.0
0.0,0.0,0.0,0.0,1028.6504520090543,13.0,870.0
0.0,1.6931000820870394,0.6991545574694785,2.5874070580965496,515.5457882259561,4.0,900.0
2.0,-3.365874928964994,-1.3899159425692773,-5.1437529535401385,515.5457882259561,4.0,900.0
0.0,1.6952216341678965,0.7000306384654771,2.590649228412534,516.6050984684903,10.0,930.0
2.0,-3.3679964810458483,-1.3907920235652769,-5.14699512385612,516.6050984684903,4.0,930.0
0.0,1.714189629486584,0.7078633475376862,2.61963624783611,542.6951221339709,10.0,960.0
2.0,-3.3869644763645352,-1.3986247326374854,-5.175982143279697,517.5245239985612,4.0,960.0
0.0,1.7428464631398746,0.719696998757316,2.6634298158842675,579.8681493990664,10.0,990.0
2.0,-3.4156213100178276,-1.4104583838571154,-5.219775711327855,518.3226009028688,4.0,990.0
0.0,1.7742604678575278,0.7326692056570061,2.711436911501051,621.9073122059117,10.0,1020.0
2.0,-3.447035314735483,-1.4234305907568061,-5.267782806944638,519.0154060634292,4.0,1020.0
0.0,1.8052189386604494,0.7454533028188635,2.7587478570918282,664.9624781824187,10.0,1050.0
2.0,-3.4779937855384055,-1.4362146879186615,-5.315093752535415,519.6168817491216,4.0,1050.0
2.0,-3.506904599136555,-1.448153218488208,-5.359275454462308,520.1391183004373,4.0,1080.0
0.0,1.8341297522585986,0.75739183338841,2.8029295590187213,706.7367677453889,10.0,1080.0
2.0,-3.53309640023312,-1.4589689507055412,-5.399301942995678,520.5925999526388,4.0,1110.0
0.0,1.8603215533551585,0.7682075656057411,2.8429560475520925,745.9425333396696,10.0,1110.0
2.0,-3.556397685692874,-1.4685910634775172,-5.434911125878106,520.9864183669603,4.0,1140.0
0.0,1.8836228388149108,0.777829678377717,2.878565230434512,781.9388554527718,12.0,1140.0
2.0,-3.5768947255254124,-1.4770551814379187,-5.466234841524858,521.3284579594194,4.0,1170.0
0.0,1.9041198786474474,0.7862937963381187,2.9098889460812662,814.4911353583859,12.0,1170.0
2.0,-3.594796241754097,-1.4844474949752677,-5.493592060351308,521.6255566555624,4.0,1200.0
0.0,1.9220213948761344,0.7936861098754687,2.9372461649077164,843.6126622358379,12.0,1200.0
2.0,-3.6103593297429493,-1.4908741699313575,-5.517375677240927,521.8836452697185,4.0,1230.0
0.0,1.937584482864987,0.8001127848315612,2.9610297817973312,869.4610839496604,13.0,1230.0
3.0,-0.16422606264477188,6.404109637848943,3.0163589109787736,446.1357675148899,4.0,1260.0
0.0,2.9746617435067146,-2.032617837558899,2.8996008765017938,446.1357675148899,4.0,1260.0
2.0,-3.5970165911218004,-1.496009758600374,-5.502359500740895,522.1078683151429,4.0,1260.0
3.0,-0.18743652155428087,6.465207890681306,3.016572537697035,456.15706947349634,4.0,1290.0
2.0,-3.447261245311698,-1.5078138976141893,-5.310681608594006,522.3026886985341,4.0,1290.0
0.0,2.848116856606122,-2.0819119513774482,2.707709357636646,456.15706947349634,4.0,1290.0
3.0,-0.2145912557391115,6.527468233060542,3.012167448581059,464.9338149175293,4.0,1320.0
0.0,2.6295012265882995,-2.128726977798635,2.3955605377827043,464.9338149175293,4.0,1320.0
2.0,-3.2014908811090437,-1.5232592135722425,-4.994127699624093,522.4719784381717,4.0,1320.0
2.0,-3.176165241018163,-1.5076955643138679,-4.952847342717319,526.3497472671628,10.0,1350.0
0.0,2.623836138536814,-2.1672317500365343,2.368645123364861,472.6017788282755,4.0,1350.0
3.0,-0.2342518077785079,6.550409356040062,2.99780250609213,472.6017788282755,4.0,1350.0
3.0,-0.2524032830981475,6.550542554115019,2.973914637491223,479.288687172114,10.0,1380.0
0.0,2.6679182112932693,-2.197550442252405,2.4115154276741158,479.288687172114,4.0,1380.0
2.0,-3.2020958384549822,-1.4775100701729549,-4.971829778425672,554.5381094969496,10.0,1380.0
3.0,-0.28970887170902776,6.564129382241995,2.931540461236265,510.2825649103615,10.0,1410.0
2.0,-3.2316912474569617,-1.4251024509937391,-4.984430023014897,592.4268399236189,10.0,1410.0
0.0,2.734819208906124,-2.263544889558598,2.466489848518302,485.11196677495184,4.0,1410.0
3.0,-0.35554873828109707,6.571316066319789,2.848277545936453,551.7234322020802,10.0,1440.0
0.0,2.8294650982418705,-2.3685345897658276,2.5383935127531148,498.3713728558746,10.0,1440.0
2.0,-3.2604972702206414,-1.3272994348643006,-4.973070771949905,634.3409430272557,10.0,1440.0
2.0,-3.293478331099357,-1.146331844115294,-4.925236098755396,676.7841916984678,10.0,1470.0
0.0,2.975866053567405,-2.532670976709481,2.648740071129987,533.3715811511299,10.0,1470.0
3.0,-0.4689686327279183,6.554484862514435,2.6900963143650616,597.4734369055724,10.0,1470.0
2.0,-3.3082838179273275,-0.8338371042798209,-4.787013462113488,717.6881182214138,10.0,1500.0
0.0,3.1654091796247634,-2.7434639172028303,2.7924683981896448,576.1540196109885,10.0,1500.0
3.0,-0.6437062719573075,6.452783063172319,2.4081453506634896,643.7529078800699,10.0,1500.0
3.0,-0.7067319430046505,6.530131747128982,2.364017477615894,688.3273419671923,10.0,1530.0
0.0,3.287543861181157,-2.8821909573379365,2.883617762657735,621.6274578893633,12.0,1530.0
2.0,-3.367392828436377,-0.772458748101374,-4.83403495353398,755.9100506942251,10.0,1530.0
2.0,-3.424339300679688,-0.793634525619376,-4.919879651821978,790.8988752260067,10.0,1560.0
3.0,-0.7264962368003255,6.642060536514223,2.394440752791821,729.9640135973016,10.0,1560.0
0.0,3.364254627220142,-2.9729439692051707,2.9390391857698113,666.6954447790845,12.0,1560.0
0.0,3.4318647103184365,-3.053305637382736,2.9876961666539468,709.5641346713171,12.0,1590.0
3.0,-0.7434845923422608,6.742836516477884,2.422897068197051,768.0701669808376,10.0,1590.0
2.0,-3.4749610282360432,-0.8140488374054713,-4.996992948111339,822.4735857660019,10.0,1590.0
2.0,-3.5196053537586223,-0.8314190097067092,-5.06468084190111,850.6775300658792,10.0,1620.0
0.0,3.4918638598324305,-3.1246375044241486,3.030867407444996,749.2802362735989,12.0,1620.0
3.0,-0.7588394163336772,6.831538555820535,2.4474137211957783,802.4533126605355,10.0,1620.0
3.0,-0.7724907529570958,6.908979505588378,2.4684933999990495,833.1634717828479,10.0,1650.0
0.0,3.544563751614514,-3.1872861282784197,3.068789278625978,785.4238639355646,12.0,1650.0
